,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.49036057142857137,0.0,0.49018285714285714,0.48962285714285714,0.49077714285714286,0.4897142857142857,0.49045714285714287,0.49041142857142855,0.49146285714285715,0.49005714285714286,0.49041142857142855,0.4904,0.49069714285714283,0.4902742857142857,0.4893828571428571,0.4889942857142857
Borda ranking,0.2736817142857143,0.49018285714285714,0.0,0.30054857142857144,0.27344,0.18066285714285715,0.19098285714285715,0.49402285714285715,0.29638857142857145,0.39688,0.49402285714285715,0.3067657142857143,0.47681142857142855,0.21630857142857143,0.1813142857142857,0.4427542857142857
Plurality ranking,0.3996857142857143,0.48962285714285714,0.30054857142857144,0.0,0.1553942857142857,0.38899428571428574,0.3893028571428571,0.5263885714285714,0.4174514285714286,0.4294742857142857,0.5263885714285714,0.41621714285714284,0.51664,0.39418285714285717,0.38752,0.46936
STV,0.354636,0.49077714285714286,0.27344,0.1553942857142857,0.0,0.3578857142857143,0.36178285714285713,0.47085714285714286,0.39589714285714284,0.45770285714285713,0.47085714285714286,0.4067085714285714,0.4627428571428571,0.36928,0.3578057142857143,0.46350857142857144
Approval Voting (AV),0.30046685714285715,0.4897142857142857,0.18066285714285715,0.38899428571428574,0.3578857142857143,0.0,0.08052571428571428,0.4619542857142857,0.2577028571428571,0.4124685714285714,0.4619542857142857,0.2806057142857143,0.4442628571428571,0.14341714285714285,0.020937142857142856,0.43378285714285714
Proportional Approval Voting (PAV),0.31895599999999996,0.49045714285714287,0.19098285714285715,0.3893028571428571,0.36178285714285713,0.08052571428571428,0.0,0.48229714285714287,0.21101714285714285,0.38734857142857143,0.48229714285714287,0.27577142857142856,0.45952,0.08830857142857143,0.06939428571428571,0.4356457142857143
Approval Chamberlin-Courant (CC),0.2498234285714286,0.49041142857142855,0.49402285714285715,0.5263885714285714,0.47085714285714286,0.4619542857142857,0.48229714285714287,0.0,0.48614857142857143,0.7556228571428572,0.0,0.53424,0.03821714285714286,0.4928342857142857,0.4698857142857143,0.4881942857142857
Lexicographic Chamberlin-Courant (lex-CC),0.37918799999999997,0.49146285714285715,0.29638857142857145,0.4174514285714286,0.39589714285714284,0.2577028571428571,0.21101714285714285,0.48614857142857143,0.0,0.3841942857142857,0.48614857142857143,0.33317714285714284,0.44841142857142857,0.1934742857142857,0.25128,0.45018285714285716
Sequential Approval Chamberlin-Courant (seq-CC),0.5724628571428572,0.49005714285714286,0.39688,0.4294742857142857,0.45770285714285713,0.4124685714285714,0.38734857142857143,0.7556228571428572,0.3841942857142857,0.0,0.7556228571428572,0.3696342857142857,0.72408,0.37637714285714285,0.40465142857142855,0.4704114285714286
Monroe's Approval Rule (Monroe),0.2498234285714286,0.49041142857142855,0.49402285714285715,0.5263885714285714,0.47085714285714286,0.4619542857142857,0.48229714285714287,0.0,0.48614857142857143,0.7556228571428572,0.0,0.53424,0.03821714285714286,0.4928342857142857,0.4698857142857143,0.4881942857142857
Greedy Monroe,0.4093594285714286,0.4904,0.3067657142857143,0.41621714285714284,0.4067085714285714,0.2806057142857143,0.27577142857142856,0.53424,0.33317714285714284,0.3696342857142857,0.53424,0.0,0.5165714285714286,0.28182857142857143,0.27741714285714286,0.4522857142857143
Minimax Approval Voting (MAV),0.25433828571428574,0.49069714285714283,0.47681142857142855,0.51664,0.4627428571428571,0.4442628571428571,0.45952,0.03821714285714286,0.44841142857142857,0.72408,0.03821714285714286,0.5165714285714286,0.0,0.4676,0.4512114285714286,0.4846742857142857
Method of Equal Shares (aka Rule X) with Phragmén phase,0.33916514285714283,0.4902742857142857,0.21630857142857143,0.39418285714285717,0.36928,0.14341714285714285,0.08830857142857143,0.4928342857142857,0.1934742857142857,0.37637714285714285,0.4928342857142857,0.28182857142857143,0.4676,0.0,0.1347657142857143,0.43832
E Pluribus Hugo (EPH),0.30644857142857146,0.4893828571428571,0.1813142857142857,0.38752,0.3578057142857143,0.020937142857142856,0.06939428571428571,0.4698857142857143,0.25128,0.40465142857142855,0.4698857142857143,0.27741714285714286,0.4512114285714286,0.1347657142857143,0.0,0.4342285714285714
Random Serial Dictator,0.46034628571428576,0.4889942857142857,0.4427542857142857,0.46936,0.46350857142857144,0.43378285714285714,0.4356457142857143,0.4881942857142857,0.45018285714285716,0.4704114285714286,0.4881942857142857,0.4522857142857143,0.4846742857142857,0.43832,0.4342285714285714,0.0
NN,,0.49036057142857137,0.2736817142857143,0.3996857142857143,0.354636,0.30046685714285715,0.31895599999999996,0.2498234285714286,0.37918799999999997,0.5724628571428572,0.2498234285714286,0.4093594285714286,0.25433828571428574,0.33916514285714283,0.30644857142857146,0.46034628571428576
