,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.4076765714285714,0.0,0.4081485714285714,0.4070285714285714,0.40842285714285714,0.40868571428571426,0.4089942857142857,0.4092914285714286,0.40796571428571426,0.40718857142857146,0.40938285714285716,0.40753142857142854,0.4094285714285714,0.40812571428571426,0.4090057142857143,0.4084114285714286
Borda ranking,0.07729942857142857,0.4081485714285714,0.0,0.2846057142857143,0.21282285714285715,0.10261714285714285,0.10657142857142857,0.4102057142857143,0.19698285714285715,0.38627428571428574,0.4075542857142857,0.17594285714285715,0.34394285714285716,0.15193142857142858,0.1028,0.27334857142857144
Plurality ranking,0.30645142857142854,0.4070285714285714,0.2846057142857143,0.0,0.1508,0.32204571428571427,0.3226857142857143,0.42785142857142855,0.34226285714285715,0.38496,0.4261714285714286,0.33938285714285715,0.4022857142857143,0.33189714285714284,0.3225257142857143,0.37125714285714284
STV,0.23995771428571425,0.40842285714285714,0.21282285714285715,0.1508,0.0,0.26226285714285713,0.2642514285714286,0.40740571428571426,0.29882285714285717,0.3975314285714286,0.40496,0.2890857142857143,0.37132571428571426,0.28017142857142857,0.26245714285714283,0.3348
Approval Voting (AV),0.08979485714285713,0.40868571428571426,0.10261714285714285,0.32204571428571427,0.26226285714285713,0.0,0.05044571428571429,0.4031314285714286,0.18513142857142856,0.39496,0.40052571428571426,0.15941714285714287,0.33805714285714283,0.13587428571428573,0.0067771428571428574,0.2662514285714286
Proportional Approval Voting (PAV),0.11129657142857143,0.4089942857142857,0.10657142857142857,0.3226857142857143,0.2642514285714286,0.05044571428571429,0.0,0.4068342857142857,0.14212571428571427,0.39092571428571427,0.40421714285714283,0.1471657142857143,0.3298514285714286,0.09424,0.04537142857142857,0.2680571428571429
Approval Chamberlin-Courant (CC),0.39525142857142853,0.4092914285714286,0.4102057142857143,0.42785142857142855,0.40740571428571426,0.4031314285714286,0.4068342857142857,0.0,0.40549714285714283,0.5714285714285714,0.002994285714285714,0.43300571428571427,0.1152,0.4110742857142857,0.4041257142857143,0.4085485714285714
Lexicographic Chamberlin-Courant (lex-CC),0.2158914285714286,0.40796571428571426,0.19698285714285715,0.34226285714285715,0.29882285714285717,0.18513142857142856,0.14212571428571427,0.40549714285714283,0.0,0.39174857142857145,0.40352,0.17717714285714287,0.29245714285714286,0.09212571428571428,0.18126857142857142,0.2881485714285714
Sequential Approval Chamberlin-Courant (seq-CC),0.4025377142857143,0.40718857142857146,0.38627428571428574,0.38496,0.3975314285714286,0.39496,0.39092571428571427,0.5714285714285714,0.39174857142857145,0.0,0.5705028571428571,0.36333714285714286,0.5232228571428571,0.38709714285714286,0.3944,0.38990857142857144
Monroe's Approval Rule (Monroe),0.39264571428571426,0.40938285714285716,0.4075542857142857,0.4261714285714286,0.40496,0.40052571428571426,0.40421714285714283,0.002994285714285714,0.40352,0.5705028571428571,0.0,0.43064,0.11493714285714286,0.40848,0.40152,0.40681142857142855
Greedy Monroe,0.18522799999999992,0.40753142857142854,0.17594285714285715,0.33938285714285715,0.2890857142857143,0.15941714285714287,0.1471657142857143,0.43300571428571427,0.17717714285714287,0.36333714285714286,0.43064,0.0,0.3533942857142857,0.15170285714285714,0.15776,0.28424
Minimax Approval Voting (MAV),0.3390188571428571,0.4094285714285714,0.34394285714285716,0.4022857142857143,0.37132571428571426,0.33805714285714283,0.3298514285714286,0.1152,0.29245714285714286,0.5232228571428571,0.11493714285714286,0.3533942857142857,0.0,0.31973714285714283,0.33836571428571427,0.3677714285714286
Method of Equal Shares (aka Rule X) with Phragmén phase,0.17164857142857143,0.40812571428571426,0.15193142857142858,0.33189714285714284,0.28017142857142857,0.13587428571428573,0.09424,0.4110742857142857,0.09212571428571428,0.38709714285714286,0.40848,0.15170285714285714,0.31973714285714283,0.0,0.13188571428571427,0.2770742857142857
E Pluribus Hugo (EPH),0.091652,0.4090057142857143,0.1028,0.3225257142857143,0.26245714285714283,0.0067771428571428574,0.04537142857142857,0.4041257142857143,0.18126857142857142,0.3944,0.40152,0.15776,0.33836571428571427,0.13188571428571427,0.0,0.26632
Random Serial Dictator,0.2727062857142857,0.4084114285714286,0.27334857142857144,0.37125714285714284,0.3348,0.2662514285714286,0.2680571428571429,0.4085485714285714,0.2881485714285714,0.38990857142857144,0.40681142857142855,0.28424,0.3677714285714286,0.2770742857142857,0.26632,0.0
NN,,0.4076765714285714,0.07729942857142857,0.30645142857142854,0.23995771428571425,0.08979485714285713,0.11129657142857143,0.39525142857142853,0.2158914285714286,0.4025377142857143,0.39264571428571426,0.18522799999999992,0.3390188571428571,0.17164857142857143,0.091652,0.2727062857142857
