Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN-all,0.0060002307692307326,5e-06,0.0002985,0.000974,0.0001025,0.0009115000000000001,0.0,0.0,0.030442499999999997,7.45e-05,7.45e-05,7.45e-05,0.0192865,0.025759000000000004
NN-root,0.050638466758581684,0.0027778332202307004,0.06551734461698133,0.2315416550237515,0.027684024589836723,0.04762434633347967,0.06799728553750345,0.0,0.08188695062073366,2.4949103828190493e-06,2.4949103828190493e-06,2.4949103828190493e-06,0.06400193605045704,0.0692612071374396
Min,0.0032399999999999617,0.0,0.00024,0.01614,0.0,0.00015000000000000001,0.00013,0.0,0.0097,0.0,0.0,0.0,0.0044,0.01136
Max,0.39661461538461534,0.07062,0.43545,0.9889300000000001,0.78167,0.41492,0.18147999999999997,0.0,0.43209,0.1957,0.29926,0.29926,0.39463000000000004,0.66198
Borda,0.014189230769230725,0.00281,0.00741,0.117,0.0,0.00054,0.01674,0.0,0.01755,2e-05,2e-05,2e-05,0.00999,0.01236
EPH,0.026540769230769173,0.00019999999999999998,0.00232,0.21789,0.00444,0.0,0.00152,0.0,0.0464,0.0,0.0,0.0,0.03258,0.03968
SNTV,0.06435538461538459,0.0,0.09708,0.53033,0.01602,0.10427,0.08052,0.0,0.00109,0.00011,0.0028599999999999997,0.0028599999999999997,0.0,0.00148
Bloc,0.025699230769230724,9e-05,0.00231,0.20734999999999998,0.00442,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.03222,0.0417
STV,0.03864461538461535,0.0,0.04804,0.35455000000000003,0.00358,0.046939999999999996,0.04845,0.0,0.0,0.0,0.00029,0.00029,0.0,0.00023999999999999998
PAV,0.03127461538461535,0.0005300000000000001,0.00263,0.26726999999999995,0.00445,0.0,0.006710000000000001,0.0,0.05023,0.0,0.0,0.0,0.03585,0.038900000000000004
MES,0.03402999999999998,0.00048,0.0035900000000000003,0.28684,0.004219999999999999,0.00198,0.010589999999999999,0.0,0.05456,0.0,0.0,0.0,0.039220000000000005,0.04091
CC,0.13958076923076917,0.01766,0.16461,0.69226,0.07161000000000001,0.17476,0.13768,0.0,0.18599,0.0,0.01256,0.01256,0.15550999999999998,0.18935
seq-CC,0.12120461538461536,0.013699999999999999,0.1511,0.65736,0.042690000000000006,0.1113,0.1328,0.0,0.16671999999999998,0.0,0.001,0.001,0.13778,0.16021
lex-CC,0.05984076923076917,0.010679999999999999,0.019880000000000002,0.45311,0.0044599999999999996,0.0,0.0509,0.0,0.0921,0.0,0.0,0.0,0.0727,0.0741
Monroe,0.1147107692307692,0.01088,0.11474000000000001,0.60756,0.05573,0.15037,0.11384,0.0,0.15684,0.0,0.00095,0.00095,0.12953,0.14984999999999998
Greedy M.,0.05091230769230766,0.0020700000000000002,0.02782,0.39459000000000005,0.005289999999999999,0.00652,0.04061000000000001,0.0,0.07211000000000001,0.0,0.0,0.0,0.05445,0.0584
MAV,0.1508607692307692,0.03212,0.17202,0.7814800000000001,0.11472000000000002,0.10971,0.15242,0.0,0.16820000000000002,0.02567,0.027819999999999998,0.027819999999999998,0.14017000000000002,0.20904
RSD,0.1040638461538461,0.01758,0.11041,0.60911,0.04679,0.0,0.07547,0.0,0.11615,0.02848,0.03014,0.03014,0.09444,0.19412000000000001
Random,0.1791723076923077,0.03537,0.22036,0.82883,0.13495,0.20961000000000002,0.15015,0.0,0.19099,0.03411,0.04696,0.04697,0.16038000000000002,0.27055999999999997
