Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN-all,0.009298769230769197,4.3e-05,0.00024700000000000004,0.0009865,1.2000000000000002e-05,0.001752,0.0,0.0,0.045122499999999996,0.00038449999999999997,0.00038449999999999997,0.00038449999999999997,0.03031,0.0412575
Min,0.004705384615384573,0.0,0.00052,0.02574,0.0,0.00022999999999999998,0.00014,0.0,0.012410000000000001,0.0,0.0,0.0,0.00564,0.016489999999999998
Max,0.36036384615384615,0.05333,0.29262,0.98184,0.7417800000000001,0.37986,0.12422,0.0,0.41186,0.18532,0.25589,0.25589,0.3708,0.63132
Borda,0.016801538461538423,0.0025800000000000003,0.00608,0.13602999999999998,0.0,0.00133,0.01437,0.0,0.02481,3e-05,3e-05,3e-05,0.01472,0.01841
EPH,0.03590461538461533,0.00026,0.0031,0.27011,0.00702,0.0,0.0017000000000000001,0.0,0.07062,0.0,0.0,0.0,0.05163,0.06232
SNTV,0.0659446153846153,0.0,0.07994,0.56951,0.02259,0.11492,0.06276999999999999,0.0,0.00092,8e-05,0.0024500000000000004,0.0024500000000000004,0.0,0.00165
Bloc,0.03466999999999995,0.00013000000000000002,0.00305,0.25453,0.00702,0.0,0.0,0.0,0.06964000000000001,0.0,0.0,0.0,0.05079,0.06555
STV,0.04260769230769225,0.0,0.04349,0.40452999999999995,0.0053,0.05814,0.04175,0.0,0.0,0.0,0.00027,0.00027,0.0,0.00015
PAV,0.041557692307692254,0.00102,0.00336,0.329,0.00706,0.0,0.00752,0.0,0.07607,0.0,0.0,0.0,0.05632,0.0599
MES,0.045316923076923,0.00076,0.00481,0.35373,0.0068000000000000005,0.00246,0.011550000000000001,0.0,0.08309,0.0,0.0,0.0,0.06216,0.06376
CC,0.12961461538461533,0.014199999999999999,0.11248,0.69867,0.07219,0.16039,0.09346,0.0,0.18158000000000002,0.0,0.00853,0.00853,0.1506,0.18436
seq-CC,0.11399846153846149,0.01006,0.10545,0.66725,0.04455,0.09903,0.09058,0.0,0.16694,0.0,5e-05,5e-05,0.13712,0.1609
lex-CC,0.06596230769230765,0.009269999999999999,0.01475,0.49071000000000004,0.00708,0.0,0.03632,0.0,0.11507,0.0,0.0,0.0,0.09156,0.09275
Monroe,0.11327230769230767,0.00969,0.08624000000000001,0.64014,0.0574,0.14811999999999997,0.08177000000000001,0.0,0.16102,0.0,0.00072,0.00072,0.13201000000000002,0.15471000000000001
Greedy M.,0.06079999999999995,0.00228,0.0238,0.45402,0.008790000000000001,0.00724,0.033339999999999995,0.0,0.10028999999999999,0.0,0.0,0.0,0.07764,0.083
MAV,0.1400107692307692,0.024640000000000002,0.11560999999999999,0.78008,0.10967,0.09847,0.10511999999999999,0.0,0.16992000000000002,0.02219,0.023620000000000002,0.023620000000000002,0.14124,0.20596
RSD,0.10808615384615379,0.014630000000000002,0.08305,0.63385,0.05492,0.0,0.052379999999999996,0.0,0.13685999999999998,0.0318,0.033120000000000004,0.033120000000000004,0.11024,0.22115
Random,0.16392307692307687,0.02631,0.14876,0.82235,0.13113,0.19530999999999998,0.10317,0.0,0.1852,0.02964,0.03801,0.03801,0.15359,0.25952
