Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN-all,9.846153846153844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,8.8e-05
NN-root,0.030506566604127545,0.00036605325136719943,0.07628477905073647,0.18083549558899845,0.014422178755339087,0.022472156800127714,0.06590914534349925,0.0,0.01059558500658655,0.0,0.0,0.0,0.01047223663725998,0.015227735419743694
Min,1.0461538461538463e-05,0.0,0.0,3.2000000000000005e-05,0.0,0.0,0.0,0.0,8.000000000000001e-06,0.0,0.0,0.0,0.0,9.6e-05
Max,0.574336,0.003728,0.8867280000000001,1.0,0.926296,0.852192,0.28284000000000004,0.0,0.569064,0.395448,0.56052,0.5970799999999999,0.540432,0.85204
Borda,0.008277538461538418,0.0,0.025056000000000002,0.057264,0.0,0.0,0.025280000000000004,0.0,8.000000000000001e-06,0.0,0.0,0.0,0.0,0.0
EPH,0.0027027692307692135,0.0,0.0,0.035008,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,8.8e-05
SNTV,0.028809846153846096,0.0,0.078344,0.203512,0.0,0.011928,0.08064,0.0,0.0,0.0,0.0,0.0,0.0,0.000104
Bloc,0.0027563076923076734,0.0,0.0,0.035696,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,9.6e-05
STV,0.014473846153846115,0.0,0.04012,0.10268,0.0,0.004543999999999999,0.040808,0.0,0.0,0.0,0.0,0.0,0.0,8.000000000000001e-06
PAV,0.003257230769230729,0.0,0.0,0.042216000000000004,0.0,0.0,2.4000000000000004e-05,0.0,4e-05,0.0,0.0,0.0,0.0,6.400000000000001e-05
MES,0.0038375384615384387,0.0,0.0,0.04976,0.0,0.0,5.6000000000000006e-05,0.0,2.4e-05,0.0,0.0,0.0,8.000000000000001e-06,4e-05
CC,0.22437046153846146,0.0010719999999999998,0.348504,0.7716400000000001,0.042664,0.471232,0.24628,0.0,0.288568,0.0,0.091376,0.09399199999999999,0.25728,0.304208
seq-CC,0.20580061538461533,0.0005359999999999999,0.336912,0.75628,0.030119999999999997,0.456728,0.245728,0.0,0.25363199999999997,0.0,0.053248,0.053248,0.22707200000000002,0.261904
lex-CC,0.022454153846153797,0.000344,0.0,0.27964,0.0,0.0,0.009367999999999998,0.0,0.000856,0.0,0.0,0.0,0.000792,0.000904
Monroe,0.15329046153846146,0.0006399999999999999,0.198544,0.5712879999999999,0.033608,0.354192,0.21112799999999998,0.0,0.21575200000000003,0.0,0.006328,0.008903999999999999,0.194344,0.198048
Greedy M.,0.025420307692307666,0.0,0.060136,0.2068,0.0,0.00040800000000000005,0.062495999999999996,0.0,0.000168,0.0,0.0,0.0,5.6000000000000006e-05,0.0004
MAV,0.23416923076923074,0.001624,0.381328,0.85276,0.072224,0.5595519999999999,0.230416,0.0,0.18332800000000002,0.06168,0.114648,0.114648,0.1574,0.31459200000000004
RSD,0.08226092307692304,0.000632,0.14864000000000002,0.5312479999999999,0.004432,0.0,0.12352,0.0,0.031479999999999994,0.024032,0.024280000000000003,0.024280000000000003,0.021344,0.135504
Random,0.2792486153846154,0.0019359999999999998,0.44219200000000003,0.886336,0.094504,0.562856,0.24535200000000001,0.0,0.293912,0.080112,0.15887199999999999,0.16148800000000002,0.262752,0.43992
