Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN-all,0.003244615384615341,4.333333333333334e-06,1.1000000000000003e-05,0.013028999999999999,0.00043666666666666664,2.266666666666667e-05,0.0,0.0,0.007859666666666666,1.5000000000000004e-05,1.5000000000000004e-05,1.5000000000000004e-05,0.005157,0.015614666666666666
NN-root,0.026692061016040047,0.0019313932910196355,0.029188788205394323,0.16581640120820187,0.008976022247947506,0.010287014490439493,0.029352121671789525,0.000710217822309146,0.03965011376791342,0.0,0.000710217822309146,0.000710217822309146,0.02716924141418171,0.0324950434447061
Min,0.0010728205128204668,0.0,0.0,0.0020266666666666666,0.0,0.0,0.0,0.0,0.00022,0.0,0.0,0.0,0.0,0.0117
Max,0.5092317948717948,0.41172000000000003,0.4106733333333334,0.9502066666666665,0.8439333333333333,0.5293466666666667,0.3361866666666667,0.009980000000000001,0.6679133333333334,0.2249466666666667,0.37020000000000003,0.3706933333333334,0.6522933333333334,0.84192
Borda,0.0041087179487179,1.3333333333333335e-05,2e-05,0.04593333333333333,0.0,0.0,3.3333333333333335e-05,0.0,0.002846666666666667,0.0,0.0,0.0,0.0014733333333333334,0.0030933333333333334
EPH,0.010641538461538418,0.0,0.0,0.10385333333333334,0.00016666666666666666,0.0,0.0,0.0,0.012286666666666666,0.0,0.0,0.0,0.008133333333333333,0.013900000000000001
SNTV,0.0539887179487179,0.0,0.08206000000000001,0.35912666666666665,0.00021333333333333336,0.05213333333333334,0.12894,0.006613333333333333,0.03854,0.0,0.015466666666666665,0.018506666666666668,0.0,0.00025333333333333333
Bloc,0.0106333333333333,0.0,0.0,0.10349333333333334,0.00016666666666666666,0.0,0.0,0.0,0.012273333333333332,0.0,0.0,0.0,0.008146666666666667,0.014153333333333332
STV,0.009299487179487134,0.0,0.00032,0.12013333333333333,6.666666666666667e-05,6.6666666666666675e-06,0.0003266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4e-05
PAV,0.011014871794871733,0.0,0.0,0.10902,0.00016666666666666666,0.0,0.0,0.0,0.012293333333333331,0.0,0.0,0.0,0.008173333333333333,0.013540000000000002
MES,0.011910256410256365,0.0,0.0,0.11840666666666666,0.00015333333333333334,0.0,0.0,0.0,0.013053333333333333,0.0,0.0,0.0,0.00882,0.014400000000000001
CC,0.1812533333333333,0.08952,0.16719333333333333,0.6548533333333334,0.032806666666666665,0.1986933333333333,0.22612000000000002,0.007846666666666667,0.3188866666666667,0.0,0.07429999999999999,0.08507999999999999,0.23218666666666668,0.26880666666666664
seq-CC,0.15089333333333327,0.04767333333333334,0.16306666666666667,0.63564,0.019113333333333333,0.16868000000000002,0.22311333333333336,0.00796,0.24004666666666666,0.0,0.06381333333333332,0.07193333333333334,0.14627333333333334,0.17429999999999998
lex-CC,0.020808717948717918,0.00019333333333333333,0.00021333333333333336,0.2037133333333333,0.00016666666666666666,0.0,0.014633333333333333,0.0,0.017853333333333332,0.0,0.0,0.0,0.012186666666666665,0.02155333333333333
Monroe,0.09900923076923074,0.029820000000000003,0.05236,0.48532,0.024573333333333332,0.05499999999999999,0.08683999999999999,0.0,0.19699999999999998,0.0,0.00078,0.0009000000000000001,0.16067333333333333,0.19385333333333335
Greedy M.,0.023865128205128167,0.0,0.0048066666666666666,0.23092,0.0008066666666666668,0.0,0.00716,0.0,0.022760000000000002,0.0,0.0,0.0,0.016626666666666668,0.02716666666666667
MAV,0.16829794871794868,0.11520666666666664,0.10908,0.7680733333333333,0.05352666666666667,0.15165333333333333,0.22916666666666666,0.0,0.22853333333333334,0.02111333333333333,0.026866666666666667,0.026866666666666667,0.17711333333333334,0.28067333333333333
RSD,0.0782635897435897,0.029840000000000002,0.029646666666666665,0.5433466666666668,0.0089,0.0,0.08752666666666666,0.0,0.09398666666666666,0.00214,0.0026999999999999997,0.0028266666666666666,0.07683333333333332,0.13968
Random,0.26609076923076924,0.20623333333333335,0.20655333333333334,0.8776466666666667,0.06554,0.29457333333333335,0.3092933333333333,0.009326666666666667,0.3946733333333334,0.05675333333333332,0.13952,0.1547,0.30950666666666665,0.43486
