Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.004260923076923037,0.0,0.0,0.0,0.004260923076923037,0.000479,0.00011300000000000001,0.0,0.0,0.0212645,0.0,0.0,0.0,0.0102355,0.0233
Borda,0.009886923076923024,0.0,0.0,0.0,0.009886923076923024,0.11207,0.0,0.0,0.0,0.008790000000000001,0.0,0.0,0.0,0.00325,0.00442
EPH,0.03234153846153842,0.0,0.0,0.0,0.03234153846153842,0.28818,0.00364,0.0,0.0,0.05365,0.0,0.0,0.0,0.03215,0.04282
SNTV,0.02962769230769227,0.0,1e-05,0.0,0.02962769230769227,0.38018,0.00493,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,3e-05
STV,0.0220307692307692,0.0,1e-05,1e-05,0.0220307692307692,0.2844,0.00196,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05
Bloc,0.032259999999999955,0.0,0.0,0.0,0.032259999999999955,0.28707,0.00364,0.0,0.0,0.05357,0.0,0.0,0.0,0.03212,0.04298
CC,0.06583153846153843,2e-05,5e-05,2e-05,0.06583153846153843,0.51475,0.04204,2e-05,0.0,0.1073,0.0,0.0,0.0,0.07352,0.11809
lex-CC,0.03804692307692303,0.0,0.0,0.0,0.03804692307692303,0.35504,0.00368,0.0,0.0,0.05679,0.0,0.0,0.0,0.03406,0.04504
seq-CC,0.05685769230769225,1e-05,3.0000000000000004e-05,0.0,0.05685769230769225,0.48308999999999996,0.0215,2e-05,0.0,0.08968,0.0,0.0,0.0,0.0596,0.08521999999999999
Monroe,0.06572384615384613,2e-05,5e-05,2e-05,0.06572384615384613,0.51358,0.04202,2e-05,0.0,0.10726,0.0,0.0,0.0,0.07349,0.11795
Greedy M.,0.04567307692307687,0.0,0.0,0.0,0.04567307692307687,0.41032,0.00972,0.0,0.0,0.06937,0.0,0.0,0.0,0.04336,0.06098
PAV,0.03362538461538457,0.0,0.0,0.0,0.03362538461538457,0.30472,0.00366,0.0,0.0,0.05426,0.0,0.0,0.0,0.03232,0.04217
MES,0.035438461538461474,0.0,0.0,0.0,0.035438461538461474,0.32433999999999996,0.0041,0.0,0.0,0.05546,0.0,0.0,0.0,0.03319,0.043609999999999996
MAV,0.08175615384615383,0.00012,6.000000000000001e-05,9e-05,0.08175615384615383,0.65995,0.08285999999999999,7.000000000000001e-05,0.0,0.10735,4e-05,4e-05,4e-05,0.07357,0.13863999999999999
RSD,0.0714330769230769,9e-05,3.0000000000000004e-05,0.0,0.0714330769230769,0.6050800000000001,0.05326,5e-05,0.0,0.09347,7e-05,7e-05,7e-05,0.06199,0.11445
Random,0.08151769230769225,7.000000000000001e-05,6e-05,0.00011000000000000002,0.08151769230769225,0.6616,0.08163000000000001,7.000000000000001e-05,0.0,0.10774,5e-05,5e-05,5e-05,0.07250999999999999,0.13579
