Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.011794093156273704,0.000883,0.0024695,0.013640431602735878,0.011794093156273704,0.0020364903203871736,0.00010699634014637875,1.4e-05,0.0,0.044220137554497815,0.0018599999999999999,0.002087,0.0020975,0.03483882760689571,0.04906932760689571
Borda,0.021654365333078924,0.01593,0.0156794400223991,0.017759861605535776,0.021654365333078924,0.12039885804567815,0.0,0.0535394400223991,0.0,0.021909634414623402,0.00018,0.00018,0.00018,0.015959757609695598,0.019789757609695598
EPH,0.024963461584613475,0.00433997120115195,0.00366,0.0,0.024963461584613475,0.1152088848446062,0.0027999424023039,0.00535,0.0,0.07014854685812569,4e-05,4e-05,4e-05,0.057638827646894125,0.06525882764689413
SNTV,0.10174850661358158,0.0,0.2005058817647294,0.15470797128114874,0.10174850661358158,0.48254389784408624,0.0030099492020319,0.2851858817647294,0.025529620415183373,0.09271814287428502,1e-05,0.03813962041518337,0.04026962041518337,0.0,0.00010999999999999999
STV,0.030377222818779498,0.0,0.058478604855805756,0.045649386824527,0.030377222818779498,0.2122373137074517,0.000559986400543975,0.07730860485580575,0.0,0.0,1e-05,0.00024,0.00024,0.0,0.00018
Bloc,0.0229642308153827,0.00191997120115195,0.00185,0.0,0.0229642308153827,0.1053088848446062,0.0027899424023039004,0.0,0.0,0.06787854685812568,9e-05,9e-05,9e-05,0.055168827646894125,0.06334882764689412
CC,0.18914746090156392,0.13972890804367824,0.2328455533778649,0.18647754449822007,0.18914746090156392,0.5746727818887245,0.06092836046558137,0.32506555337786486,0.03167952841886322,0.3111553829846806,0.0,0.05881952841886323,0.06293952841886323,0.22938716091356343,0.24521716091356344
lex-CC,0.0754965385076904,0.06274997120115196,0.06111,0.0,0.0754965385076904,0.3162188848446062,0.0028399424023039,0.13785999999999998,0.0,0.14764854685812567,0.0,0.0,0.0,0.12365882764689412,0.1293688276468941
seq-CC,0.17162910658958255,0.12563891564337426,0.21840563897444104,0.14585793368265268,0.17162910658958255,0.5483329546818128,0.04870845566177352,0.31176563897444104,0.0305895732170713,0.2858455305787768,0.0,0.0428495732170713,0.0471995732170713,0.20682729890804366,0.2191572989080437
Monroe,0.08428226569398758,0.04706938682452699,0.09096755209791607,0.05719890364385422,0.08428226569398758,0.3410747806087756,0.032958853245870154,0.11231755209791608,0.0,0.15117698692052317,0.0,0.00018,0.00018,0.12421771929122835,0.13832771929122833
Greedy M.,0.044837113869291345,0.020819894804207824,0.02838966641334345,0.00402,0.044837113869291345,0.2120679876804928,0.007119768409263625,0.04671966641334345,0.0,0.09527826366945322,0.0,0.0,0.0,0.08022861645534177,0.08823861645534178
PAV,0.029093461584613477,0.008459971201151951,0.00758,0.0,0.029093461584613477,0.1386388848446062,0.0027899424023039004,0.014190000000000001,0.0,0.07502854685812568,0.0,0.0,0.0,0.06260882764689413,0.06891882764689412
MES,0.030874999646167946,0.009929972001119948,0.00984,0.00015000000000000001,0.030874999646167946,0.1494988776448942,0.002929934802607875,0.01774,0.0,0.07686854045838165,0.0,0.0,0.0,0.06430883524659012,0.07010883524659012
MAV,0.20053163436539462,0.22640901843926242,0.22267602495900163,0.17357801607935683,0.20053163436539462,0.6952032534698612,0.09203847086116554,0.3945460249590016,0.0,0.27276585456581737,0.01351,0.017849999999999998,0.017849999999999998,0.21098729170833166,0.2694972917083317
RSD,0.0933851539784562,0.08693967841286347,0.08590865565377384,0.0,0.0933851539784562,0.37277642214311424,0.042159404023839026,0.12703865565377384,0.0,0.14967766889324424,0.0178,0.02391,0.02391,0.12473825846966119,0.15914825846966119
Random,0.2669489924095343,0.2806388788448462,0.2801955461781529,0.29740747850086,0.2669489924095343,0.7501227234910604,0.1220083228670853,0.43794554617815284,0.04145953361865525,0.34783543458261673,0.06169,0.11726953361865523,0.12539953361865525,0.26915718491260354,0.3392071849126035
