Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.008864192307692273,1.0000000000000002e-06,0.0003605,0.0020169999999999997,0.008864192307692273,0.0009139999999999999,4.5e-06,0.0,0.0,0.043539,0.0002525,0.0002525,0.0002525,0.028463000000000002,0.039178000000000004
Borda,0.016560769230769178,0.00268,0.0056099999999999995,0.00113,0.016560769230769178,0.13746999999999998,0.0,0.013940000000000001,0.0,0.024050000000000002,3e-05,3e-05,3e-05,0.013229999999999999,0.01709
EPH,0.0359492307692307,0.00021999999999999998,0.0029200000000000003,0.0,0.0359492307692307,0.27427,0.00669,0.002,0.0,0.06928000000000001,0.0,0.0,0.0,0.050320000000000004,0.06164
SNTV,0.0657407692307692,0.0,0.07789000000000001,0.11395,0.0657407692307692,0.57331,0.02185,0.05964,0.0,0.00058,0.00015,0.00275,0.00275,0.0,0.00176
STV,0.042627692307692255,0.0,0.04285,0.05703,0.042627692307692255,0.40842,0.00536,0.03972,0.0,0.0,0.0,0.00031,0.00031,0.0,0.00015999999999999999
Bloc,0.034815384615384554,0.00015,0.0029000000000000002,0.0,0.034815384615384554,0.25895,0.006699999999999999,0.0,0.0,0.06871000000000001,0.0,0.0,0.0,0.04979,0.0654
CC,0.12960076923076916,0.01488,0.10813,0.16217,0.12960076923076916,0.70026,0.07406,0.08972,0.0,0.18134,0.0,0.00853,0.00853,0.15109,0.1861
lex-CC,0.06511692307692302,0.00942,0.014960000000000001,0.0,0.06511692307692302,0.49455000000000005,0.0067,0.03544,0.0,0.11034,0.0,0.0,0.0,0.08694,0.08817
seq-CC,0.11280846153846151,0.01106,0.09996,0.0969,0.11280846153846151,0.66847,0.04296,0.0865,0.0,0.16502,0.0,0.00044,0.00045,0.13579999999999998,0.15894999999999998
Monroe,0.11333692307692303,0.01066,0.08239,0.14751,0.11333692307692303,0.64184,0.05975,0.07830000000000001,0.0,0.16149999999999998,0.0,0.00074,0.00074,0.13311,0.15683999999999998
Greedy M.,0.0598530769230769,0.00226,0.02327,0.008530000000000001,0.0598530769230769,0.45682999999999996,0.00843,0.032459999999999996,0.0,0.09559000000000001,0.0,0.0,0.0,0.07300999999999999,0.07771
PAV,0.041263076923076875,0.0008799999999999999,0.00345,0.0,0.041263076923076875,0.33306,0.00671,0.00747,0.0,0.07319,0.0,0.0,0.0,0.05385,0.05781
MES,0.04494692307692302,0.00088,0.00469,0.0034400000000000003,0.04494692307692302,0.35986,0.00685,0.01114,0.0,0.07938,0.0,0.0,0.0,0.058219999999999994,0.05985
MAV,0.13921692307692302,0.026170000000000002,0.11186000000000001,0.09712000000000001,0.13921692307692302,0.77906,0.11304,0.10194,0.0,0.16783,0.02198,0.023039999999999998,0.023039999999999998,0.13961,0.20513
RSD,0.10714153846153841,0.01474,0.07899,0.0,0.10714153846153841,0.63442,0.054610000000000006,0.051449999999999996,0.0,0.13505,0.03033,0.03168,0.03168,0.10976,0.22013
Random,0.16293923076923073,0.02682,0.14548,0.19416,0.16293923076923073,0.82471,0.13078,0.10018,0.0,0.18173,0.03014,0.03827,0.03827,0.15103,0.25664
