Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max,0.9615384615384617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNTV,0.3419328617624525,0.0,0.3746150429982801,0.5815017371305148,0.0,0.5815017371305148,0.5815017371305148,0.5815017371305148,0.5815017371305148,0.0,0.5815017371305148,0.5815017371305148,0.0,0.0
Bloc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC,0.4469206557583851,0.2586661073557058,0.42460397144114237,0.6478410283588656,0.07447903283868645,0.6478410283588656,0.6478410283588656,0.6478410283588656,0.6478410283588656,0.0,0.6478410283588656,0.6478410283588656,0.2586661073557058,0.2586661073557058
seq-CC,0.44945674139188274,0.2657158833646654,0.4274739242430303,0.6488710175592977,0.0762189408423663,0.6488710175592977,0.6488710175592977,0.6488710175592977,0.6488710175592977,0.0,0.6488710175592977,0.6488710175592977,0.2657158833646654,0.2657158833646654
lex-CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy M.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random,0.6447721509908835,0.4997259905603776,0.5016140118395265,0.8509309979600816,0.14952899364025438,0.8509309979600816,0.8509309979600816,0.8509309979600816,0.8509309979600816,0.2752,0.8509309979600816,0.8509309979600816,0.4997259905603776,0.4997259905603776
