Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.007729769230769203,0.0,0.0,1.55e-05,0.0,1.0500000000000001e-05,0.0,0.0,0.0437395,0.0,0.0,0.0,0.021492999999999995,0.035228499999999996
Max,0.3903153846153846,0.0,0.87381,0.99992,0.64766,0.51058,0.2514,0.0,0.2172,0.23988,0.31656,0.31656,0.16205999999999998,0.53847
Min,0.006486153846153842,0.0,0.00014,0.004260000000000001,0.0,0.00032,0.0,0.0,0.03283,0.0,0.0,0.0,0.014799999999999999,0.03197
Borda,0.014629230769230724,0.0,0.01883,0.06332,0.0,0.0,0.04306,0.0,0.035140000000000005,0.0,0.0,0.0,0.014750000000000001,0.01508
EPH,0.03868076923076917,0.0,0.016470000000000002,0.36502999999999997,0.01642,0.0,0.00406,0.0,0.04491,0.0,0.0,0.0,0.0221,0.03386
SNTV,0.1397784615384615,0.0,0.31157999999999997,0.7622599999999999,0.07817,0.44887,0.16873,0.0,2e-05,0.00195,0.0025,0.0025,0.0,0.04054
Bloc,0.03846307692307687,0.0,0.01651,0.35894,0.01642,0.0,0.0,0.0,0.04374,0.0,0.0,0.0,0.0215,0.04291
STV,0.10502076923076914,0.0,0.20604,0.62484,0.03362,0.36013,0.13982,0.0,0.0,0.0,0.0,0.0,0.0,0.00082
PAV,0.04684076923076917,0.0,0.01642,0.45078,0.01642,0.0,0.025529999999999997,0.0,0.04995,0.0,0.0,0.0,0.02481,0.02502
MES,0.0470184615384615,0.0,0.01654,0.44791000000000003,0.01654,0.0,0.028499999999999998,0.0,0.050820000000000004,0.0,0.0,0.0,0.02546,0.02547
CC,0.15852076923076922,0.0,0.32742,0.84521,0.08468,0.32386,0.20385,0.0,0.08769,0.0,0.00813,0.00813,0.054650000000000004,0.11715
seq-CC,0.14877692307692306,0.0,0.30523,0.82358,0.0624,0.27784,0.20252,0.0,0.08829999999999999,0.0,1e-05,1e-05,0.05346,0.12075
lex-CC,0.04788461538461535,0.0,0.01642,0.45653,0.01642,0.0,0.02962,0.0,0.05155,0.0,0.0,0.0,0.02598,0.02598
Monroe,0.14500230769230765,0.0,0.279,0.81369,0.06292,0.32509,0.20171,0.0,0.08459,0.0,5e-05,5e-05,0.052919999999999995,0.06501
Greedy M.,0.07299692307692303,0.0,0.10567,0.54695,0.01654,0.0295,0.09938,0.0,0.07035999999999999,0.0,0.0,0.0,0.04018,0.04038
MAV,0.15143923076923077,0.0,0.30433,0.83427,0.08974,0.33635,0.20661000000000002,0.0,0.08775,0.0,0.0,0.0,0.054830000000000004,0.054830000000000004
RSD,0.13802769230769227,0.0,0.27295,0.6527799999999999,0.04551,0.0,0.10943,0.0,0.07921,0.07811,0.07813,0.07813,0.04716,0.35295
Random,0.19211230769230764,0.0,0.4443,0.8361500000000001,0.13502999999999998,0.4506800000000001,0.2045,0.0,0.08789,0.03038,0.03837,0.03837,0.05377,0.17802
