Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.009410540758677302,0.0,0.0,0.014066391200351977,0.0013963944322227,0.0,0.0,0.0,0.030619014743410257,0.0,0.0,0.0,0.021552214743410254,0.05470301474341026
Max,0.16134142154313827,0.0,0.0,0.723793404423823,0.34339679404823803,0.00013599936002559897,0.0,0.0,0.3263920940762369,8.000000000000001e-06,8.000000000000001e-06,8.000000000000001e-06,0.27108009407623695,0.432616094076237
Min,0.00286397954543354,0.0,0.0,0.00833573409063636,0.0,0.0,0.0,0.0,0.000352,0.0,0.0,0.0,0.0,0.028544000000000003
Borda,0.01183861873832734,0.0,0.0,0.11874308035678571,0.0,0.0,0.0,0.0,0.01182365441382344,0.0,0.0,0.0,0.00939165441382344,0.013943654413823442
EPH,0.03983136243781014,0.0,0.0,0.32420501835926563,0.00234395392184312,0.0,0.0,0.0,0.06436624647014118,0.0,0.0,0.0,0.053438246470141185,0.07345424647014118
SNTV,0.03258987848486056,0.0,0.0,0.42040447950081994,0.0029039408023679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036
Bloc,0.03973782397627168,0.0,0.0,0.3225250183592656,0.00234395392184312,0.0,0.0,0.0,0.06422224647014117,0.0,0.0,0.0,0.05339824647014117,0.07410224647014117
STV,0.025167758089676362,0.0,0.0,0.3260048964441422,0.00111195872165112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4e-05
PAV,0.040929208591656274,0.0,0.0,0.3388930183592656,0.00233595392184312,0.0,0.0,0.0,0.06427824647014117,0.0,0.0,0.0,0.05348624647014118,0.07308624647014118
MES,0.04225045417875588,0.0,0.0,0.3537010826766929,0.00228795552177912,0.0,0.0,0.0,0.06531828870845166,0.0,0.0,0.0,0.053326288708451665,0.07462228870845167
CC,0.06779587765412456,0.0,0.0,0.5187706110955561,0.02248730626774928,0.0,0.0,0.0,0.11069349738010481,0.0,0.0,0.0,0.08815749738010478,0.1412374973801048
seq-CC,0.061966411140477407,0.0,0.0,0.4986348808447662,0.012607560017599282,0.0,0.0,0.0,0.09645363465461383,0.0,0.0,0.0,0.07789363465461382,0.11997363465461382
lex-CC,0.04599505474550244,0.0,0.0,0.3925650183592656,0.00239995392184312,0.0,0.0,0.0,0.06754224647014118,0.0,0.0,0.0,0.055606246470141174,0.07982224647014118
Monroe,0.06778356996181688,0.0,0.0,0.5186666110955562,0.02248730626774928,0.0,0.0,0.0,0.1106774973801048,0.0,0.0,0.0,0.0881414973801048,0.14121349738010477
Greedy M.,0.05324104584124324,0.0,0.0,0.44456379280828767,0.00551182976680932,0.0,0.0,0.0,0.07886999112035517,0.0,0.0,0.0,0.06438999112035518,0.09879799112035517
MAV,0.07826356996181687,0.0,0.0,0.6232106110955563,0.041655306267749284,0.0,0.0,0.0,0.1107654973801048,0.0,0.0,0.0,0.0881894973801048,0.1536054973801048
RSD,0.07514670908548268,0.0,0.0,0.5982670005199793,0.02779155937762488,0.0,0.0,0.0,0.10228555273789049,0.0,0.0,0.0,0.08278155273789048,0.16578155273789047
Random,0.08210356806650806,0.0,0.0,0.6354666200551977,0.04295135778568856,4.799936002559898e-05,0.0,0.0,0.11263746922123115,0.0,0.0,0.0,0.08946946922123115,0.18677346922123117
