Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.013769169230769183,1.2000000000000002e-06,0.00014839999999999998,0.0020227999999999995,0.013769169230769183,0.007190400000000001,5.520000000000001e-05,0.0,0.0,0.05757559999999999,0.00012959999999999998,0.00012959999999999998,0.00012959999999999998,0.0441892,0.0674276
Borda,0.02087261538461534,0.001056,0.003888,0.001576,0.02087261538461534,0.149984,0.0,0.008816,0.0,0.03896,7.2e-05,7.2e-05,7.2e-05,0.027552,0.039296
EPH,0.04160430769230762,8.8e-05,0.001288,0.000208,0.04160430769230762,0.301776,0.003632,0.0014,0.0,0.08157600000000001,0.0,0.0,0.0,0.065936,0.084952
SNTV,0.0762818461538461,0.0,0.070784,0.18504,0.0762818461538461,0.6600720000000001,0.014584,0.048392000000000004,0.0,0.001424,0.00011200000000000001,0.0019119999999999999,0.0026639999999999997,0.0,0.00668
STV,0.05204123076923071,0.0,0.036352,0.10563199999999999,0.05204123076923071,0.49992000000000003,0.002728,0.030712,0.0,0.0,0.0,0.000264,0.000368,0.0,0.00056
Bloc,0.04053169230769224,3.2000000000000005e-05,0.001296,0.0,0.04053169230769224,0.283952,0.0036559999999999995,0.0,0.0,0.079408,8.8e-05,8.8e-05,8.8e-05,0.064424,0.09388
CC,0.1498190769230769,0.006383999999999999,0.11779199999999998,0.268424,0.1498190769230769,0.775104,0.044376000000000006,0.072008,0.0,0.21955200000000002,0.0,0.0057599999999999995,0.0066159999999999995,0.187744,0.24388800000000002
lex-CC,0.07085661538461534,0.003488,0.008104,0.0,0.07085661538461534,0.534208,0.0036479999999999993,0.022744,0.0,0.130096,0.0,0.0,0.0,0.107464,0.111384
seq-CC,0.13748123076923074,0.005088,0.11008,0.18328799999999998,0.13748123076923074,0.7534159999999999,0.035048,0.07220000000000001,0.0,0.21228799999999998,0.0,0.002832,0.002832,0.18224799999999997,0.227936
Monroe,0.13457169230769228,0.004728,0.08901600000000001,0.22791999999999998,0.13457169230769228,0.73104,0.042848000000000004,0.06812,0.0,0.200408,0.0,0.001232,0.00196,0.171816,0.210344
Greedy M.,0.06955015384615379,0.001048,0.018528,0.013048,0.06955015384615379,0.511768,0.004224,0.024512,0.0,0.120152,0.0,0.0,0.0,0.09892799999999999,0.111944
PAV,0.04649723076923072,0.000232,0.0014160000000000002,0.0,0.04649723076923072,0.354864,0.0036399999999999996,0.003984,0.0,0.08815999999999999,0.0,0.0,0.0,0.07128,0.08088799999999999
MES,0.053526769230769176,0.000288,0.0026479999999999997,0.004104,0.053526769230769176,0.410104,0.00364,0.008568000000000001,0.0,0.09976,0.0,0.0,0.0,0.080416,0.08632
MAV,0.16380492307692301,0.010704,0.12349600000000001,0.239048,0.16380492307692301,0.842592,0.07521599999999999,0.07619200000000001,0.0,0.206848,0.024792,0.028295999999999998,0.028295999999999998,0.176776,0.297208
RSD,0.11724984615384608,0.005824,0.0732,0.0,0.11724984615384608,0.676608,0.031360000000000006,0.037968,0.0,0.16240000000000002,0.030199999999999998,0.031184,0.031703999999999996,0.137744,0.30605600000000005
Random,0.1811587692307692,0.011095999999999998,0.149856,0.29588000000000003,0.1811587692307692,0.8678079999999999,0.08680000000000002,0.074944,0.0,0.224744,0.0306,0.03712800000000001,0.038472,0.193448,0.344288
