Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.014155046153846112,0.0,0.00011560000000000003,0.007096399999999998,4.7199999999999995e-05,0.0020399999999999997,0.0,0.0,0.059275999999999995,0.00017240000000000002,0.00017240000000000002,0.00017240000000000002,0.045551999999999995,0.06937120000000001
Max,0.37853107692307686,0.02144,0.282792,0.9760880000000001,0.6686639999999999,0.55004,0.08560799999999999,0.0,0.483296,0.211576,0.228176,0.23788,0.44353600000000004,0.731808
Min,0.006955076923076872,0.0,0.000656,0.041264,0.0,0.000504,0.000272,0.0,0.010280000000000001,0.0,0.0,0.0,0.0051920000000000004,0.032248
Borda,0.02136430769230764,0.001096,0.0037359999999999997,0.153976,0.0,0.001384,0.009192,0.0,0.040032,7.2e-05,7.2e-05,7.2e-05,0.028224,0.03988
EPH,0.04308307692307686,5.6000000000000006e-05,0.001448,0.309576,0.0038,0.000272,0.00172,0.0,0.085592,0.0,0.0,0.0,0.068928,0.08868799999999999
SNTV,0.07665353846153841,0.0,0.069,0.664336,0.015704000000000003,0.18637600000000001,0.047616000000000006,0.0,0.0014240000000000001,0.00015199999999999998,0.002168,0.002816,0.0,0.006904
Bloc,0.04193292307692302,8.000000000000001e-06,0.001464,0.29050400000000004,0.0038079999999999998,0.0,0.0,0.0,0.08331999999999999,0.000152,0.000152,0.000152,0.06725600000000001,0.098312
STV,0.05263261538461537,0.0,0.036512,0.506616,0.00276,0.106216,0.0308,0.0,0.0,0.0,0.000296,0.000392,0.0,0.000632
PAV,0.04814030769230764,0.00023200000000000006,0.0016320000000000002,0.36387200000000003,0.003832,0.0,0.00432,0.0,0.092624,0.0,0.0,0.0,0.07469600000000001,0.084616
MES,0.05509292307692302,0.00031200000000000005,0.00276,0.41855200000000004,0.003927999999999999,0.00412,0.008944,0.0,0.103864,0.0,0.0,0.0,0.08396,0.08976799999999999
CC,0.15011938461538454,0.006272,0.11408800000000001,0.7768880000000001,0.044655999999999994,0.2694,0.07077599999999999,0.0,0.22136,0.0,0.005656,0.0066560000000000005,0.19031199999999998,0.245488
seq-CC,0.13610892307692302,0.0046960000000000005,0.105168,0.75092,0.033816,0.18282400000000001,0.06967999999999999,0.0,0.21055200000000002,0.0,0.002344,0.002344,0.18025599999999997,0.226816
lex-CC,0.07186523076923072,0.003304,0.007880000000000002,0.5381199999999999,0.003832,0.0,0.022896,0.0,0.13390399999999997,0.0,0.0,0.0,0.11008,0.114232
Monroe,0.13539815384615378,0.004456,0.086952,0.735584,0.0432,0.230144,0.06728799999999999,0.0,0.20281600000000002,0.0,0.001168,0.001984,0.174392,0.21219200000000002
Greedy M.,0.07084430769230766,0.000872,0.018576,0.516672,0.004568,0.012640000000000002,0.024343999999999998,0.0,0.12450399999999999,0.0,0.0,0.0,0.10244,0.11635999999999999
MAV,0.16354461538461534,0.010128,0.117736,0.8419760000000001,0.074344,0.24137599999999998,0.074704,0.0,0.208784,0.024759999999999997,0.028272000000000002,0.028272000000000002,0.178704,0.297024
RSD,0.11817661538461532,0.005688,0.070496,0.6770560000000001,0.03132,0.0,0.036928,0.0,0.16618399999999997,0.030671999999999998,0.03156,0.032048,0.14177599999999999,0.312568
Random,0.18079015384615382,0.010744,0.14436,0.8664720000000001,0.089344,0.29700800000000005,0.07341600000000001,0.0,0.225752,0.029856,0.036104,0.037592,0.19459200000000001,0.345032
