Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,8.738461538460845e-06,0.0,0.0,0.00011359999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max,0.5404892307692307,0.014512,0.014568000000000001,0.9666319999999999,0.805184,1.0,0.21178399999999997,0.2,0.60684,0.4,0.6,0.6,0.60684,1.0
Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borda,0.00318276923076918,0.0,8.000000000000001e-06,0.041359999999999994,0.0,0.0,8.000000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPH,0.010145846153846099,3.2000000000000005e-05,0.0,0.131456,0.0,0.0,0.0,0.0,0.000136,0.0,0.0,0.0,0.000136,0.000136
SNTV,0.02471323076923072,0.0,0.002928,0.314128,0.0,0.0,0.004216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloc,0.010145846153846099,3.2000000000000005e-05,0.0,0.131456,0.0,0.0,0.0,0.0,0.000136,0.0,0.0,0.0,0.000136,0.000136
STV,0.00988061538461534,0.0,0.000368,0.12754400000000002,0.0,0.0,0.000536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAV,0.010145846153846099,3.2000000000000005e-05,0.0,0.131456,0.0,0.0,0.0,0.0,0.000136,0.0,0.0,0.0,0.000136,0.000136
MES,0.010185846153846118,4e-05,8.000000000000001e-06,0.131864,0.0,0.0,0.0,0.0,0.00016800000000000002,0.0,0.0,0.0,0.00016800000000000002,0.00016800000000000002
CC,0.24962338461538458,0.004104,0.00572,0.673584,0.03604,0.45020800000000005,0.196912,0.189744,0.452656,0.0,0.230104,0.230104,0.380328,0.39560000000000006
seq-CC,0.24692615384615374,0.003056,0.005552,0.647192,0.03516,0.44996,0.197096,0.19045600000000001,0.450488,0.0,0.23052,0.23052,0.377352,0.39268800000000004
lex-CC,0.010145846153846099,3.2000000000000005e-05,0.0,0.131456,0.0,0.0,0.0,0.0,0.000136,0.0,0.0,0.0,0.000136,0.000136
Monroe,0.12178276923076921,0.00252,0.003232,0.476784,0.03404,0.25384,0.004664,0.0,0.256184,0.0,0.033352,0.033352,0.242584,0.242624
Greedy M.,0.02093353846153842,8.8e-05,0.0009119999999999999,0.26908,0.0,0.0,0.001072,0.0,0.000328,0.0,0.0,0.0,0.000328,0.000328
MAV,0.09392246153846152,0.004152,0.003608,0.5478479999999999,0.050064,0.20029599999999997,0.008952,0.0,0.102912,0.0,0.0,0.0,0.101664,0.20149599999999998
RSD,0.033923692307692266,0.002088,0.0021999999999999997,0.426232,0.0,0.0,0.005688,0.0,0.0016,0.0,0.0,0.0,0.0016,0.0016
Random,0.31591323076923084,0.007176,0.007232000000000001,0.855008,0.079944,0.7094320000000001,0.20045600000000002,0.190192,0.45479200000000003,0.051936,0.27256,0.27256,0.38349599999999995,0.622088
