Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.031948187999659455,0.0014869998400063994,0.0040083290535045165,0.01900829866805327,0.0009766454808474226,0.04107118289935069,0.0002496665066730658,1.0000000000000002e-06,0.10968599999999999,0.006116666666666666,0.006683666666666668,0.007159666666666666,0.08887433333333333,0.13000398821380477
Max,0.541693182775253,0.5112698241403676,0.5099165366718664,0.79406748183406,0.6198217279308827,0.6368362553497859,0.45855649080703437,0.04064635121261815,0.7270863512126181,0.28287968454595147,0.4468263512126182,0.4585263512126181,0.7133730178792849,0.8422049520685838
Min,0.013683074769316883,0.0,0.00214,0.03641331200085328,0.0,0.00568666000026665,0.00604,0.0,0.03344666666666667,0.0,6.6666666666666675e-06,6.6666666666666675e-06,0.024206666666666668,0.06993333333333333
Borda,0.03790545914573668,0.016559467221311134,0.01624,0.15804562857485702,0.0,0.048953072543764915,0.07409946722131112,0.0,0.06176,0.0008733333333333333,0.00088,0.00088,0.048979999999999996,0.06549999999999999
EPH,0.04226557573594488,0.004886666666666667,0.0036399914670079835,0.12819252056584404,0.0011333058677652833,6.6666666666666675e-06,0.00884,0.0,0.14134666666666668,0.00047333333333333336,0.00047333333333333336,0.00047333333333333336,0.11870666666666667,0.14128
SNTV,0.13596660065905053,0.0,0.20786665786701866,0.5679991754996466,0.0013666418676586166,0.27472,0.33037333333333335,0.02885333333333333,0.18766666666666668,2e-05,0.07997333333333333,0.08778000000000001,0.0,0.0009466666666666667
Bloc,0.03936762701799617,0.0010199999999999999,0.0010133248003413166,0.10998585389917737,0.0011333058677652833,0.0,0.0,0.0,0.13752666666666666,0.0012666666666666666,0.0012666666666666666,0.0012666666666666666,0.11481333333333334,0.14248666666666668
STV,0.04549381089371807,0.0,0.07011333333333335,0.2945062170846499,0.00013333333333333334,0.10971999146700799,0.11504666666666669,0.0,0.0,2e-05,0.0003066666666666667,0.0007,0.0,0.0008733330666773328
PAV,0.04731685778722694,0.00992,0.007879991467007982,0.1598991872325107,0.0011333058677652833,0.0,0.02166,0.0,0.14751333333333333,0.0,0.0,0.0,0.12407333333333333,0.14304
MES,0.05382813912058898,0.015126666666666668,0.01563332453368532,0.20023917549964665,0.0010933085343252833,0.0003466666666666667,0.040106666666666665,0.0,0.15478666666666666,0.0,0.0,0.0,0.12774666666666665,0.14468666666666666
CC,0.23742762701799613,0.15387333333333333,0.23102665813367462,0.6158591872325107,0.02751330586776528,0.31815333333333334,0.34792666666666666,0.03082666666666667,0.4518533333333334,0.0,0.11122666666666665,0.12362000000000001,0.32105333333333336,0.3536266666666667
seq-CC,0.22071736988981974,0.13851999999999998,0.22004665786701863,0.6050258421663134,0.024073308534325284,0.26836,0.3427266666666667,0.030520000000000002,0.42638666666666664,0.0,0.09244666666666668,0.10032666666666668,0.29607999999999995,0.32481333333333334
lex-CC,0.11208044753081668,0.07354666666666666,0.07323999146700798,0.422512520565844,0.00113997253443195,0.0,0.21262,0.0,0.2656266666666667,0.0,6.6666666666666675e-06,6.6666666666666675e-06,0.1947266666666667,0.21362
Monroe,0.12365942188979102,0.05585333333333334,0.10710665813367466,0.4105991872325107,0.01800663920109862,0.14856666666666668,0.15870666666666666,0.0,0.2678133333333333,0.0,0.0006266666666666666,0.0014533333333333334,0.20495333333333335,0.2338866666666667
Greedy M.,0.07067326732571719,0.028053333333333333,0.03440665786701865,0.2691991754996466,0.00321997520099195,0.013266666666666668,0.07949333333333333,0.0,0.18020666666666665,0.0,0.0,0.0,0.14455333333333334,0.16635333333333333
MAV,0.2328829966801328,0.20249058251003293,0.20035953015212724,0.6864752921883124,0.04135260349586015,0.29361121901790593,0.38461058251003294,0.0,0.4058333333333333,0.0257,0.058633333333333336,0.05864,0.2943733333333333,0.37539914696745463
RSD,0.11147450510184714,0.07571241630334787,0.07455317440635706,0.3577241577003587,0.017326401610602234,0.0,0.11595241630334786,0.0,0.24351333333333333,0.02666666666666667,0.04025333333333333,0.04205333333333333,0.19447333333333336,0.26094
Random,0.3036684192529734,0.25759700678639524,0.25539285148594054,0.7313883433995975,0.05337926696265482,0.4350110190259056,0.42258367345306186,0.03731973147740757,0.48767306481074085,0.07680639814407424,0.17893306481074092,0.19558639814407422,0.3591397314774076,0.45687890031065415
