Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.022468230769230726,4e-06,9.433333333333335e-05,0.01496,0.00021466666666666664,0.003512666666666666,6.666666666666668e-07,0.0,0.08934833333333335,0.0005529999999999999,0.0005529999999999999,0.0005529999999999999,0.06795999999999998,0.11433333333333333
Max,0.3788846153846153,0.00732,0.13848666666666667,0.9638733333333334,0.5997866666666667,0.6053066666666667,0.034506666666666665,0.0,0.5129,0.22835333333333332,0.28696000000000005,0.30890666666666666,0.4652133333333333,0.7738866666666665
Min,0.01116461538461534,0.0,0.0010066666666666668,0.06652666666666666,0.0,0.0010266666666666668,0.00022666666666666666,0.0,0.011633333333333334,0.0,0.0,0.0,0.003766666666666667,0.06095333333333334
Borda,0.028618974358974304,0.00047333333333333336,0.0020266666666666666,0.17974,0.0,0.0019866666666666665,0.004246666666666667,0.0,0.06388666666666666,0.00012666666666666666,0.00012666666666666666,0.00012666666666666666,0.04618,0.07312666666666666
EPH,0.056287179487179456,1.3333333333333335e-05,0.00066,0.37586666666666674,0.0029199999999999994,4.6666666666666665e-05,0.00062,0.0,0.12340666666666666,0.0,0.0,0.0,0.09686666666666667,0.13133333333333333
SNTV,0.08318820512820506,0.0,0.041659999999999996,0.7397533333333333,0.012513333333333333,0.23953333333333335,0.02328,0.0,0.002373333333333333,0.0004933333333333334,0.0012066666666666667,0.005146666666666667,0.0,0.015486666666666668
Bloc,0.05506717948717945,6.6666666666666675e-06,0.00068,0.34946000000000005,0.0029666666666666665,0.0,0.0,0.0,0.11888666666666665,0.0007599999999999999,0.0007599999999999999,0.0007599999999999999,0.09357333333333333,0.14802
STV,0.0627215384615384,0.0,0.025333333333333333,0.6128999999999999,0.0022,0.15580666666666668,0.017093333333333335,0.0,0.0,0.0,6.666666666666667e-05,0.0007933333333333334,0.0,0.0011866666666666666
PAV,0.06182871794871792,5.333333333333334e-05,0.0007866666666666667,0.43570000000000003,0.0029199999999999994,0.0,0.0018266666666666668,0.0,0.13310666666666668,0.0,0.0,0.0,0.10451333333333333,0.12486666666666667
MES,0.07134512820512817,6e-05,0.00166,0.5095466666666667,0.0030399999999999997,0.0031733333333333336,0.005333333333333333,0.0,0.1503,0.0,0.0,0.0,0.11996666666666667,0.13440666666666667
CC,0.15641230769230763,0.00232,0.058206666666666664,0.8237866666666666,0.03339999999999999,0.30878,0.0295,0.0,0.25733999999999996,0.0,0.0031599999999999996,0.006913333333333334,0.21643333333333334,0.29352
seq-CC,0.1460507692307692,0.00164,0.055066666666666673,0.8073199999999999,0.02599333333333333,0.22956666666666667,0.029633333333333334,0.0,0.25221333333333334,0.0,0.00126,0.0018000000000000002,0.2116,0.2825666666666667
lex-CC,0.08296205128205125,0.0011533333333333333,0.003453333333333333,0.60016,0.0029199999999999994,0.0,0.009706666666666667,0.0,0.17119333333333334,0.0,0.0,0.0,0.13853333333333331,0.15138666666666667
Monroe,0.14622769230769225,0.0016666666666666668,0.04859333333333333,0.7986733333333333,0.03155333333333333,0.27699999999999997,0.028993333333333333,0.0,0.24323333333333333,0.0,0.00036,0.0030066666666666666,0.20481333333333332,0.2630666666666666
Greedy M.,0.08540666666666662,0.0001866666666666667,0.010493333333333334,0.6008333333333332,0.003393333333333333,0.01342,0.012106666666666668,0.0,0.16843333333333332,0.0,0.0,0.0,0.13646,0.16496
MAV,0.16565641025641017,0.0038066666666666665,0.05644,0.8758133333333333,0.05149999999999999,0.2947066666666667,0.030873333333333336,0.0,0.24975333333333335,0.014686666666666667,0.015453333333333333,0.015453333333333333,0.20848,0.3365666666666667
RSD,0.131585641025641,0.002093333333333333,0.037066666666666664,0.725,0.021386666666666665,0.0,0.015280000000000002,0.0,0.2046066666666667,0.04162,0.043673333333333335,0.04445333333333334,0.17068666666666665,0.40474666666666664
Random,0.18113794871794867,0.00396,0.07048666666666666,0.8858933333333332,0.05975333333333333,0.33476,0.030733333333333335,0.0,0.25739333333333336,0.027460000000000002,0.03108666666666667,0.036373333333333334,0.21680666666666668,0.4000866666666667
