Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.02083774358974354,6.666666666666668e-07,0.0003476666666666667,0.015266333333333333,0.00010033333333333334,0.0035989999999999998,3.3333333333333337e-06,0.0,0.08232433333333333,0.000539,0.000539,0.000539,0.06184566666666666,0.10578633333333333
Max,0.39851025641025634,0.0083,0.23902666666666664,0.9675199999999999,0.6211933333333333,0.6396000000000001,0.05435333333333333,0.0,0.5194866666666667,0.23630666666666666,0.30466000000000004,0.33124666666666663,0.47353333333333336,0.7854066666666667
Min,0.01035999999999995,0.0,0.0011400000000000002,0.060739999999999995,0.0,0.0007666666666666667,0.00023333333333333333,0.0,0.011086666666666667,0.0,0.0,0.0,0.0035,0.05721333333333333
Borda,0.02725128205128198,0.00054,0.0023466666666666666,0.17,0.0,0.0016933333333333338,0.0047866666666666665,0.0,0.06095333333333333,0.00015999999999999999,0.00015999999999999999,0.00015999999999999999,0.043693333333333334,0.06977333333333333
EPH,0.05111589743589739,2e-05,0.0005933333333333333,0.3469,0.0024,6.6666666666666675e-06,0.00066,0.0,0.10973999999999999,1.3333333333333335e-05,1.3333333333333335e-05,1.3333333333333335e-05,0.08600666666666668,0.11814000000000001
SNTV,0.08465435897435895,0.0,0.05754666666666667,0.7335066666666666,0.010466666666666666,0.24195333333333333,0.03308666666666667,0.0,0.00216,0.0005066666666666667,0.0015333333333333334,0.00518,0.0,0.014566666666666667
Bloc,0.04972358974358968,6.6666666666666675e-06,0.0005799999999999999,0.32147333333333333,0.00248,0.0,0.0,0.0,0.10538666666666667,0.0005466666666666667,0.0005466666666666667,0.0005466666666666667,0.08252,0.13232000000000002
STV,0.06231794871794868,0.0,0.03224,0.5950933333333334,0.001966666666666667,0.1562666666666667,0.022673333333333334,0.0,0.0,0.0,5.333333333333334e-05,0.0007466666666666666,0.0,0.0010933333333333333
PAV,0.056308205128205085,0.00012,0.0006666666666666666,0.4044933333333333,0.0024,0.0,0.0016733333333333333,0.0,0.11775999999999999,0.0,0.0,0.0,0.0926,0.11229333333333334
MES,0.06507538461538459,0.00012,0.0013666666666666669,0.47461333333333333,0.0023333333333333335,0.0027266666666666667,0.005726666666666667,0.0,0.13303333333333334,0.0,0.0,0.0,0.10622,0.11983999999999999
CC,0.16490666666666662,0.002613333333333334,0.09848,0.8256799999999999,0.033446666666666666,0.33166,0.04642666666666667,0.0,0.26430000000000003,0.0,0.004873333333333334,0.010146666666666667,0.22372666666666663,0.30243333333333333
seq-CC,0.1518061538461538,0.0017533333333333333,0.09182,0.8068666666666666,0.025639999999999996,0.24873333333333333,0.04662666666666667,0.0,0.25193333333333334,0.0,0.0020133333333333336,0.0028333333333333335,0.21200666666666668,0.2832533333333333
lex-CC,0.07873538461538455,0.00134,0.0042,0.5780066666666667,0.0024,0.0,0.011946666666666666,0.0,0.15714000000000003,0.0,0.0,0.0,0.12771333333333332,0.14081333333333332
Monroe,0.15182564102564097,0.0020466666666666667,0.07784666666666666,0.7954533333333332,0.03137333333333333,0.2886866666666667,0.045586666666666664,0.0,0.24827333333333335,0.0,0.0008266666666666668,0.004046666666666667,0.21054666666666666,0.26904666666666666
Greedy M.,0.08092974358974357,0.0003266666666666667,0.01434,0.572,0.0026333333333333334,0.012346666666666667,0.016266666666666665,0.0,0.15593333333333334,0.0,0.0,0.0,0.12586666666666665,0.15237333333333333
MAV,0.1730502564102564,0.00402,0.09738000000000001,0.8735133333333333,0.05165333333333333,0.3181,0.04802,0.0,0.25218,0.01646,0.017786666666666666,0.017786666666666666,0.212,0.3407533333333333
RSD,0.13043743589743587,0.002086666666666667,0.05644,0.7157066666666666,0.020926666666666666,0.0,0.023593333333333338,0.0,0.19714666666666666,0.0392,0.040913333333333336,0.04196666666666667,0.16514000000000004,0.3925666666666667
Random,0.191785641025641,0.004213333333333334,0.12079333333333335,0.8896000000000001,0.06160000000000001,0.36365333333333333,0.04800000000000001,0.0,0.2647333333333333,0.029979999999999996,0.03496666666666667,0.04208666666666666,0.22386666666666669,0.4097199999999999
