Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.021144358006192524,1.6666666666666669e-06,9.833333333333334e-05,0.002880988773782367,0.021144358006192524,0.013185666293348263,2.899901337278581e-05,3.333333333333334e-07,0.0,0.08426533333333334,0.0006550000000000001,0.0006550000000000001,0.0006550000000000001,0.06370633333333332,0.10874400000000001
Borda,0.0277963375003461,0.00033998746716796673,0.002173333333333333,0.0019733200005333,0.0277963375003461,0.17335242590296385,0.0,0.0046333208005013005,0.0,0.062286666666666664,0.00019333333333333333,0.00019333333333333333,0.00019333333333333333,0.04460666666666666,0.07140666666666666
EPH,0.05289457000181527,2e-05,0.0006399853339199667,4.666666666666667e-05,0.05289457000181527,0.35686285401917256,0.002453237337173167,0.0009066666666666666,0.0,0.11387999999999998,4e-05,4e-05,4e-05,0.08973333333333333,0.12296666666666667
SNTV,0.08516892721214227,0.0,0.05564665360052264,0.24796666666666667,0.08516892721214227,0.7358761668199939,0.011126566670666499,0.032053333333333336,0.0,0.0022600000000000003,0.00048,0.00144,0.005293333333333333,0.0,0.015053333333333333
STV,0.06285060700136091,0.0,0.03068,0.15954000000000002,0.06285060700136091,0.6004778910176927,0.0021333333333333334,0.02191333333333333,0.0,0.0,1.3333333333333335e-05,0.00013333333333333334,0.0007266666666666667,0.0,0.00144
Bloc,0.051472005899251154,6.6666666666666675e-06,0.0006733186672532999,0.0,0.051472005899251154,0.3307695206858392,0.0024665706705065,0.0,0.0,0.10925999999999998,0.0006333333333333333,0.0006333333333333333,0.0006333333333333333,0.08628000000000001,0.13777999999999999
CC,0.1627135443607896,0.00254,0.09230665200058663,0.3286666666666667,0.1627135443607896,0.8264895206858393,0.033159904003839835,0.04418,0.0,0.25946,0.0,0.004213333333333334,0.008766666666666667,0.2188,0.2966933333333333
lex-CC,0.08006021102745631,0.0011333333333333332,0.0040733186672533,0.0,0.08006021102745631,0.5825495206858392,0.0024665706705065,0.012126666666666668,0.0,0.16193333333333335,0.0,0.0,0.0,0.13165999999999997,0.14484
seq-CC,0.1517422605454756,0.00196,0.08668665360052263,0.24671333333333334,0.1517422605454756,0.8084028334866605,0.025679900003999834,0.04429333333333333,0.0,0.25540666666666667,0.0,0.0015333333333333334,0.00218,0.21484,0.28495333333333334
Monroe,0.1501504674377127,0.0019866666666666665,0.07212665200058664,0.28708666666666666,0.1501504674377127,0.7971495206858391,0.031093237337173164,0.043366666666666664,0.0,0.24464666666666668,0.0,0.00046666666666666666,0.0033466666666666666,0.2065,0.2641866666666667
Greedy M.,0.08221969644291147,0.0003133333333333334,0.013939986933855966,0.013633333333333332,0.08221969644291147,0.5773828334866605,0.0029132333373331665,0.01602,0.0,0.15946000000000002,0.0,0.0,0.0,0.12880666666666665,0.15638666666666667
PAV,0.05803713410437938,0.00011333333333333334,0.0006999853339199668,0.0,0.05803713410437938,0.41408285401917255,0.002453237337173167,0.0020933333333333333,0.0,0.12213333333333332,0.0,0.0,0.0,0.09621999999999999,0.11668666666666666
MES,0.06684687593009098,0.00011333333333333334,0.0013933202671893002,0.0029133333333333333,0.06684687593009098,0.4840695001533272,0.002553233337333167,0.006259999999999999,0.0,0.13752,0.0,0.0,0.0,0.10999333333333333,0.12419333333333332
MAV,0.17126306184675685,0.0033999682679359336,0.08956644854205831,0.31598650960628244,0.17126306184675685,0.8742877700891966,0.052612501366612,0.04513330160126927,0.0,0.24881333333333333,0.016333333333333335,0.017473333333333334,0.017473333333333334,0.20802666666666667,0.3373133045344853
RSD,0.13122520432516027,0.0019599816007359666,0.05287989867071983,0.0,0.13122520432516027,0.7185682911350213,0.0208995032198712,0.022213314934069295,0.0,0.2029,0.0383,0.040619999999999996,0.041653333333333334,0.16879999999999998,0.3971333333333333
Random,0.18967793343650863,0.003853298934709267,0.11354644907537031,0.3623131738730451,0.18967793343650863,0.8879211316880659,0.061432488833779976,0.045259965601375934,0.0,0.26244,0.029060000000000002,0.03352666666666667,0.040113333333333334,0.22071333333333332,0.4056332933349333
