Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNTV,0.4339553846153847,0.0,0.41592,0.7465,0.4339553846153847,0.7465,0.0,0.7465,0.7465,0.7465,0.0,0.7465,0.7465,0.0,0.0
STV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC,0.5314158974358976,0.30978666666666665,0.45488666666666666,0.7839333333333333,0.5314158974358976,0.7839333333333333,0.03662666666666667,0.7839333333333333,0.7839333333333333,0.7839333333333333,0.0,0.7839333333333333,0.7839333333333333,0.30978666666666665,0.30978666666666665
lex-CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq-CC,0.5316974358974359,0.3119866666666667,0.45446666666666663,0.78368,0.5316974358974359,0.78368,0.03588,0.78368,0.78368,0.78368,0.0,0.78368,0.78368,0.3119866666666667,0.3119866666666667
Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy M.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random,0.6772425641025642,0.4992400000000001,0.50076,0.9273066666666666,0.6772425641025642,0.9273066666666666,0.07302666666666667,0.9273066666666666,0.9273066666666666,0.9273066666666666,0.24149999999999996,0.9273066666666666,0.9273066666666666,0.4992400000000001,0.4992400000000001
