Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.017988076923076874,0.000236,0.0007986666666666666,0.018302666666666665,0.00035600000000000003,0.007129333333333334,5e-06,1.3333333333333336e-06,0.06291333333333333,0.0009176666666666668,0.0009793333333333336,0.0010446666666666666,0.04709266666666667,0.09406833333333335
Max,0.4400482051282051,0.12510000000000002,0.3379933333333333,0.92046,0.6344599999999999,0.62108,0.17500666666666667,0.07611333333333332,0.5545133333333333,0.23321333333333336,0.35359333333333326,0.38077333333333335,0.5210333333333333,0.7872866666666667
Min,0.008796410256410217,0.0,0.00098,0.03670666666666667,0.0,0.00102,0.0005800000000000001,0.0,0.011266666666666666,0.0,0.0,0.0,0.0053,0.058499999999999996
Borda,0.021509230769230715,0.0012866666666666666,0.004173333333333334,0.12678666666666666,0.0,0.004066666666666666,0.011106666666666666,0.0,0.04393333333333333,0.00014666666666666666,0.00014666666666666666,0.00014666666666666666,0.03138666666666667,0.05644
EPH,0.039939487179487136,0.0003333333333333333,0.0011200000000000001,0.27197333333333334,0.0020133333333333336,2.666666666666667e-05,0.00126,0.0,0.0823,4e-05,4e-05,4e-05,0.06348666666666666,0.09658
SNTV,0.09927487179487172,0.0,0.09695999999999999,0.6195066666666666,0.007326666666666666,0.22672666666666666,0.10572,0.04895333333333333,0.061866666666666674,0.00044666666666666666,0.053559999999999997,0.057326666666666665,0.0,0.012180000000000002
Bloc,0.03904512820512817,8.666666666666668e-05,0.0009533333333333335,0.2563066666666667,0.0020266666666666666,0.0,0.0,0.0,0.07984666666666666,0.00040666666666666667,0.00040666666666666667,0.00040666666666666667,0.06149333333333334,0.10565333333333334
STV,0.04839025641025635,0.0,0.03592,0.4429066666666667,0.0018599999999999999,0.11739333333333335,0.028986666666666664,0.0,0.0,0.0,6e-05,0.00106,0.0,0.0008866666666666667
PAV,0.0435984615384615,0.0006666666666666666,0.001386666666666667,0.3108733333333334,0.0020266666666666666,0.0,0.004113333333333333,0.0,0.08802,0.0,0.0,0.0,0.06831333333333332,0.09138
MES,0.04872051282051278,0.001,0.002153333333333333,0.35273333333333334,0.0019733333333333334,0.0013666666666666664,0.008033333333333333,0.0,0.09632666666666667,0.0,0.0,0.0,0.07534,0.09444000000000001
CC,0.19490820512820506,0.03642666666666667,0.14478,0.7575866666666666,0.03164666666666666,0.34592,0.1404,0.061393333333333334,0.30795333333333336,0.0,0.08410666666666666,0.09088,0.23166,0.30105333333333334
seq-CC,0.18247999999999998,0.031953333333333334,0.1376666666666667,0.7423066666666666,0.024326666666666667,0.29595333333333335,0.13987333333333332,0.06129999999999999,0.28958666666666666,0.0,0.07774666666666667,0.08123999999999999,0.21431333333333333,0.27597333333333335
lex-CC,0.061591794871794836,0.005346666666666667,0.007213333333333333,0.44277333333333324,0.0020266666666666666,0.0,0.023833333333333335,0.0,0.11682666666666668,0.0,0.0,0.0,0.09139333333333333,0.11128
Monroe,0.12978564102564097,0.006446666666666667,0.07758666666666668,0.6502933333333333,0.026039999999999997,0.23422666666666667,0.05995333333333334,0.0,0.21434666666666669,0.0,0.0018933333333333335,0.005853333333333333,0.17936,0.23121333333333335
Greedy M.,0.0633358974358974,0.00202,0.01829333333333333,0.4498733333333334,0.0026533333333333335,0.011986666666666666,0.02268666666666667,0.0,0.11112666666666667,0.0,0.0,0.0,0.08797333333333333,0.11675333333333333
MAV,0.157325641025641,0.021766666666666667,0.10759333333333333,0.7514266666666667,0.04399333333333333,0.2792533333333333,0.08390666666666667,0.0,0.2189,0.01514,0.02272666666666667,0.02272666666666667,0.17857333333333333,0.29922666666666664
RSD,0.10513230769230764,0.007606666666666668,0.05518666666666666,0.5950133333333333,0.01556,0.0,0.035006666666666665,0.0,0.14722000000000002,0.029253333333333336,0.03144,0.03228,0.11941999999999998,0.2987333333333333
Random,0.23666820512820508,0.06192666666666668,0.17026666666666668,0.8462800000000001,0.05759333333333333,0.4052466666666667,0.16000666666666666,0.07087333333333333,0.32566,0.04889333333333334,0.1250133333333333,0.13430666666666666,0.2517333333333333,0.41888666666666663
