Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.0010524102564102233,3.333333333333334e-07,0.0,0.000555,0.0010524102564102233,0.011497333333333333,7.333333333333333e-06,0.0,0.0,0.0005506666666666666,0.0,0.0,0.0,0.0005346666666666667,0.0005359999999999999
Borda,0.0046805128205128005,0.0,0.0,0.0,0.0046805128205128005,0.06084666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPH,0.014052820512820481,1.3333333333333335e-05,0.0,0.0,0.014052820512820481,0.18257333333333334,0.0,0.0,0.0,3.3333333333333335e-05,0.0,0.0,0.0,3.3333333333333335e-05,3.3333333333333335e-05
SNTV,0.030474358974358934,0.0,4e-05,2.666666666666667e-05,0.030474358974358934,0.39574666666666664,0.0,0.0003533333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.0145261538461538,0.0,6.6666666666666675e-06,0.0,0.0145261538461538,0.18869333333333335,0.0,0.00014000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloc,0.014052307692307664,1.3333333333333335e-05,0.0,0.0,0.014052307692307664,0.18256666666666665,0.0,0.0,0.0,3.3333333333333335e-05,0.0,0.0,0.0,3.3333333333333335e-05,3.3333333333333335e-05
CC,0.26356307692307684,0.0041800000000000006,0.0001,0.5021666666666667,0.26356307692307684,0.69748,0.02838,0.16364,0.16198666666666667,0.5038666666666667,0.0,0.22445333333333337,0.22446666666666668,0.44942666666666664,0.46617333333333333
lex-CC,0.01612923076923075,1.3333333333333335e-05,0.0,0.0,0.01612923076923075,0.20956666666666668,0.0,0.0,0.0,3.3333333333333335e-05,0.0,0.0,0.0,3.3333333333333335e-05,3.3333333333333335e-05
seq-CC,0.2600528205128205,0.003533333333333333,5.333333333333334e-05,0.5003533333333333,0.2600528205128205,0.67494,0.023440000000000003,0.16288,0.16159333333333334,0.5007400000000001,0.0,0.22190000000000001,0.2219066666666667,0.4463266666666666,0.46302000000000004
Monroe,0.13669846153846152,0.0027066666666666667,2.666666666666667e-05,0.30516666666666664,0.13669846153846152,0.51242,0.024006666666666666,2e-05,0.0,0.30679999999999996,0.0,0.017753333333333333,0.017766666666666667,0.2952066666666667,0.2952066666666667
Greedy M.,0.02620051282051278,8e-05,0.0,6.6666666666666675e-06,0.02620051282051278,0.33965333333333336,0.0,0.00020666666666666666,0.0,0.00022,0.0,0.0,0.0,0.00022,0.00022
PAV,0.01414871794871793,1.3333333333333335e-05,0.0,0.0,0.01414871794871793,0.18381999999999998,0.0,0.0,0.0,3.3333333333333335e-05,0.0,0.0,0.0,3.3333333333333335e-05,3.3333333333333335e-05
MES,0.014999999999999966,6.6666666666666675e-06,0.0,0.0,0.014999999999999966,0.19485333333333332,0.0,0.0,0.0,4.6666666666666665e-05,0.0,0.0,0.0,4.6666666666666665e-05,4.6666666666666665e-05
MAV,0.12357692307692303,0.004006666666666667,6e-05,0.28606,0.12357692307692303,0.60352,0.039586666666666666,0.003726666666666666,0.0,0.19246,0.0,6.6666666666666675e-06,6.6666666666666675e-06,0.19088000000000002,0.2861866666666667
RSD,0.037599487179487134,0.0018066666666666667,2.666666666666667e-05,0.0,0.037599487179487134,0.4805533333333334,0.0,0.0024066666666666668,0.0,0.0013333333333333333,0.0,0.0,0.0,0.0013333333333333333,0.0013333333333333333
Random,0.32441794871794866,0.007286666666666667,0.0001,0.7364733333333332,0.32441794871794866,0.85374,0.05018,0.16620666666666667,0.16171333333333335,0.5032800000000001,0.06748,0.27208,0.27208666666666664,0.45198,0.6748266666666667
