Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,4.4181818181818184e-05,0.003288058096744258,0.00011000000000000003,0.008210303415896614,4.800000000000001e-05,0.0061073371839735335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-05,0.005120140745716999,0.0,0.0,0.00028,0.01673085771859969,0.0,0.0
Random Choice,0.1622,0.1644798367264516,0.17136,0.37682323495231107,0.78044,0.4139485552577161,0.0,0.0,0.0,0.0,0.72276,0.447635993190953,0.00192,0.04377571929734214,0.0416,0.19967333322210537,0.05684,0.23153663727361956,0.0,0.0,0.00928,0.0958847307969201,0.0,0.0
Borda ranking,0.021207272727272727,0.0685043275502758,0.0,0.0,0.1174,0.3218963187114718,0.0,0.0,0.0,0.0,0.10524,0.30686241607603015,0.0,0.0,0.01,0.09949874371067607,0.0,0.0,0.0,0.0,0.00064,0.0252901245548559,0.0,0.0
Plurality ranking,0.07868363636363637,0.11168563139919986,0.02548,0.15757782077432428,0.4304,0.49513214397778693,0.0,0.0,0.0,0.0,0.40228,0.490357830160715,0.0,0.0,0.0,0.0,0.00736,0.08547415047837251,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0787709090909091,0.11175317707572242,0.0256,0.1579387222944293,0.43052,0.4951489973735132,0.0,0.0,0.0,0.0,0.40296,0.4904928525474087,0.0,0.0,0.0,0.0,0.0074,0.08570437561759556,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0787709090909091,0.11175317707572242,0.0256,0.1579387222944293,0.43052,0.4951489973735132,0.0,0.0,0.0,0.0,0.40296,0.4904928525474087,0.0,0.0,0.0,0.0,0.0074,0.08570437561759556,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0787709090909091,0.11175317707572242,0.0256,0.1579387222944293,0.43052,0.4951489973735132,0.0,0.0,0.0,0.0,0.40296,0.4904928525474087,0.0,0.0,0.0,0.0,0.0074,0.08570437561759556,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0787709090909091,0.11175317707572242,0.0256,0.1579387222944293,0.43052,0.4951489973735132,0.0,0.0,0.0,0.0,0.40296,0.4904928525474087,0.0,0.0,0.0,0.0,0.0074,0.08570437561759556,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07863999999999999,0.11157546750281298,0.02524,0.15685325116168708,0.43028,0.4951152609241395,0.0,0.0,0.0,0.0,0.40224,0.490349857142826,0.0,0.0,0.0,0.0,0.00728,0.08501177330229044,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0787709090909091,0.11175317707572242,0.0256,0.1579387222944293,0.43052,0.4951489973735132,0.0,0.0,0.0,0.0,0.40296,0.4904928525474087,0.0,0.0,0.0,0.0,0.0074,0.08570437561759556,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.07863999999999999,0.11157546750281298,0.02524,0.15685325116168708,0.43028,0.4951152609241395,0.0,0.0,0.0,0.0,0.40224,0.490349857142826,0.0,0.0,0.0,0.0,0.00728,0.08501177330229044,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.16339636363636362,0.16531347987028855,0.17496,0.37993288670495284,0.7836,0.4117900435901154,0.0,0.0,0.0,0.0,0.72588,0.44606975418654976,0.00192,0.04377571929734171,0.04252,0.2017722716331596,0.05816,0.23404575279207945,0.0,0.0,0.01032,0.10106185036897532,0.0,0.0
