Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.007764727272727271,0.062205008486810716,2.0000000000000005e-05,0.0027917200615865715,0.0009640000000000002,0.02918776841873106,0.00035999999999999997,0.018904261193900648,0.005851999999999999,0.07602102435560264,2.0000000000000003e-06,0.0003162214413983178,0.041808,0.20005866070654407,0.004542,0.0669799095149006,0.005032,0.0706823873095852,0.005851999999999999,0.07602102435560264,0.02098,0.14329211599706604,0.0,0.0
Random Choice,0.33759636363636364,0.38275555708362413,0.07704,0.2666549050739866,0.77164,0.4197757858667635,0.00128,0.03575418297207234,0.37492,0.4841022553138444,0.6856,0.464276469358514,0.49368,0.49996005600456284,0.34,0.47370877129308275,0.22852,0.4198792797936058,0.36192,0.48055583817077885,0.34076,0.4739647902533934,0.0382,0.1916787938192612
Borda ranking,0.02612,0.10951694113562391,0.0,0.0,0.12504,0.3307642640915242,0.00036,0.01897025039370974,0.00928,0.0958847307969248,0.09896,0.29860830263075755,0.01584,0.12485629499551668,0.00616,0.07824355820130582,0.0002,0.014140721339456349,0.00928,0.0958847307969248,0.0222,0.14733349924574318,0.0,0.0
Plurality ranking,0.13049818181818185,0.1905295491562729,0.0012,0.034620225302548706,0.56688,0.4955068774496985,0.0,0.0,0.02912,0.1681428725816472,0.50736,0.49994582746545535,0.00028,0.01673085771860124,0.0,0.0,0.1278,0.333866979499241,0.0,0.0,0.17372,0.3788685281201629,0.02912,0.1681428725816472
Approval Voting (AV),0.017981818181818186,0.08298993041697758,8e-05,0.008943914131965927,0.10424,0.3055716321911706,0.00076,0.02755761963595572,0.00364,0.0602225074204076,0.07008,0.25528179253526656,0.0112,0.10523573537539892,0.0014,0.037390373092541306,0.00276,0.05246315278363923,0.00364,0.0602225074204076,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.04274909090909091,0.14320871282359995,4e-05,0.006324428827965484,0.19284,0.3945284963092448,0.00064,0.025290124554855797,0.02876,0.16713127295636715,0.1442,0.35129241380940085,0.03472,0.18306971786729334,0.02232,0.14772209584216567,0.01796,0.1328060179359392,0.02876,0.16713127295636715,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.23770909090909093,0.32776819395125983,8e-05,0.008943914131966147,0.69032,0.4623616523891254,0.00108,0.03284560244538739,0.25316,0.4348218191396755,0.62276,0.48469576272129583,0.24432,0.4296832991866958,0.22016,0.4143544067582664,0.14648,0.3535867780334057,0.23484,0.42389877848369395,0.16416,0.37042069920573245,0.03744,0.18983742096861342
Lexicographic Chamberlin-Courant (lex-CC),0.1524909090909091,0.2513501896844629,8e-05,0.008943914131966147,0.51624,0.49973619280583625,0.00064,0.025290124554855797,0.15352,0.36048801588966284,0.4536,0.4978423846961896,0.16224,0.3686708320440411,0.14096,0.3479802844990058,0.0966,0.2954123220178718,0.15352,0.36048801588966284,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.22334181818181814,0.32415762949133076,0.00016,0.012648098671338603,0.65428,0.4756024407002462,0.00108,0.03284560244538745,0.23748,0.42553877567147186,0.59008,0.49181865926364116,0.22884,0.4200860083363257,0.20308,0.4022915778387144,0.14548,0.35258413123674043,0.21792,0.41283274288742217,0.13968,0.34665472389679414,0.03868,0.1928311634565563
Monroe's Approval Rule (Monroe),0.0728509090909091,0.19779255121709427,0.00012,0.010953793863315839,0.2836,0.45074498333318297,0.00068,0.026067941997780127,0.05976,0.23704164697371743,0.22304,0.416284948562916,0.06876,0.25304557376089204,0.05196,0.22194629620697698,0.03012,0.17091748184426722,0.05976,0.23704164697371743,0.02356,0.15167374987127108,0.0,0.0
Greedy Monroe,0.06631636363636363,0.1830489424685372,0.00016,0.012648098671338603,0.273,0.4455008417501237,0.00068,0.026067941997780116,0.0498,0.21753151495818693,0.21804,0.4129147108060412,0.05908,0.23577437010837368,0.04116,0.1986601479915365,0.03312,0.17894989689857024,0.0498,0.21753151495818693,0.00464,0.06795932901377122,0.0,0.0
Minimax Approval Voting (MAV),0.25089090909090905,0.3292532159988393,0.02932,0.1687019193725784,0.71168,0.4529807695696838,0.00096,0.030968990942561822,0.25236,0.4343667003810932,0.62828,0.4832641530261704,0.34688,0.4759771692003116,0.23424,0.4235228711652229,0.15684,0.36364985136804656,0.25236,0.4343667003810932,0.14688,0.3539862505804704,0.0,0.0
