Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.6194511819710674,0.3393311195500252,0.09895004772510341,0.2985949359589504,0.9039589109585928,0.2946475831517877,0.0,0.0,0.9039589109585928,0.2946475831517877,0.9039589109585928,0.2946475831517877,0.5982000818144629,0.4902619136049066,0.5982000818144629,0.4902619136049066,0.4006181537202854,0.4900237225176687,0.5982000818144629,0.4902619136049066,0.9039589109585928,0.2946475831517877,0.9039589109585928,0.2946475831517877
Borda ranking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.36542140646499544,0.23524720110002859,0.0,0.0,0.753738466433344,0.4308326712912932,0.0,0.0,0.753738466433344,0.4308326712912932,0.753738466433344,0.4308326712912932,0.0,0.0,0.0,0.0,0.2509431389482296,0.4335558556438484,0.0,0.0,0.753738466433344,0.4308326712912932,0.753738466433344,0.4308326712912932
Approval Voting (AV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.5604042791443363,0.3137622814312737,0.0,0.0,0.9000045452479433,0.2999939395738293,0.0,0.0,0.9000045452479433,0.2999939395738293,0.9000045452479433,0.2999939395738293,0.4554792963956184,0.49801396260603065,0.4554792963956184,0.49801396260603065,0.29798645516112904,0.45737351005677307,0.4554792963956184,0.49801396260603065,0.9000045452479433,0.2999939395738293,0.9000045452479433,0.2999939395738293
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.557156492886687,0.31419959625327026,0.0,0.0,0.8989591382209899,0.30138282305061354,0.0,0.0,0.8989591382209899,0.30138282305061354,0.8989591382209899,0.30138282305061354,0.44438889141402665,0.49689778083802877,0.44438889141402665,0.49689778083802877,0.300759056406527,0.4585881010188187,0.44438889141402665,0.49689778083802877,0.8989591382209899,0.30138282305061354,0.8989591382209899,0.30138282305061354
Monroe's Approval Rule (Monroe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
