Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.007994909090909092,0.046380542621554374,6e-06,0.0005476896931657577,0.0006720000000000001,0.025159532680546503,0.0,0.0,0.021604,0.14538652876566024,0.0,0.0,0.05416400000000001,0.22634085929741957,4e-05,0.006324428827965497,0.0,0.0,0.011458,0.10642692957234053,0.0,0.0,0.0,0.0
Random Choice,0.13726545454545455,0.1981740917652712,0.04076,0.1977337158908733,0.65832,0.4742728935960123,0.0,0.0,0.11736,0.32184876945546365,0.37964,0.485297301043287,0.24456,0.42982601875653914,4e-05,0.006324428827965497,0.00012,0.010953793863314134,0.06912,0.25365808798452766,0.0,0.0,0.0,0.0
Borda ranking,0.01434181818181818,0.05959499498361724,0.0,0.0,0.10932,0.3120402820150503,0.0,0.0,0.00252,0.050136310195303055,0.03996,0.19586525572447905,0.00536,0.07301554902896039,0.0,0.0,0.0,0.0,0.0006,0.024487547855996977,0.0,0.0,0.0,0.0
Plurality ranking,0.05997818181818182,0.08704673359382437,0.00116,0.03403901291166137,0.4256,0.4944336558122934,0.0,0.0,0.0,0.0,0.23296,0.4227169719801465,4e-05,0.006324428827966652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.04547999999999999,0.11892215937580213,0.00012,0.010953793863316191,0.26976,0.44383503962628357,0.0,0.0,0.02984,0.1701457445838853,0.13016,0.3364793818349164,0.05704,0.2319190341477368,0.0,0.0,0.0,0.0,0.01336,0.11481075907768498,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.047825454545454546,0.12055260783262,8e-05,0.008943914131969717,0.2876,0.452643612569497,0.0,0.0,0.03104,0.17342582967947529,0.13948,0.34644671971317936,0.05324,0.22451169769076945,0.0,0.0,0.0,0.0,0.01464,0.12010691237392944,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.13677454545454545,0.19826289073082878,0.04312,0.20312721531103928,0.65736,0.4745922780661107,0.0,0.0,0.11384,0.3176168358258837,0.38152,0.48575970355725934,0.24152,0.4280047775433792,0.00012,0.010953793863315821,0.00012,0.010953793863315861,0.06692,0.24988340000881257,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06822909090909092,0.13697250928591923,0.00028,0.016730857718598176,0.404,0.4906974628016113,0.0,0.0,0.04164,0.19976513809974736,0.22092,0.4148666696663545,0.0634,0.24368102100897387,0.0,0.0,0.0,0.0,0.02028,0.14095645284982605,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.10596363636363636,0.16662530645826282,0.004,0.06311893535224712,0.57792,0.4938911556203455,0.0,0.0,0.06984,0.2548771751256479,0.33628,0.4724359867749417,0.13944,0.34640509003187,0.0,0.0,0.00012,0.010953793863315534,0.038,0.19119623427252333,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.13667272727272728,0.19799659132878658,0.04296,0.20276695588782517,0.65716,0.47465854506154675,0.0,0.0,0.11368,0.317422207162616,0.3814,0.4857304190598155,0.2412,0.42781136029784805,0.00012,0.010953793863315821,8e-05,0.008943914131966532,0.0668,0.24967530915171862,0.0,0.0,0.0,0.0
Greedy Monroe,0.07754909090909091,0.14609924726266946,0.00072,0.02682315417694534,0.444,0.49685410333404406,0.0,0.0,0.04764,0.21300335772001952,0.24648,0.43096126229629445,0.09024,0.2865252910303465,0.0,0.0,0.0,0.0,0.02396,0.1529245513317139,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.13677454545454545,0.19826289073082878,0.04312,0.20312721531103928,0.65736,0.4745922780661107,0.0,0.0,0.11384,0.3176168358258837,0.38152,0.48575970355725934,0.24152,0.4280047775433792,0.00012,0.010953793863315821,0.00012,0.010953793863315861,0.06692,0.24988340000881257,0.0,0.0,0.0,0.0
