Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.001248,0.02054112921716481,0.00029199999999999994,0.01678921952030616,0.00022799999999999999,0.014727223901400327,0.0,0.0,0.007052,0.08367498023277808,0.0,0.0,0.003078,0.05538049886716416,0.0,0.0,0.0,0.0,0.003078,0.05538049886716416,0.0,0.0,0.0,0.0
Random Choice,0.30255636363636373,0.3541837005451774,0.18964,0.39201616089126634,0.77804,0.4155643853844708,0.0,0.0,0.41332,0.49242926151895355,0.73636,0.4406063440305662,0.26372,0.44064925008442735,0.10604,0.3078888085007161,0.40728,0.49132779445084446,0.26372,0.44064925008442735,0.15764,0.3644031152445534,0.01236,0.11048633580672651
Borda ranking,0.005338181818181819,0.03997599793202092,0.0,0.0,0.03088,0.17299255937756414,0.0,0.0,0.00308,0.05541221525983378,0.02284,0.14939322072970046,0.00096,0.03096899094256586,0.0,0.0,0.0,0.0,0.00096,0.03096899094256586,0.0,0.0,0.0,0.0
Plurality ranking,0.08857090909090909,0.16950611880708652,0.00072,0.026823154176943906,0.35412,0.4782457794898775,0.0,0.0,0.04416,0.205450467023093,0.33348,0.4714563496231262,0.0,0.0,0.0,0.0,0.19704,0.3977627916234171,0.0,0.0,0.0338,0.18071402823243746,0.01096,0.10411473670905645
Approval Voting (AV),0.01676,0.0819264037919112,0.00084,0.0289705781785622,0.07692,0.2664644696765936,0.0,0.0,0.02276,0.1491374614239861,0.0592,0.23599864406391233,0.01232,0.11030964418398452,0.0,0.0,0.0,0.0,0.01232,0.11030964418398452,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.01676,0.0819264037919112,0.00084,0.0289705781785622,0.07692,0.2664644696765936,0.0,0.0,0.02276,0.1491374614239861,0.0592,0.23599864406391233,0.01232,0.11030964418398452,0.0,0.0,0.0,0.0,0.01232,0.11030964418398452,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.29985090909090917,0.35171038751964656,0.1842,0.3876472107471885,0.77936,0.41467817690341396,0.0,0.0,0.40696,0.49126729832138616,0.73884,0.4392669511811809,0.25944,0.4383273735462319,0.0994,0.2991983288722587,0.40528,0.4909461493891669,0.25944,0.4383273735462319,0.15348,0.3604495659589854,0.01196,0.10870583425006773
Lexicographic Chamberlin-Courant (lex-CC),0.01676,0.0819264037919112,0.00084,0.0289705781785622,0.07692,0.2664644696765936,0.0,0.0,0.02276,0.1491374614239861,0.0592,0.23599864406391233,0.01232,0.11030964418398452,0.0,0.0,0.0,0.0,0.01232,0.11030964418398452,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.25887272727272725,0.3286602337702749,0.10268,0.30354047110720567,0.74492,0.4359061752257762,0.0,0.0,0.3302,0.470284977433873,0.70764,0.45484682080894795,0.18256,0.38630537971921103,0.06664,0.24939749477485226,0.39464,0.48877323003620926,0.18256,0.38630537971921103,0.12324,0.3287124920048027,0.01252,0.11119015064293514
Monroe's Approval Rule (Monroe),0.21458545454545452,0.31583027353524207,0.14216,0.34921416695205454,0.60556,0.48873007519486156,0.0,0.0,0.27884,0.44842865028894824,0.56504,0.4957517507785124,0.21568,0.41129325012690504,0.05736,0.23252920332717644,0.23148,0.42177838920463373,0.21568,0.41129325012690504,0.04864,0.2151142728876656,0.0,0.0
Greedy Monroe,0.04542545454545455,0.13716633365188152,0.00628,0.07899722526771273,0.20548,0.4040519392354897,0.0,0.0,0.04064,0.1974547806461098,0.17908,0.38341929215939063,0.02576,0.15841850396969098,0.0,0.0,0.01668,0.12806942492261164,0.02576,0.15841850396969098,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.29233818181818183,0.3407754587117696,0.18148,0.38541537281226346,0.7674,0.4224893371436577,0.0,0.0,0.395,0.48885069295246114,0.72688,0.44556196606083986,0.25672,0.43682358178095065,0.09668,0.2955215349175813,0.39332,0.4884868243873149,0.25672,0.43682358178095065,0.14152,0.34855715399344644,0.0,0.0
