Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,1.8181818181818186e-07,2.8747403763486554e-05,2.0000000000000003e-06,0.0003162214413983521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.10575999999999999,0.1137973878050156,0.08364,0.2768471607222547,0.66628,0.47154104975064853,0.0,0.0,0.0,0.0,0.41332,0.4924292615189538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.01095379386331463,0.0,0.0
Borda ranking,0.014269090909090908,0.047321510186336076,0.0,0.0,0.11404,0.3178598408103786,0.0,0.0,0.0,0.0,0.04292,0.2026767712393182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.05304363636363636,0.08731370986457776,0.00516,0.07164757078924629,0.37024,0.48286886667079204,0.0,0.0,0.0,0.0,0.20808,0.4059343710503171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.05306545454545455,0.08727108806525466,0.00508,0.07109285196137002,0.37056,0.48295474570611435,0.0,0.0,0.0,0.0,0.20808,0.405934371050317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.05306545454545455,0.08727108806525466,0.00508,0.07109285196137002,0.37056,0.48295474570611435,0.0,0.0,0.0,0.0,0.20808,0.405934371050317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.05306545454545455,0.08727108806525466,0.00508,0.07109285196137002,0.37056,0.48295474570611435,0.0,0.0,0.0,0.0,0.20808,0.405934371050317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.05306545454545455,0.08727108806525466,0.00508,0.07109285196137002,0.37056,0.48295474570611435,0.0,0.0,0.0,0.0,0.20808,0.405934371050317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.05304363636363636,0.08731370986457776,0.00516,0.07164757078924629,0.37024,0.48286886667079204,0.0,0.0,0.0,0.0,0.20808,0.4059343710503171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.05306545454545455,0.08727108806525466,0.00508,0.07109285196137002,0.37056,0.48295474570611435,0.0,0.0,0.0,0.0,0.20808,0.405934371050317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.05304363636363636,0.08731370986457776,0.00516,0.07164757078924629,0.37024,0.48286886667079204,0.0,0.0,0.0,0.0,0.20808,0.4059343710503171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1056509090909091,0.11259442593477807,0.082,0.27436472076421814,0.66608,0.47161152827302444,0.0,0.0,0.0,0.0,0.41408,0.49256243624531615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
