Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.0001390909090909091,0.006376382733410741,0.00053,0.021956062741507194,0.00015000000000000001,0.011948667473098595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010600000000000002,0.00897547236449157,0.0,0.0,0.0007440000000000001,0.02726000748842079,0.0,0.0
Random Choice,0.16329818181818181,0.1573954008682062,0.14936,0.35644296935141345,0.81308,0.3898472952323354,0.0,0.0,0.0,0.0,0.74316,0.43689039174591704,0.0044,0.06618640343755665,0.01824,0.1338181691699711,0.05172,0.2214611514464544,0.0,0.0,0.01632,0.12670302916662027,0.0,0.0
Borda ranking,0.022545454545454546,0.06915623048297605,0.0,0.0,0.12816,0.334267878205558,0.0,0.0,0.0,0.0,0.1134,0.31708112526602256,0.0,0.0,0.00484,0.06940154465141271,0.0,0.0,0.0,0.0,0.0016,0.039967987189743294,0.0,0.0
Plurality ranking,0.09015636363636363,0.10904491588870874,0.0186,0.13510751274449373,0.50324,0.4999895022897823,0.0,0.0,0.0,0.0,0.46556,0.4988124761871594,0.0,0.0,0.0,0.0,0.00432,0.06558458355436052,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.09012363636363636,0.10902369872923036,0.0188,0.13581811366680616,0.50324,0.49998950228978223,0.0,0.0,0.0,0.0,0.46512,0.4987819018367503,0.0,0.0,0.0,0.0,0.0042,0.06467116822819541,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.09012363636363636,0.10902369872923036,0.0188,0.13581811366680616,0.50324,0.49998950228978223,0.0,0.0,0.0,0.0,0.46512,0.4987819018367503,0.0,0.0,0.0,0.0,0.0042,0.06467116822819541,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.09012363636363636,0.10902369872923036,0.0188,0.13581811366680616,0.50324,0.49998950228978223,0.0,0.0,0.0,0.0,0.46512,0.4987819018367503,0.0,0.0,0.0,0.0,0.0042,0.06467116822819541,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.09012363636363636,0.10902369872923036,0.0188,0.13581811366680616,0.50324,0.49998950228978223,0.0,0.0,0.0,0.0,0.46512,0.4987819018367503,0.0,0.0,0.0,0.0,0.0042,0.06467116822819541,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.09020727272727273,0.10911039644752703,0.0188,0.13581811366680804,0.50344,0.4999881662598491,0.0,0.0,0.0,0.0,0.46572,0.49882349744177956,0.0,0.0,0.0,0.0,0.00432,0.06558458355436066,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.09012363636363636,0.10902369872923036,0.0188,0.13581811366680616,0.50324,0.49998950228978223,0.0,0.0,0.0,0.0,0.46512,0.4987819018367503,0.0,0.0,0.0,0.0,0.0042,0.06467116822819541,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.09020727272727273,0.10911039644752703,0.0188,0.13581811366680804,0.50344,0.4999881662598491,0.0,0.0,0.0,0.0,0.46572,0.49882349744177956,0.0,0.0,0.0,0.0,0.00432,0.06558458355436066,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.16215272727272728,0.15729803793911307,0.1448,0.35189907644090596,0.80908,0.3930261487484589,0.0,0.0,0.0,0.0,0.74024,0.43850284195201095,0.00448,0.06678270434774845,0.01796,0.13280601793593919,0.05024,0.2184397912469606,0.0,0.0,0.01688,0.12882183665821964,0.0,0.0
