Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.00028872727272727275,0.009327764042734587,0.00037600000000000003,0.01866655843780533,0.00024800000000000007,0.014780679679188276,0.0,0.0,0.0,0.0,0.0,0.0,0.000636,0.025150216961637578,0.0,0.0,2.0000000000000003e-06,0.00031622144139829307,0.0,0.0,0.0019140000000000001,0.043691727950050975,0.0,0.0
Random Choice,0.204,0.3024967286362528,0.13928,0.3462384750428085,0.78696,0.4094556855143543,0.05508,0.22813634870405855,0.05508,0.22813634870405855,0.69144,0.4618990435148826,0.105,0.3065534211193671,0.11212,0.31551403391925026,0.06388,0.24453904718880962,0.05508,0.22813634870405855,0.125,0.33071891388307384,0.05508,0.22813634870405855
Borda ranking,0.017694545454545452,0.06449831061349648,0.0,0.0,0.103,0.30395887879772865,0.0,0.0,0.0,0.0,0.0828,0.2755796799476016,0.0,0.0,0.00616,0.07824355820130859,0.0,0.0,0.0,0.0,0.00268,0.051699299801822404,0.0,0.0
Plurality ranking,0.06546909090909091,0.10370442923440676,0.01304,0.11344583905985414,0.37616,0.4844209475239757,0.0,0.0,0.0,0.0,0.3254,0.4685241082378071,0.0,0.0,0.0,0.0,0.00556,0.07435782675683736,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.06523272727272728,0.10320504240092444,0.01208,0.10924318559983193,0.37548,0.4842465999880273,0.0,0.0,0.0,0.0,0.32456,0.4682102160355111,0.0,0.0,0.0,0.0,0.00544,0.07355546478679835,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.06523272727272728,0.10320504240092444,0.01208,0.10924318559983193,0.37548,0.4842465999880273,0.0,0.0,0.0,0.0,0.32456,0.4682102160355111,0.0,0.0,0.0,0.0,0.00544,0.07355546478679835,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.06523272727272728,0.10320504240092444,0.01208,0.10924318559983193,0.37548,0.4842465999880273,0.0,0.0,0.0,0.0,0.32456,0.4682102160355111,0.0,0.0,0.0,0.0,0.00544,0.07355546478679835,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06523272727272728,0.10320504240092444,0.01208,0.10924318559983193,0.37548,0.4842465999880273,0.0,0.0,0.0,0.0,0.32456,0.4682102160355111,0.0,0.0,0.0,0.0,0.00544,0.07355546478679835,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.06549454545454546,0.10373499051658941,0.01304,0.1134458390598551,0.37632,0.48446182264447524,0.0,0.0,0.0,0.0,0.32548,0.4685539132265404,0.0,0.0,0.0,0.0,0.0056,0.07462332075161263,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.06523272727272728,0.10320504240092444,0.01208,0.10924318559983193,0.37548,0.4842465999880273,0.0,0.0,0.0,0.0,0.32456,0.4682102160355111,0.0,0.0,0.0,0.0,0.00544,0.07355546478679835,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.06549454545454546,0.10373499051658941,0.01304,0.1134458390598551,0.37632,0.48446182264447524,0.0,0.0,0.0,0.0,0.32548,0.4685539132265404,0.0,0.0,0.0,0.0,0.0056,0.07462332075161263,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1578872727272727,0.1991688975238234,0.1242,0.32980958142548955,0.73572,0.44094906916776677,0.0,0.0,0.0,0.0,0.6406,0.47982459295045027,0.0536,0.225226641408184,0.05876,0.23517496125222112,0.05084,0.2196708774508021,0.0,0.0,0.07304,0.2602021491071436,0.0,0.0
