Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.0013790909090909092,0.02070670782173062,0.0,0.0,0.009908000000000002,0.09888595060396406,0.0,0.0,2.2000000000000003e-05,0.003478435855381254,0.0,0.0,0.0028,0.05258583730890994,2.2000000000000003e-05,0.003478435855381254,0.0005459999999999999,0.023007226160712234,2.2000000000000003e-05,0.003478435855381254,0.0018500000000000003,0.04285946439930684,0.0,0.0
Random Choice,0.22073090909090906,0.22809437170080438,0.05372,0.22546432445066492,0.9024,0.2967730445981121,0.0,0.0,0.02312,0.1502846153137538,0.7692,0.4213447044879877,0.3966,0.4891916188979081,0.01544,0.12329479469953308,0.10288,0.3038020829421027,0.02312,0.1502846153137538,0.14156,0.34859828800503195,0.0,0.0
Borda ranking,0.026970909090909097,0.08229443661540957,0.0,0.0,0.15884,0.3655268176207646,0.0,0.0,0.00112,0.03344765462630477,0.12708,0.3330625670950864,0.00684,0.08242095849966187,0.0006,0.024487547855995877,0.0,0.0,0.00112,0.03344765462630477,0.00108,0.03284560244538708,0.0,0.0
Plurality ranking,0.12766545454545455,0.13525559671432968,0.00616,0.07824355820131053,0.70916,0.4541498589672524,0.0,0.0,0.0,0.0,0.61064,0.48760515829914197,0.01584,0.12485629499551927,0.0,0.0,0.02108,0.1436510828361774,0.0,0.0,0.04144,0.19930561055822524,0.0,0.0
Approval Voting (AV),0.0635090909090909,0.1040514348751158,0.00024,0.01549007424127295,0.36872,0.4824578340124959,0.0,0.0,0.0,0.0,0.30552,0.46062732181231225,0.02276,0.14913746142398177,0.0,0.0,0.00136,0.03685309213621093,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.08559636363636364,0.11238276037451472,0.0002,0.014140721339448215,0.5078,0.4999391562980769,0.0,0.0,0.0022,0.04685253461661355,0.42288,0.49401670579044205,0.00324,0.056828711053492104,0.00124,0.03519179449814276,0.0018,0.04238820590683275,0.0022,0.04685253461661355,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.13512727272727273,0.14290880393457733,0.0002,0.014140721339447658,0.75888,0.42776295491781974,0.0,0.0,0.01552,0.12360877638742429,0.65228,0.47624657647068386,0.01964,0.13875975785507103,0.00988,0.09890594319859368,0.00844,0.09148096195385841,0.01552,0.12360877638742429,0.00604,0.07748237477002774,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.13011272727272727,0.13535496987869228,0.0002,0.014140721339447658,0.73544,0.44109863568139657,0.0,0.0,0.0146,0.11994515413301522,0.63212,0.4822284786281209,0.01828,0.1339620901598486,0.00928,0.09588473079692274,0.00672,0.08169970379384817,0.0146,0.11994515413301522,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.12822909090909093,0.1347539319885405,0.00016,0.012648098671339533,0.7316,0.4431268892765301,0.0,0.0,0.00824,0.09039968141535658,0.62848,0.48321101974179964,0.0118,0.10798499895820626,0.00552,0.0740913598201685,0.00928,0.09588473079691792,0.00824,0.09039968141535658,0.0072,0.08454679177827062,0.0,0.0
Monroe's Approval Rule (Monroe),0.11596363636363635,0.14035071862049883,0.0002,0.014140721339447658,0.65992,0.47373578458877386,0.0,0.0,0.01128,0.10560663615514741,0.56,0.4963869458396251,0.0158,0.124701082593523,0.00672,0.08169970379385032,0.00356,0.05955943586030874,0.01128,0.10560663615514741,0.00684,0.08242095849966351,0.0,0.0
Greedy Monroe,0.11295272727272727,0.12260612535242958,0.00016,0.012648098671339533,0.65868,0.4741525678512723,0.0,0.0,0.00332,0.05752371337110507,0.56044,0.4963335636444463,0.00596,0.0769706333610395,0.00192,0.043775719297341226,0.00572,0.07541406765321643,0.00332,0.05752371337110507,0.00296,0.05432530165585988,0.0,0.0
Minimax Approval Voting (MAV),0.2210545454545455,0.22819609133432547,0.05212,0.22226899378905107,0.90424,0.29426182627046554,0.0,0.0,0.02464,0.1550253863081598,0.77268,0.41910096349214565,0.39536,0.4889278785259956,0.01632,0.126703029166616,0.10068,0.3009045323686559,0.02464,0.1550253863081598,0.14092,0.34793900844833087,0.0,0.0
