Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.018434545454545453,0.08033454993412202,0.0,0.0,0.013224,0.11400646225728031,0.0,0.0,0.052169999999999994,0.22236936474920008,0.0,0.0,0.103218,0.3042430036915103,0.0,0.0,8.000000000000002e-05,0.008152307453112156,0.029891999999999995,0.17028878245313078,0.004196,0.06462012867110842,0.0,0.0
Random Choice,0.2992581818181818,0.29216133647948206,0.03884,0.19321349435277993,0.9132,0.28154175534016995,0.0,0.0,0.27336,0.4456840926037892,0.74928,0.4334275967218461,0.48732,0.49983919174072555,0.01076,0.10317084084178638,0.14252,0.3495826792047215,0.21176,0.4085556295047666,0.4648,0.4987594209637169,0.0,0.0
Borda ranking,0.042658181818181824,0.13015139715134996,0.0,0.0,0.1732,0.37842008403365385,0.0,0.0,0.05596,0.2298444656718915,0.13264,0.33918524496212926,0.07172,0.25802372294032333,0.0,0.0,0.0,0.0,0.0336,0.18019722528382606,0.00212,0.045994625773025634,0.0,0.0
Plurality ranking,0.15590909090909094,0.1624696367493765,0.00588,0.07645538306751701,0.75344,0.4310083136088718,0.0,0.0,0.00012,0.010953793863314897,0.62188,0.484917792620593,0.0152,0.12234770124526735,0.0,0.0,0.05024,0.2184397912469586,0.0,0.0,0.26824,0.4430432285906188,0.0,0.0
Approval Voting (AV),0.05240363636363636,0.13808506933140816,0.0,0.0,0.21516,0.4109332967770173,0.0,0.0,0.05548,0.22891476492359422,0.16172,0.3681937555146327,0.11108,0.3142311785930704,0.0,0.0,0.00036,0.01897025039370982,0.03264,0.17769251644346531,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.07838181818181818,0.15986865952848783,0.0,0.0,0.35516,0.4785617769944077,0.0,0.0,0.08804,0.2833530631561567,0.27768,0.4478546835748579,0.08256,0.2752159995349637,0.00024,0.01549007424126748,0.0006,0.02448754785599537,0.05792,0.2335921094557174,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.28448727272727276,0.2757103974576921,0.00268,0.051699299801824444,0.91064,0.2852626691314816,0.0,0.0,0.26744,0.442623820416335,0.74956,0.43326643811860455,0.38204,0.4858862401837861,0.01056,0.10221783797359388,0.12272,0.32811553087294504,0.20572,0.40422677001897755,0.478,0.49951576551706484,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.14256000000000002,0.19707879243566184,0.0,0.0,0.62056,0.4852476547084317,0.0,0.0,0.16392,0.3702029627110528,0.5172,0.49970407242682613,0.1354,0.3421503178429927,0.00436,0.06588619278725216,0.00632,0.07924681444701114,0.1204,0.3254287018687137,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.24143272727272727,0.26322786989427066,0.0,0.0,0.85596,0.3511302869305718,0.0,0.0,0.23448,0.42367337608109196,0.70752,0.4549015823230696,0.3256,0.4685985915472074,0.00692,0.08289821228471492,0.10024,0.30031973361736886,0.17872,0.38311768635752674,0.24632,0.43086709969542564,0.0,0.0
Monroe's Approval Rule (Monroe),0.2151163636363636,0.24950184216341115,0.00056,0.023657692195136436,0.80524,0.3960158360469473,0.0,0.0,0.19252,0.39427915187075524,0.66256,0.4728363843867986,0.23568,0.42442306440629235,0.00612,0.07799067636583756,0.02192,0.14642238080295397,0.145,0.3521008378291826,0.29668,0.45679423989361856,0.0,0.0
Greedy Monroe,0.13072000000000003,0.20904480901943112,0.0,0.0,0.56184,0.4961610770707525,0.0,0.0,0.13472,0.3414242545572939,0.4606,0.49844522266742647,0.13456,0.34125299471217496,0.0014,0.03739037309253973,0.00876,0.09318402438188415,0.09496,0.2931596807202156,0.04108,0.19847527201145498,0.0,0.0
Minimax Approval Voting (MAV),0.2808218181818182,0.27637678183795855,0.00264,0.05131306266439794,0.90252,0.2966102655000281,0.0,0.0,0.26596,0.4418430472463846,0.74264,0.43717940299152186,0.37576,0.4843185133773402,0.01052,0.1020261221452787,0.12004,0.3250083051246836,0.20416,0.40308646020419225,0.4648,0.4987594209637163,0.0,0.0
