Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.037131454545454544,0.10770050804222561,0.0,0.0,0.015425999999999999,0.12298635481097184,0.0,0.0,0.14771800000000004,0.35481946085623595,0.0,0.0,0.144498,0.35159346038114647,0.0,0.0,0.0,0.0,0.09731799999999999,0.29638937297485857,0.0034859999999999995,0.058916939441268634,0.0,0.0
Random Choice,0.3224945454545454,0.3071513299838264,0.05488,0.22774587943582114,0.89464,0.30701672658016455,0.0,0.0,0.44892,0.4973839900921843,0.72556,0.4462316510512935,0.46196,0.49855085838854385,0.0064,0.07974358908403852,0.136,0.34278856457009094,0.3644,0.48126150895335734,0.45468,0.4979418616665969,0.0,0.0
Borda ranking,0.05069090909090909,0.14719570075182678,0.0,0.0,0.17672,0.3814315686988436,0.0,0.0,0.10236,0.3031211480579685,0.13192,0.3384037730285757,0.0804,0.2719114561763986,0.0,0.0,0.00088,0.02965173856623117,0.06256,0.24216987095843087,0.00276,0.052463152783646216,0.0,0.0
Plurality ranking,0.16025818181818183,0.16881102902079387,0.01144,0.10634437643807321,0.73748,0.4400036927118036,0.0,0.0,0.00096,0.03096899094255932,0.60096,0.48970100918823833,0.00188,0.04331819017457714,0.0,0.0,0.08436,0.277926951553782,0.0,0.0,0.32576,0.46865810821969894,0.0,0.0
Approval Voting (AV),0.08084727272727271,0.17530180623301098,4e-05,0.006324428827966993,0.21552,0.4111825988536584,0.0,0.0,0.19192,0.39381050468468026,0.15548,0.3623616558081189,0.19144,0.3934345261919961,0.0,0.0,0.0004,0.019995999599921738,0.13452,0.34121015459677856,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.09776000000000001,0.18630825934315176,0.0,0.0,0.3194,0.46624418495029574,0.0,0.0,0.2026,0.40193686071317847,0.2386,0.4262276856329729,0.16984,0.3754921762166873,8e-05,0.008943914131967717,0.00036,0.018970250393709885,0.14448,0.35157578073585727,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3222,0.30765825794104074,0.0546,0.227197799285096,0.89116,0.3114383637254354,0.0,0.0,0.44972,0.49746549789903416,0.72236,0.447834824907586,0.46156,0.49852017652251374,0.00616,0.07824355820130714,0.13708,0.3439317862600345,0.36536,0.48153096515176563,0.4562,0.49807786539867505,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1908872727272727,0.22438353498883562,0.0,0.0,0.6916,0.4618326969801838,0.0,0.0,0.3202,0.46655327670047586,0.57444,0.4944276351499985,0.24652,0.4309847904509278,0.00256,0.050531637614476856,0.018,0.13295111883693825,0.24644,0.43093772914419043,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.29242545454545454,0.2944701007193106,0.0122,0.10977777552858178,0.86184,0.3450678402865517,0.0,0.0,0.438,0.49614110895990177,0.70168,0.45752068543401625,0.43624,0.4959179996733044,0.0058,0.0759365524632154,0.1256,0.3313980084430244,0.35636,0.4789233241344498,0.27896,0.44848781298937157,0.0,0.0
Monroe's Approval Rule (Monroe),0.31781454545454546,0.30580866248182786,0.05164,0.2212991423390262,0.88812,0.3152187583250252,0.0,0.0,0.44308,0.49674954816272354,0.71968,0.4491555383160715,0.45344,0.4978274464109459,0.00568,0.07515143112408756,0.12548,0.3312623878438508,0.35924,0.47977768018112293,0.4496,0.49745335459725243,0.0,0.0
Greedy Monroe,0.15607999999999997,0.23434024526192013,8e-05,0.008943914131966072,0.53004,0.49909678259840223,0.0,0.0,0.275,0.4465142774873573,0.42924,0.49496769834010806,0.23684,0.42514328690448894,0.00064,0.025290124554855756,0.01624,0.12639724047618686,0.20692,0.4050976593366652,0.02188,0.146291714051091,0.0,0.0
Minimax Approval Voting (MAV),0.2590509090909091,0.29189877044640095,0.03,0.17058722109232527,0.80024,0.39981988744928304,0.0,0.0,0.39512,0.48887645228622445,0.65304,0.47600289747015495,0.37328,0.48367555406488566,0.00476,0.06882835462219809,0.06752,0.2509204049096028,0.31524,0.4646113885818922,0.21036,0.40756431443384383,0.0,0.0
