Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.025575454545454544,0.09946212156481224,0.00011200000000000001,0.009811011390449039,0.017716000000000003,0.13159276962551453,0.0,0.0,0.093452,0.29105382609523545,1.8e-05,0.0020440437105264373,0.101876,0.30247060784040675,0.000202,0.014023272655276925,0.0007180000000000001,0.02646507953426679,0.061360000000000005,0.23997626269009897,0.0058720000000000005,0.07619926796456142,4.000000000000001e-06,0.0004471957065983561
Random Choice,0.3427781818181818,0.352650040569104,0.05088,0.21975264640046638,0.85996,0.34702852678131596,0.0,0.0,0.48288,0.4997068196452099,0.71932,0.449331434021704,0.44792,0.49728027670528197,0.04604,0.20957175000462594,0.25452,0.4355910577594037,0.35472,0.4784283871176665,0.49156,0.4999287613250558,0.06276,0.24253078649941362
Borda ranking,0.03354909090909091,0.12313133126142004,0.0,0.0,0.12236,0.3277011296899028,0.0,0.0,0.06456,0.24574785126227822,0.08984,0.2859523988358175,0.04992,0.2177796905131019,0.0,0.0,0.00092,0.030317546074842976,0.03844,0.1922559918441734,0.003,0.054690035655503254,0.0,0.0
Plurality ranking,0.16047272727272727,0.2217634776683276,0.008,0.08908422980528904,0.64252,0.4792578112039117,0.0,0.0,0.0764,0.2656370456091664,0.5348,0.4987874898190003,0.00384,0.06184864105216152,0.0,0.0,0.14408,0.35117083250183107,0.0,0.0,0.29568,0.45634782523858586,0.05988,0.2372643791216579
Approval Voting (AV),0.054534545454545454,0.1511435068355297,4e-05,0.006324428827966041,0.1574,0.36417748420244367,0.0,0.0,0.12296,0.3283912885568634,0.10476,0.3062439263070608,0.13128,0.3377063244891911,0.00052,0.02279757881880916,0.00048,0.021903643532529233,0.08244,0.27503390045596343,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.06328727272727273,0.1590281633254141,0.0,0.0,0.2134,0.4097077494996376,0.0,0.0,0.1298,0.33608326349277007,0.15072,0.35777574205086693,0.11372,0.3174708830743623,0.00072,0.026823154176945602,0.00036,0.01897025039370986,0.08744,0.2824787538912627,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3448654545454546,0.35300097853041534,0.05252,0.22307319336930861,0.86284,0.34401618334027895,0.0,0.0,0.48776,0.4998501599478861,0.7204,0.4488026737889144,0.45384,0.4978646948720112,0.04772,0.21317317279614997,0.25264,0.43452621370869504,0.36004,0.48001166485832114,0.49344,0.49995696454795713,0.06232,0.24173584260504596
Lexicographic Chamberlin-Courant (lex-CC),0.12587636363636362,0.2137779686314043,0.0,0.0,0.45712,0.4981579123130445,0.0,0.0,0.20988,0.40722277146548214,0.37116,0.48311515645861824,0.16452,0.370746772878791,0.00712,0.0840791626980063,0.02276,0.1491374614239849,0.15208,0.35909841770752005,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3184690909090909,0.343301696678059,0.018,0.13295111883693417,0.837,0.3693656724711579,0.0,0.0,0.46116,0.49848917179807817,0.7014,0.45764401012137984,0.41592,0.49287985716595956,0.04088,0.1980121854836422,0.23768,0.42566209321478155,0.33664,0.47256058913103943,0.39292,0.488399297296776,0.06156,0.24035466793889992
Monroe's Approval Rule (Monroe),0.27586909090909095,0.31726626415422604,0.03832,0.19196764727419796,0.75724,0.42875118938605433,0.0,0.0,0.38188,0.4858473686252307,0.61596,0.4863674314755448,0.39552,0.48896209423627296,0.01276,0.11223717031360235,0.14116,0.34818652242730097,0.30608,0.46086335675553447,0.38564,0.4867461252027477,0.0,0.0
Greedy Monroe,0.10789818181818184,0.21413636031296368,4e-05,0.006324428827965417,0.38772,0.4872301320731391,0.0,0.0,0.17464,0.379658886897062,0.29896,0.45780226998131407,0.15736,0.3641398500575985,0.00184,0.042855739405597566,0.01876,0.13567631480841366,0.12372,0.3292618435227781,0.02384,0.1525504978687317,0.0,0.0
Minimax Approval Voting (MAV),0.2210109090909091,0.29713589103803667,0.02192,0.14642238080296038,0.69668,0.4596922640201612,0.0,0.0,0.29868,0.4576792081796854,0.57092,0.49494479853824563,0.28032,0.44915553831607347,0.0152,0.12234770124527022,0.10772,0.3100264530648818,0.2236,0.4166569812207689,0.21608,0.4115694760303565,0.0,0.0
