Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,5.454545454545456e-07,8.624221129043841e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.000000000000001e-06,0.0009486643241948225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.45617818181818176,0.2865456743745936,0.06608,0.24842188631438542,0.93624,0.2443249115419521,0.0,0.0,0.58476,0.4927633736389169,0.93604,0.24468166747832365,0.5644,0.49583529523424674,0.0014,0.037390373092540834,0.59844,0.49021379662344244,0.5296,0.49912307099557024,0.801,0.3992480432011512,0.0,0.0
Borda ranking,7.272727272727273e-06,0.001149896150539293,0.0,0.0,4e-05,0.0063244288279661115,0.0,0.0,0.0,0.0,4e-05,0.0063244288279661115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.013207272727272727,0.06604463299240321,0.0,0.0,0.05192,0.2218655304458297,0.0,0.0,0.0,0.0,0.05192,0.2218655304458297,0.0,0.0,0.0,0.0,0.0158,0.12470108259352182,0.0,0.0,0.02564,0.1580588194312541,0.0,0.0
Approval Voting (AV),3.6363636363636366e-06,0.0005749480752695893,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.006324428827965483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),7.272727272727273e-06,0.001149896150539293,0.0,0.0,4e-05,0.0063244288279661115,0.0,0.0,0.0,0.0,4e-05,0.0063244288279661115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.45528727272727276,0.2869652557086166,0.06432,0.24532210988825806,0.93412,0.24807221851717398,0.0,0.0,0.58496,0.49272892994021394,0.93388,0.24849174151268424,0.56476,0.4957884048664129,0.00128,0.03575418297207155,0.59708,0.4904849371796084,0.52884,0.49916756144601115,0.79892,0.40080772647234825,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),7.272727272727273e-06,0.001149896150539293,0.0,0.0,4e-05,0.0063244288279661115,0.0,0.0,0.0,0.0,4e-05,0.0063244288279661115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.44348727272727273,0.26721844130090083,0.00028,0.01673085771860346,0.9322,0.2514023866234779,0.0,0.0,0.57584,0.4942148261636048,0.932,0.2517459036409157,0.55152,0.4973386065852249,0.00092,0.030317546074840652,0.57292,0.4946540948986505,0.51712,0.4997068196452096,0.79556,0.4032918129593819,0.0,0.0
Monroe's Approval Rule (Monroe),0.32618545454545456,0.3092946386547155,0.02088,0.14298260593509785,0.76416,0.42452266653266907,0.0,0.0,0.41796,0.4932235176874683,0.764,0.4246221850068335,0.38868,0.4874503642424428,0.00052,0.022797578818809755,0.25308,0.43477639494352566,0.37212,0.4833701538157444,0.60664,0.4884955582192791,0.0,0.0
Greedy Monroe,0.0030472727272727266,0.034092624217320865,0.0,0.0,0.0144,0.11913286700148852,0.0,0.0,0.00044,0.020971561696736633,0.01436,0.11896970370643453,0.00056,0.023657692195136665,0.0,0.0,0.00212,0.04599462577302567,4e-05,0.006324428827965998,0.0016,0.039967987189741414,0.0,0.0
Minimax Approval Voting (MAV),0.2469418181818182,0.21383625950148677,0.0,0.0,0.7518,0.43196847107164665,0.0,0.0,0.0614,0.24006257517572033,0.75164,0.4320616974460903,0.03028,0.17135670865182898,0.0,0.0,0.33916,0.47342422244759264,0.03028,0.17135670865182898,0.7518,0.43196847107164665,0.0,0.0
