Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.02453927272727273,0.0815722521597007,1.4000000000000001e-05,0.0016273282825605355,0.000738,0.02687249305096252,0.0,0.0,0.08986400000000003,0.2859867500388108,0.0,0.0,0.08958,0.28557903389780437,0.0,0.0,0.0,0.0,0.08958,0.28557903389780437,0.00015600000000000002,0.011650134588764972,0.0,0.0
Random Choice,0.31662545454545454,0.3302080297876214,0.14856,0.355654223087507,0.81512,0.3882001875322165,0.0,0.0,0.37364,0.48376972869330204,0.74128,0.43793145765058367,0.35936,0.47981287019002933,0.00424,0.06497709134763517,0.29136,0.4543889857820159,0.35936,0.47981287019002933,0.38996,0.4877409131905166,0.0,0.0
Borda ranking,0.036105454545454545,0.12854077032212038,0.0,0.0,0.1334,0.34000652934912184,0.0,0.0,0.04092,0.19810490554247057,0.11888,0.3236472548933861,0.0408,0.19782659073030207,0.0,0.0,0.02228,0.14759268816577523,0.0408,0.19782659073030207,8e-05,0.008943914131966562,0.0,0.0
Plurality ranking,0.1465672727272727,0.18783827939768757,0.02852,0.1664530252053546,0.58504,0.49271512905534987,0.0,0.0,0.00472,0.06853992704985014,0.5322,0.4989620827278751,0.0,0.0,0.0,0.0,0.1998,0.3998499218457712,0.0,0.0,0.26196,0.4397009874903626,0.0,0.0
Approval Voting (AV),0.06041090909090909,0.1551838578061875,0.00012,0.010953793863315684,0.13452,0.34121015459678083,0.0,0.0,0.13888,0.3458212625042545,0.11644,0.32075181433630334,0.13728,0.34414270528370405,0.0,0.0,0.0,0.0,0.13728,0.34414270528370405,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.06041090909090909,0.1551838578061875,0.00012,0.010953793863315684,0.13452,0.34121015459678083,0.0,0.0,0.13888,0.3458212625042545,0.11644,0.32075181433630334,0.13728,0.34414270528370405,0.0,0.0,0.0,0.0,0.13728,0.34414270528370405,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.31490181818181817,0.3307277259745876,0.1502,0.35726735087319067,0.81008,0.3922376748859501,0.0,0.0,0.37044,0.4829225677062454,0.73716,0.4401762537893698,0.35656,0.4789832631732028,0.00444,0.06648523445095106,0.28908,0.4533351448983136,0.35656,0.4789832631732028,0.3894,0.4876142327700376,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06041090909090909,0.1551838578061875,0.00012,0.010953793863315684,0.13452,0.34121015459678083,0.0,0.0,0.13888,0.3458212625042545,0.11644,0.32075181433630334,0.13728,0.34414270528370405,0.0,0.0,0.0,0.0,0.13728,0.34414270528370405,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3134145454545454,0.3303063157707687,0.13976,0.34673785833112847,0.8076,0.3941855400695573,0.0,0.0,0.37544,0.48423631255823424,0.73644,0.440563419271305,0.36176,0.4805098359034615,0.00492,0.06996994783476124,0.29064,0.45405769501239734,0.36176,0.4805098359034615,0.36924,0.48259902859414866,0.0,0.0
Monroe's Approval Rule (Monroe),0.31429454545454544,0.3306824216270311,0.14984,0.35691451973833244,0.80896,0.3931204884002589,0.0,0.0,0.36964,0.4827072305238587,0.73604,0.4407778560680405,0.3558,0.47875501041754126,0.0044,0.06618640343755766,0.28796,0.4528123655556023,0.3558,0.47875501041754126,0.3888,0.4874777533386093,0.0,0.0
Greedy Monroe,0.11231636363636363,0.21683857668552028,0.00152,0.038957535856358486,0.32756,0.46932339212955737,0.0,0.0,0.18156,0.3854814734847089,0.30132,0.45883140433052955,0.17892,0.3832853161810749,0.00036,0.018970250393710163,0.06532,0.2470896549837088,0.17892,0.3832853161810749,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.31490181818181817,0.3307277259745876,0.1502,0.35726735087319067,0.81008,0.3922376748859501,0.0,0.0,0.37044,0.4829225677062454,0.73716,0.4401762537893698,0.35656,0.4789832631732028,0.00444,0.06648523445095106,0.28908,0.4533351448983136,0.35656,0.4789832631732028,0.3894,0.4876142327700376,0.0,0.0
