Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.049955818181818185,0.10568790320398916,0.0,0.0,8.000000000000001e-06,0.0010796385893950548,0.0,0.0,0.183166,0.38680255268836355,0.0,0.0,0.183166,0.38680255268836355,0.0,0.0,0.0,0.0,0.183166,0.38680255268836355,8.000000000000001e-06,0.0010796385893950548,0.0,0.0
Random Choice,0.3702290909090909,0.3171524173815811,0.14804,0.3551396322574776,0.81704,0.38663372641296456,0.0,0.0,0.3208,0.46678406142450324,0.73992,0.43867800674289,0.31896,0.4660735117983313,0.0,0.0,0.73992,0.43867800674289,0.31896,0.4660735117983313,0.66888,0.47061613402000435,0.0,0.0
Borda ranking,0.056760000000000005,0.16538955353605214,0.0,0.0,0.0822,0.27466918283634856,0.0,0.0,0.12592,0.33175918012917593,0.0822,0.27466918283634856,0.12592,0.33175918012917593,0.0,0.0,0.0822,0.27466918283634856,0.12592,0.33175918012917593,0.0,0.0,0.0,0.0
Plurality ranking,0.2507345454545455,0.19261884135687896,0.05504,0.22805832236514537,0.73212,0.4428547229057719,0.0,0.0,0.00056,0.02365769219513583,0.65284,0.47606715324630966,0.0,0.0,0.0,0.0,0.65284,0.47606715324630966,0.0,0.0,0.66468,0.4721022109669962,0.0,0.0
Approval Voting (AV),0.04996363636363636,0.10549920057663432,0.0,0.0,0.0,0.0,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.04996363636363636,0.10549920057663432,0.0,0.0,0.0,0.0,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3687854545454545,0.3172628629972624,0.1464,0.3535067750411319,0.81452,0.3886864669627082,0.0,0.0,0.31876,0.4659957750882431,0.7374,0.4400468611409221,0.31708,0.4653388803871404,0.0,0.0,0.7374,0.4400468611409221,0.31708,0.4653388803871404,0.668,0.4709309928216778,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.04996363636363636,0.10549920057663432,0.0,0.0,0.0,0.0,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.0,0.0,0.1832,0.38683040211432584,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3669127272727273,0.31598867834174177,0.14392,0.35100859476654045,0.8146,0.3886217183843955,0.0,0.0,0.31148,0.4630984880130322,0.73984,0.43872175054353574,0.30948,0.4622792766282457,0.0,0.0,0.73984,0.43872175054353574,0.30948,0.4622792766282457,0.6674,0.4711446062516282,0.0,0.0
Monroe's Approval Rule (Monroe),0.3687854545454545,0.3172628629972624,0.1464,0.3535067750411319,0.81452,0.3886864669627082,0.0,0.0,0.31876,0.4659957750882431,0.7374,0.4400468611409221,0.31708,0.4653388803871404,0.0,0.0,0.7374,0.4400468611409221,0.31708,0.4653388803871404,0.668,0.4709309928216778,0.0,0.0
Greedy Monroe,0.15115272727272727,0.2438136334326612,0.0,0.0,0.29752,0.4571672009232043,0.0,0.0,0.25692,0.436934907737957,0.29752,0.4571672009232043,0.2566,0.4367567286258518,0.0,0.0,0.29752,0.4571672009232043,0.2566,0.4367567286258518,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.3687854545454545,0.3172628629972624,0.1464,0.3535067750411319,0.81452,0.3886864669627082,0.0,0.0,0.31876,0.4659957750882431,0.7374,0.4400468611409221,0.31708,0.4653388803871404,0.0,0.0,0.7374,0.4400468611409221,0.31708,0.4653388803871404,0.668,0.4709309928216778,0.0,0.0
