Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.3215672727272727,0.3084725868538314,0.1256,0.3313980084430232,0.7786,0.4151891617082847,0.0,0.0,0.50012,0.49999998560002235,0.62956,0.4829225677062454,0.49392,0.4999630322335284,0.00268,0.051699299801822744,0.01272,0.11206338206566804,0.49392,0.4999630322335284,0.50012,0.49999998560002235,0.0,0.0
Borda ranking,0.007767272727272728,0.03651537378953226,0.0,0.0,0.05224,0.2225106343525957,0.0,0.0,0.0,0.0,0.0332,0.17915847733225918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.09987272727272728,0.09928994532926015,0.0,0.0,0.59064,0.49171576179742205,0.0,0.0,0.0,0.0,0.49776,0.4999949823748651,0.0,0.0,0.0,0.0,0.0102,0.10047865444957448,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.025934545454545453,0.06337084341832695,0.0,0.0,0.16256,0.36896374672865173,0.0,0.0,0.0,0.0,0.12272,0.32811553087294476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.025934545454545453,0.06337084341832695,0.0,0.0,0.16256,0.36896374672865173,0.0,0.0,0.0,0.0,0.12272,0.32811553087294476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.32123272727272734,0.30789509625711986,0.1236,0.3291246572348757,0.77672,0.4164445240365401,0.0,0.0,0.50092,0.49999915359919744,0.62684,0.483644098899055,0.49512,0.4999761850327992,0.00244,0.049336055780747845,0.01188,0.10834604561310686,0.49512,0.4999761850327992,0.50092,0.49999915359919744,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.025934545454545453,0.06337084341832695,0.0,0.0,0.16256,0.36896374672865173,0.0,0.0,0.0,0.0,0.12272,0.32811553087294476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3214000000000001,0.30859061257295733,0.12316,0.3286207759713672,0.77536,0.4173450256082564,0.0,0.0,0.50228,0.4999948015730592,0.6258,0.4839156538075949,0.49548,0.49997956918267145,0.00272,0.052082642022086414,0.01284,0.112583899381765,0.49548,0.49997956918267145,0.50228,0.4999948015730592,0.0,0.0
Monroe's Approval Rule (Monroe),0.32123272727272734,0.30789509625711986,0.1236,0.3291246572348757,0.77672,0.4164445240365401,0.0,0.0,0.50092,0.49999915359919744,0.62684,0.483644098899055,0.49512,0.4999761850327992,0.00244,0.049336055780747845,0.01188,0.10834604561310686,0.49512,0.4999761850327992,0.50092,0.49999915359919744,0.0,0.0
Greedy Monroe,0.0722181818181818,0.09361342213321923,0.0,0.0,0.43048,0.49514338286994086,0.0,0.0,0.0,0.0,0.36096,0.4802789589396109,0.0,0.0,0.0,0.0,0.00296,0.05432530165585988,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.32123272727272734,0.30789509625711986,0.1236,0.3291246572348757,0.77672,0.4164445240365401,0.0,0.0,0.50092,0.49999915359919744,0.62684,0.483644098899055,0.49512,0.4999761850327992,0.00244,0.049336055780747845,0.01188,0.10834604561310686,0.49512,0.4999761850327992,0.50092,0.49999915359919744,0.0,0.0
