Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.011679999999999998,0.0,4e-05,0.0,0.06612,0.0,0.03116,0.0,0.0,0.03116,0.0,0.0
NN-1,0.011676363636363636,8e-05,0.00056,0.0,0.06564,0.0,0.03108,0.0,0.0,0.03108,0.0,0.0
NN-2,0.011181818181818183,0.0,0.0002,0.0,0.0636,0.0,0.0296,0.0,0.0,0.0296,0.0,0.0
NN-3,0.011432727272727273,0.0,4e-05,0.0,0.06476,0.0,0.03048,0.0,0.0,0.03048,0.0,0.0
NN-4,0.011189090909090909,0.00024,0.00028,0.0,0.06368,0.0,0.02944,0.0,0.0,0.02944,0.0,0.0
NN-5,0.010992727272727272,4e-05,0.00012,0.0,0.06284,0.0,0.02896,0.0,0.0,0.02896,0.0,0.0
NN-6,0.012261818181818181,0.00112,0.00152,0.0,0.0672,8e-05,0.03248,0.0,0.0,0.03248,0.0,0.0
NN-7,0.01128,0.0,8e-05,0.0,0.06408,0.0,0.02996,0.0,0.0,0.02996,0.0,0.0
NN-8,0.011490909090909092,0.00012,0.00024,0.0,0.06508,0.0,0.03048,0.0,0.0,0.03048,0.0,0.0
NN-9,0.010807272727272728,0.0,8e-05,0.0,0.062,0.0,0.0284,0.0,0.0,0.0284,0.0,0.0
NN-10,0.010556363636363636,4e-05,0.00016,0.0,0.06072,0.0,0.0276,0.0,0.0,0.0276,0.0,0.0
NN-11,0.01214909090909091,0.00116,0.00028,0.0,0.06764,0.0,0.03228,0.0,0.0,0.03228,0.0,0.0
NN-12,0.011865454545454547,0.00024,0.00028,0.0,0.06632,0.0,0.03184,0.0,0.0,0.03184,0.0,0.0
NN-13,0.011203636363636364,0.00024,0.00032,0.0,0.06396,0.0,0.02936,0.0,0.0,0.02936,0.0,0.0
NN-14,0.01085090909090909,4e-05,0.00028,0.0,0.06216,0.0,0.02844,0.0,0.0,0.02844,0.0,0.0
NN-15,0.010269090909090908,0.00012,0.00012,0.0,0.05944,0.0,0.02664,0.0,0.0,0.02664,0.0,0.0
NN-16,0.011687272727272728,0.0,0.00024,0.0,0.06552,0.0,0.0314,0.0,0.0,0.0314,0.0,0.0
NN-17,0.010836363636363637,0.0,0.00012,0.0,0.0622,0.0,0.02844,0.0,0.0,0.02844,0.0,0.0
NN-18,0.011018181818181818,0.0,0.0,0.0,0.06312,0.0,0.02904,0.0,0.0,0.02904,0.0,0.0
NN-19,0.011843636363636362,4e-05,0.0,0.0,0.06648,0.0,0.03188,0.0,0.0,0.03188,0.0,0.0
Random Choice,0.18294545454545455,0.11884,0.66184,0.0,0.31152,0.4764,0.22168,4e-05,0.00012,0.22168,0.00028,0.0
Borda ranking,0.02005818181818182,0.0,0.106,0.0,0.03452,0.05308,0.01352,0.0,0.0,0.01352,0.0,0.0
Plurality ranking,0.06345818181818183,0.00884,0.40932,0.0,0.0,0.27976,0.0,0.0,0.0,0.0,0.00012,0.0
Approval Voting (AV),0.08519636363636363,0.0084,0.30384,0.0,0.18888,0.19812,0.11896,0.0,0.0,0.11896,0.0,0.0
Proportional Approval Voting (PAV),0.08519636363636363,0.0084,0.30384,0.0,0.18888,0.19812,0.11896,0.0,0.0,0.11896,0.0,0.0
Approval Chamberlin-Courant (CC),0.18418909090909089,0.11984,0.66508,0.0,0.31224,0.48068,0.224,0.0,0.00012,0.224,0.00012,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.08519636363636363,0.0084,0.30384,0.0,0.18888,0.19812,0.11896,0.0,0.0,0.11896,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1654181818181818,0.07192,0.62308,0.0,0.28356,0.44932,0.19584,0.0,4e-05,0.19584,0.0,0.0
Monroe's Approval Rule (Monroe),0.18418909090909089,0.11984,0.66508,0.0,0.31224,0.48068,0.224,0.0,0.00012,0.224,0.00012,0.0
Greedy Monroe,0.12399272727272727,0.02968,0.4656,0.0,0.23316,0.325,0.15524,0.0,0.0,0.15524,0.0,0.0
Minimax Approval Voting (MAV),0.18418909090909089,0.11984,0.66508,0.0,0.31224,0.48068,0.224,0.0,0.00012,0.224,0.00012,0.0
