Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.29898909090909087,0.1772,0.73604,0.0,0.39696,0.59896,0.39696,0.1772,0.01164,0.39696,0.39696,0.0
Borda ranking,0.00764,0.0,0.05068,0.0,0.0,0.03336,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.10097454545454544,0.0,0.59756,0.0,0.0,0.50384,0.0,0.0,0.00932,0.0,0.0,0.0
Approval Voting (AV),0.02689090909090909,0.0,0.16764,0.0,0.0,0.12816,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.02689090909090909,0.0,0.16764,0.0,0.0,0.12816,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3017418181818181,0.17656,0.74212,0.0,0.4024,0.60372,0.40236,0.17656,0.01068,0.40236,0.4024,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.02689090909090909,0.0,0.16764,0.0,0.0,0.12816,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.29886545454545455,0.17324,0.7408,0.0,0.39672,0.60264,0.39664,0.17324,0.01088,0.39664,0.39672,0.0
Monroe's Approval Rule (Monroe),0.3017418181818181,0.17656,0.74212,0.0,0.4024,0.60372,0.40236,0.17656,0.01068,0.40236,0.4024,0.0
Greedy Monroe,0.06989454545454545,0.0,0.41844,0.0,0.0,0.34788,0.0,0.0,0.00252,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.3017418181818181,0.17656,0.74212,0.0,0.4024,0.60372,0.40236,0.17656,0.01068,0.40236,0.4024,0.0
