Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0015709090909090907,0.00012,0.00032,0.0,0.0,0.0,0.00084,0.0,0.00012,0.0,0.01588,0.0
NN-1,0.0016545454545454545,0.00028,0.00108,0.0,0.0,0.0,0.00084,0.0,0.00016,0.0,0.01584,0.0
NN-2,0.0015454545454545452,0.0,0.00064,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.01556,0.0
NN-3,0.0015454545454545456,8e-05,0.00044,0.0,0.0,0.0,0.00076,0.0,4e-05,0.0,0.01568,0.0
NN-4,0.0015963636363636362,0.0,0.00108,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.01568,0.0
NN-5,0.0016072727272727272,0.0002,0.0006,0.0,0.0,0.0,0.00084,0.0,0.0,0.0,0.01604,0.0
NN-6,0.001589090909090909,8e-05,0.00076,0.0,0.0,0.0,0.00076,0.0,4e-05,0.0,0.01584,0.0
NN-7,0.001549090909090909,4e-05,0.00052,0.0,0.0,0.0,0.00084,0.0,0.0,0.0,0.01564,0.0
NN-8,0.0016654545454545455,4e-05,0.00156,0.0,0.0,0.0,0.0008,0.0,4e-05,0.0,0.01588,0.0
NN-9,0.001570909090909091,0.0,0.00068,0.0,0.0,4e-05,0.00076,0.0,0.0,0.0,0.0158,0.0
NN-10,0.0015454545454545456,4e-05,0.00068,0.0,0.0,0.0,0.00072,0.0,4e-05,0.0,0.01552,0.0
NN-11,0.0016363636363636363,0.00036,0.00096,0.0,0.0,0.0,0.0008,0.0,0.00012,0.0,0.01576,0.0
NN-12,0.0016290909090909092,0.00068,0.00044,0.0,0.0,0.0,0.00076,0.0,0.00024,0.0,0.0158,0.0
NN-13,0.001669090909090909,0.0,0.0016,0.0,0.0,0.0,0.00088,0.0,0.0,0.0,0.01588,0.0
NN-14,0.001621818181818182,0.0,0.001,0.0,0.0,4e-05,0.001,0.0,0.0,0.0,0.0158,0.0
NN-15,0.0016945454545454547,0.00012,0.0016,0.0,0.0,0.0,0.00084,0.0,4e-05,0.0,0.01604,0.0
NN-16,0.0015927272727272728,4e-05,0.00072,0.0,0.0,0.0,0.0008,0.0,4e-05,0.0,0.01592,0.0
NN-17,0.0015381818181818183,4e-05,0.00036,0.0,0.0,0.0,0.00072,0.0,4e-05,0.0,0.01576,0.0
NN-18,0.0015381818181818183,4e-05,0.00036,0.0,0.0,0.0,0.00076,0.0,4e-05,0.0,0.01572,0.0
NN-19,0.001567272727272727,8e-05,0.00076,0.0,0.0,0.0,0.0008,0.0,4e-05,0.0,0.01556,0.0
Random Choice,0.24590545454545457,0.13464,0.74472,0.04076,0.04076,0.67568,0.14824,0.448,0.08712,0.04076,0.30352,0.04076
Borda ranking,0.03212363636363636,0.0,0.14048,0.0,0.0,0.11656,0.0,0.06792,0.0,0.0,0.0284,0.0
Plurality ranking,0.019774545454545458,0.00308,0.12272,0.0,0.0,0.09024,0.0,0.0,0.00148,0.0,0.0,0.0
Approval Voting (AV),0.01968727272727273,0.00308,0.12252,0.0,0.0,0.0894,0.0,0.0,0.00156,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.01968727272727273,0.00308,0.12252,0.0,0.0,0.0894,0.0,0.0,0.00156,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.01968727272727273,0.00308,0.12252,0.0,0.0,0.0894,0.0,0.0,0.00156,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.01968727272727273,0.00308,0.12252,0.0,0.0,0.0894,0.0,0.0,0.00156,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.019774545454545458,0.00308,0.12272,0.0,0.0,0.09024,0.0,0.0,0.00148,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.01968727272727273,0.00308,0.12252,0.0,0.0,0.0894,0.0,0.0,0.00156,0.0,0.0,0.0
Greedy Monroe,0.019774545454545458,0.00308,0.12272,0.0,0.0,0.09024,0.0,0.0,0.00148,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.20993454545454543,0.12516,0.7018,0.0,0.0,0.63288,0.10612,0.40388,0.07932,0.0,0.26012,0.0
