Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.16670545454545452,0.14468,0.81236,0.0,0.0,0.73164,0.00016,0.0,0.14468,0.0,0.00024,0.0
Borda ranking,0.01721818181818182,0.0,0.09488,0.0,0.0,0.09452,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.13153454545454546,0.05792,0.7052,0.0,0.0,0.62584,0.0,0.0,0.05792,0.0,0.0,0.0
Approval Voting (AV),0.13110181818181818,0.0552,0.7054,0.0,0.0,0.62632,0.0,0.0,0.0552,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.13110181818181818,0.0552,0.7054,0.0,0.0,0.62632,0.0,0.0,0.0552,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.13110181818181818,0.0552,0.7054,0.0,0.0,0.62632,0.0,0.0,0.0552,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.13110181818181818,0.0552,0.7054,0.0,0.0,0.62632,0.0,0.0,0.0552,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.13153454545454546,0.05792,0.7052,0.0,0.0,0.62584,0.0,0.0,0.05792,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.13110181818181818,0.0552,0.7054,0.0,0.0,0.62632,0.0,0.0,0.0552,0.0,0.0,0.0
Greedy Monroe,0.13153454545454546,0.05792,0.7052,0.0,0.0,0.62584,0.0,0.0,0.05792,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.16836363636363635,0.14864,0.81652,0.0,0.0,0.73788,0.00012,0.0,0.14864,0.0,0.0002,0.0
