Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0011163636363636367,0.0,0.00812,0.0,4e-05,0.0,0.00216,4e-05,0.00032,4e-05,0.00156,0.0
NN-1,0.0013418181818181819,0.0,0.00696,0.0,0.0,0.0,0.0042,0.0,0.001,0.0,0.0026,0.0
NN-2,0.001450909090909091,4e-05,0.0092,0.0,0.0,0.0,0.00388,0.0,0.00084,0.0,0.002,0.0
NN-3,0.000989090909090909,0.0,0.00788,0.0,0.0,0.0,0.00176,0.0,8e-05,0.0,0.00116,0.0
NN-4,0.00112,0.0,0.0068,0.0,0.0,0.0,0.0032,0.0,0.00056,0.0,0.00176,0.0
NN-5,0.0014327272727272728,4e-05,0.00792,0.0,0.0,0.0,0.00436,0.0,0.00104,0.0,0.0024,0.0
NN-6,0.001887272727272727,0.00052,0.00812,0.0,4e-05,0.0,0.00716,0.0,0.00164,4e-05,0.00324,0.0
NN-7,0.00096,0.0,0.00756,0.0,0.0,0.0,0.00184,0.0,4e-05,0.0,0.00112,0.0
NN-8,0.0010763636363636366,0.0,0.0082,0.0,0.0,0.0,0.00212,0.0,0.00024,0.0,0.00128,0.0
NN-9,0.0010654545454545454,0.0,0.00852,0.0,0.0,0.0,0.002,0.0,0.00016,0.0,0.00104,0.0
NN-10,0.0011272727272727274,0.0,0.008,0.0,0.0,0.0,0.00264,0.0,0.00032,0.0,0.00144,0.0
NN-11,0.0012981818181818183,0.0,0.00808,0.0,0.0,0.0,0.0034,0.0,0.00072,0.0,0.00208,0.0
NN-12,0.0012981818181818183,0.0,0.00952,0.0,0.0,0.0,0.0028,0.0,0.00048,0.0,0.00148,0.0
NN-13,0.0009854545454545454,0.0,0.008,0.0,0.0,0.0,0.00204,0.0,0.0,0.0,0.0008,0.0
NN-14,0.0011963636363636362,0.0,0.00996,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.00124,0.0
NN-15,0.0010654545454545454,0.0,0.00864,0.0,0.0,0.0,0.002,0.0,4e-05,0.0,0.00104,0.0
NN-16,0.0013163636363636363,0.0,0.00876,0.0,0.0,0.0,0.00332,0.0,0.00056,0.0,0.00184,0.0
NN-17,0.000970909090909091,0.0,0.0076,0.0,0.0,0.0,0.00188,0.0,0.00012,0.0,0.00108,0.0
NN-18,0.0009563636363636364,0.0,0.00692,0.0,0.0,0.0,0.00196,0.0,0.00016,0.0,0.00148,0.0
NN-19,0.0010581818181818181,0.0,0.00864,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.00104,0.0
Random Choice,0.22208727272727274,0.05624,0.9028,0.0,0.0222,0.77424,0.40132,0.0148,0.10072,0.0222,0.14844,0.0
Borda ranking,0.026872727272727267,0.0,0.15764,0.0,0.0012,0.12668,0.00736,0.00064,0.0,0.0012,0.00088,0.0
Plurality ranking,0.12636363636363637,0.00516,0.70088,0.0,0.0,0.60504,0.01556,0.0,0.02068,0.0,0.04268,0.0
Approval Voting (AV),0.061978181818181814,0.00032,0.35824,0.0,4e-05,0.30072,0.021,0.0,0.0014,4e-05,0.0,0.0
Proportional Approval Voting (PAV),0.08427272727272726,8e-05,0.50092,0.0,0.00096,0.41912,0.0024,0.00052,0.00204,0.00096,0.0,0.0
Approval Chamberlin-Courant (CC),0.13521090909090908,8e-05,0.75864,0.0,0.0144,0.6546,0.0192,0.01004,0.00936,0.0144,0.0066,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1300909090909091,8e-05,0.73464,0.0,0.01364,0.634,0.018,0.0094,0.0076,0.01364,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.12837090909090906,0.00012,0.73012,0.0,0.00744,0.63112,0.01156,0.00484,0.01064,0.00744,0.0088,0.0
Monroe's Approval Rule (Monroe),0.11577454545454545,8e-05,0.66148,0.0,0.00876,0.56412,0.01392,0.00588,0.00464,0.00876,0.00588,0.0
Greedy Monroe,0.11378181818181815,0.00012,0.66092,0.0,0.00328,0.56632,0.00568,0.00172,0.0068,0.00328,0.00348,0.0
Minimax Approval Voting (MAV),0.2203090909090909,0.05484,0.90232,0.0,0.022,0.77424,0.39404,0.015,0.09872,0.022,0.14024,0.0
