Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0024618181818181818,0.0006,0.00844,4e-05,0.00092,0.0,0.0094,0.00068,0.00128,0.00092,0.0048,0.0
NN-1,0.0028363636363636364,0.00092,0.00984,4e-05,0.001,0.0,0.01068,0.00076,0.00144,0.001,0.00552,0.0
NN-2,0.0027672727272727276,0.00076,0.01064,4e-05,0.00096,0.0,0.01,0.00072,0.00136,0.00096,0.005,0.0
NN-3,0.0028581818181818183,0.0008,0.01104,4e-05,0.001,0.0,0.01012,0.00076,0.00144,0.001,0.00524,0.0
NN-4,0.002363636363636364,0.00056,0.00776,4e-05,0.00084,0.0,0.00916,0.00064,0.00132,0.00084,0.00484,0.0
NN-5,0.002247272727272728,0.0006,0.00688,4e-05,0.00092,0.0,0.00888,0.00068,0.00132,0.00092,0.00448,0.0
NN-6,0.0024727272727272727,0.00068,0.00764,4e-05,0.00092,0.0,0.00984,0.00068,0.00144,0.00092,0.00504,0.0
NN-7,0.002490909090909091,0.00072,0.00792,4e-05,0.00096,0.0,0.00956,0.00072,0.00128,0.00096,0.00524,0.0
NN-8,0.0024618181818181818,0.00064,0.00792,4e-05,0.00096,0.0,0.00964,0.00072,0.00136,0.00096,0.00484,0.0
NN-9,0.0027345454545454548,0.00084,0.00936,4e-05,0.001,0.0,0.01032,0.00076,0.00152,0.001,0.00524,0.0
NN-10,0.0023345454545454546,0.00072,0.00744,4e-05,0.00088,0.0,0.00908,0.00068,0.00136,0.00088,0.0046,0.0
NN-11,0.00248,0.00064,0.00884,4e-05,0.00084,0.0,0.00944,0.00064,0.0014,0.00084,0.0046,0.0
NN-12,0.0024472727272727268,0.00072,0.00788,4e-05,0.00096,0.0,0.00948,0.00072,0.00136,0.00096,0.0048,0.0
NN-13,0.0028145454545454546,0.00084,0.01072,4e-05,0.00096,0.0,0.01012,0.00072,0.00136,0.00096,0.00524,0.0
NN-14,0.0025199999999999997,0.0006,0.00836,4e-05,0.001,0.0,0.00972,0.00076,0.00136,0.001,0.00488,0.0
NN-15,0.002269090909090909,0.0006,0.00772,4e-05,0.0008,0.0,0.00872,0.0006,0.00136,0.0008,0.00432,0.0
NN-16,0.0026254545454545454,0.00076,0.00932,4e-05,0.00088,0.0,0.0096,0.00068,0.00144,0.00088,0.00528,0.0
NN-17,0.0024436363636363635,0.00064,0.00916,4e-05,0.00088,0.0,0.00896,0.00064,0.0012,0.00088,0.00448,0.0
NN-18,0.0027454545454545457,0.00072,0.01088,4e-05,0.00088,0.0,0.00976,0.00064,0.00144,0.00088,0.00496,0.0
NN-19,0.0023490909090909096,0.00072,0.0082,4e-05,0.00092,0.0,0.0086,0.00068,0.00132,0.00092,0.00444,0.0
Random Choice,0.25623999999999997,0.04968,0.86428,4e-05,0.11568,0.72868,0.40644,0.08924,0.12764,0.09692,0.27852,0.06152
Borda ranking,0.019141818181818183,0.0,0.11544,0.0,0.00156,0.08372,0.00468,0.00112,0.0,0.00156,0.00248,0.0
Plurality ranking,0.12164363636363636,0.0062,0.57956,0.0,0.0506,0.48528,0.01544,0.0,0.0398,0.0,0.1106,0.0506
Approval Voting (AV),0.049370909090909104,4e-05,0.2946,0.0,0.00012,0.22992,0.01688,4e-05,0.00136,0.00012,0.0,0.0
Proportional Approval Voting (PAV),0.06425818181818183,4e-05,0.38588,0.0,0.00292,0.30708,0.00412,0.00196,0.00192,0.00292,0.0,0.0
Approval Chamberlin-Courant (CC),0.15810181818181815,8e-05,0.7184,0.0,0.08412,0.61696,0.05612,0.04928,0.02636,0.0528,0.07376,0.06124
Lexicographic Chamberlin-Courant (lex-CC),0.10773818181818182,8e-05,0.60052,0.0,0.01752,0.50584,0.02072,0.01444,0.00848,0.01752,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.15149454545454547,4e-05,0.691,4e-05,0.07712,0.59372,0.05048,0.0454,0.02688,0.0476,0.07384,0.06032
Monroe's Approval Rule (Monroe),0.09269454545454545,0.00012,0.53252,0.0,0.01008,0.43584,0.01428,0.00724,0.0038,0.01008,0.00568,0.0
Greedy Monroe,0.08666545454545455,4e-05,0.50984,4e-05,0.0048,0.41732,0.00676,0.00352,0.00436,0.0048,0.00184,0.0
Minimax Approval Voting (MAV),0.19037454545454546,0.03992,0.7712,0.0,0.03736,0.64048,0.30036,0.03048,0.09744,0.03736,0.13952,0.0
