Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.03432363636363636,0.0,0.01436,0.0,0.1378,0.0,0.13228,0.0,0.0,0.09,0.00312,0.0
NN-1,0.03455272727272727,0.0,0.01756,0.0,0.13752,0.0,0.13212,0.0,4e-05,0.08984,0.003,0.0
NN-2,0.034283636363636356,0.0,0.01488,0.0,0.13768,0.0,0.13212,0.0,0.0,0.08968,0.00276,0.0
NN-3,0.03425090909090909,0.0,0.0142,0.0,0.13768,0.0,0.13232,0.0,0.0,0.08964,0.00292,0.0
NN-4,0.03453818181818183,0.0,0.01568,0.0,0.13816,0.0,0.13284,0.0,0.0,0.09028,0.00296,0.0
NN-5,0.03404,0.0,0.01236,0.0,0.1376,0.0,0.1322,0.0,0.0,0.08968,0.0026,0.0
NN-6,0.03396727272727273,0.0,0.01276,0.0,0.13704,0.0,0.13196,0.0,0.0,0.08932,0.00256,0.0
NN-7,0.03399636363636364,0.0,0.0136,0.0,0.13704,4e-05,0.13156,0.0,0.0,0.08908,0.00264,0.0
NN-8,0.03424,0.0,0.01508,0.0,0.13732,0.0,0.13184,0.0,4e-05,0.08952,0.00284,0.0
NN-9,0.034480000000000004,0.0,0.01548,0.0,0.13816,0.0,0.13244,0.0,0.0,0.08992,0.00328,0.0
NN-10,0.03415272727272728,0.0,0.01548,0.0,0.13688,8e-05,0.13124,0.0,8e-05,0.08884,0.00308,0.0
NN-11,0.034396363636363635,0.0,0.01576,0.0,0.13776,0.0,0.13212,0.0,4e-05,0.08976,0.00292,0.0
NN-12,0.03435272727272728,0.0,0.01528,0.0,0.13776,0.0,0.13228,0.0,8e-05,0.0896,0.00288,0.0
NN-13,0.034181818181818174,0.0,0.01364,0.0,0.1376,0.0,0.13224,0.0,0.0,0.08976,0.00276,0.0
NN-14,0.03462545454545455,0.0,0.01804,0.0,0.13768,4e-05,0.13216,0.0,0.00012,0.0896,0.00324,0.0
NN-15,0.03430545454545455,0.0,0.01516,0.0,0.13744,0.0,0.1324,0.0,0.0,0.08948,0.00288,0.0
NN-16,0.03438181818181818,0.0,0.01528,0.0,0.13788,0.0,0.13252,0.0,0.0,0.08972,0.0028,0.0
NN-17,0.03396363636363637,0.0,0.0126,0.0,0.13688,0.0,0.1316,0.0,0.0,0.08928,0.00324,0.0
NN-18,0.034236363636363634,0.0,0.01452,0.0,0.13736,0.0,0.13252,0.0,0.0,0.0896,0.0026,0.0
NN-19,0.03397454545454545,0.0,0.01316,0.0,0.13724,0.0,0.13168,0.0,0.0,0.08916,0.00248,0.0
Random Choice,0.33287636363636364,0.05368,0.89688,4e-05,0.4502,0.74668,0.46596,0.00712,0.1922,0.36812,0.48076,0.0
Borda ranking,0.04785454545454546,0.0,0.16556,4e-05,0.09636,0.12948,0.0736,0.0,0.0014,0.05736,0.0026,0.0
Plurality ranking,0.1624581818181818,0.01252,0.73172,0.0,0.00156,0.61012,0.00216,0.0,0.09952,0.0,0.32944,0.0
Approval Voting (AV),0.07633454545454546,0.0,0.20148,4e-05,0.17996,0.15268,0.17864,4e-05,0.00052,0.12632,0.0,0.0
Proportional Approval Voting (PAV),0.08986545454545454,0.0,0.28824,4e-05,0.18848,0.22188,0.15648,4e-05,0.00044,0.13292,0.0,0.0
Approval Chamberlin-Courant (CC),0.33313818181818183,0.05516,0.89936,4e-05,0.45256,0.74784,0.46424,0.0076,0.19204,0.3678,0.47788,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.18445818181818183,0.0,0.66232,4e-05,0.30872,0.56212,0.23456,0.00312,0.02372,0.23444,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.30324,0.01184,0.8666,4e-05,0.44304,0.7234,0.44104,0.00576,0.1782,0.361,0.30472,0.0
Monroe's Approval Rule (Monroe),0.3224909090909091,0.04964,0.88996,4e-05,0.43764,0.73956,0.447,0.00672,0.16004,0.3548,0.462,0.0
Greedy Monroe,0.14774909090909089,0.00016,0.49984,4e-05,0.2574,0.41604,0.21928,0.001,0.01856,0.19188,0.02104,0.0
Minimax Approval Voting (MAV),0.25395999999999996,0.02764,0.78068,4e-05,0.38304,0.65396,0.35448,0.00492,0.08816,0.30092,0.19972,0.0
