Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0029418181818181817,0.00044,0.00084,0.0,0.01036,0.0,0.01036,0.0,0.0,0.01036,0.0,0.0
NN-1,0.00276,0.00028,0.00056,0.0,0.00984,0.0,0.00984,0.0,0.0,0.00984,0.0,0.0
NN-2,0.002621818181818182,8e-05,0.00032,0.0,0.00948,0.0,0.00948,0.0,0.0,0.00948,0.0,0.0
NN-3,0.0026618181818181814,0.00028,0.0002,0.0,0.0096,0.0,0.0096,0.0,0.0,0.0096,0.0,0.0
NN-4,0.0027018181818181815,0.0002,0.00072,0.0,0.0096,0.0,0.0096,0.0,0.0,0.0096,0.0,0.0
NN-5,0.00268,4e-05,0.00028,0.0,0.00972,0.0,0.00972,0.0,0.0,0.00972,0.0,0.0
NN-6,0.0028436363636363637,0.00048,0.00044,0.0,0.01012,0.0,0.01012,0.0,0.0,0.01012,0.0,0.0
NN-7,0.002596363636363636,0.00012,0.0004,0.0,0.00932,0.0,0.00932,4e-05,0.0,0.00932,4e-05,0.0
NN-8,0.0026654545454545446,0.00016,0.00028,0.0,0.0096,0.0,0.0096,4e-05,0.0,0.0096,4e-05,0.0
NN-9,0.0025709090909090903,0.00016,0.00032,0.0,0.00924,0.0,0.00924,4e-05,0.0,0.00924,4e-05,0.0
NN-10,0.002723636363636364,0.0002,0.0006,0.0,0.00972,0.0,0.00972,0.0,0.0,0.00972,0.0,0.0
NN-11,0.002556363636363636,8e-05,0.00012,0.0,0.00928,0.0,0.00928,4e-05,0.0,0.00928,4e-05,0.0
NN-12,0.0027854545454545454,0.00016,0.0004,0.0,0.01,0.0,0.01,4e-05,0.0,0.01,4e-05,0.0
NN-13,0.0027163636363636357,0.00016,0.00024,0.0,0.0098,0.0,0.0098,4e-05,0.0,0.0098,4e-05,0.0
NN-14,0.0028436363636363637,0.00044,0.00036,0.0,0.01016,0.0,0.01016,0.0,0.0,0.01016,0.0,0.0
NN-15,0.0025927272727272726,8e-05,0.0006,0.0,0.00928,0.0,0.00928,0.0,0.0,0.00928,0.0,0.0
NN-16,0.002629090909090909,0.00024,0.00012,0.0,0.00952,0.0,0.00952,0.0,0.0,0.00952,0.0,0.0
NN-17,0.0027090909090909093,8e-05,0.00056,0.0,0.00972,0.0,0.00972,0.0,0.0,0.00972,0.0,0.0
NN-18,0.0027418181818181816,0.00012,0.0004,0.0,0.00988,0.0,0.00988,0.0,0.0,0.00988,0.0,0.0
NN-19,0.002792727272727273,0.00012,0.0006,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0
Random Choice,0.30832363636363636,0.1514,0.8076,0.0,0.41336,0.75912,0.3014,0.07636,0.38164,0.3014,0.18844,0.01084
Borda ranking,0.0073490909090909076,0.0,0.03924,0.0,0.00448,0.02804,0.00448,0.0,0.00012,0.00448,0.0,0.0
Plurality ranking,0.11562181818181821,0.0008,0.45944,0.0,0.06752,0.42968,0.0,0.0,0.249,0.0,0.05508,0.01032
Approval Voting (AV),0.022567272727272724,0.00036,0.09628,0.0,0.02608,0.07336,0.02608,0.0,0.0,0.02608,0.0,0.0
Proportional Approval Voting (PAV),0.022567272727272724,0.00036,0.09628,0.0,0.02608,0.07336,0.02608,0.0,0.0,0.02608,0.0,0.0
Approval Chamberlin-Courant (CC),0.30646909090909086,0.14916,0.80392,0.0,0.41036,0.7564,0.29816,0.07664,0.37948,0.29816,0.18784,0.01104
Lexicographic Chamberlin-Courant (lex-CC),0.022567272727272724,0.00036,0.09628,0.0,0.02608,0.07336,0.02608,0.0,0.0,0.02608,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.28452000000000005,0.10704,0.7932,0.0,0.36156,0.74592,0.2518,0.0642,0.38128,0.2518,0.16204,0.01088
Monroe's Approval Rule (Monroe),0.2442072727272727,0.12396,0.67772,0.0,0.31152,0.6302,0.27072,0.05144,0.25328,0.27072,0.09672,0.0
Greedy Monroe,0.05751272727272728,0.00416,0.25388,0.0,0.04396,0.22076,0.04396,4e-05,0.02192,0.04396,0.0,0.0
Minimax Approval Voting (MAV),0.29963272727272733,0.14692,0.79288,0.0,0.39932,0.74536,0.29592,0.0744,0.36844,0.29592,0.1768,0.0
