Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.023221818181818177,0.0,0.00044,0.0,0.08516,0.0,0.08484,0.0,0.0,0.08484,0.00016,0.0
NN-1,0.023192727272727275,4e-05,0.00056,0.0,0.08504,0.0,0.08472,0.0,0.0,0.08472,4e-05,0.0
NN-2,0.02339636363636364,0.00024,0.0002,0.0,0.08556,0.0,0.08512,0.0,0.0,0.08512,0.00112,0.0
NN-3,0.02328,0.0,0.00068,0.0,0.08528,0.0,0.08492,0.0,0.0,0.08492,0.00028,0.0
NN-4,0.023243636363636366,0.0,0.00056,0.0,0.0852,0.0,0.08484,0.0,0.0,0.08484,0.00024,0.0
NN-5,0.023167272727272727,0.0,0.00056,0.0,0.08496,0.0,0.08464,0.0,0.0,0.08464,4e-05,0.0
NN-6,0.023265454545454547,0.00016,0.00076,0.0,0.08512,0.0,0.08472,0.0,0.0,0.08472,0.00044,0.0
NN-7,0.023174545454545458,0.0,0.00036,0.0,0.085,0.0,0.08468,0.0,0.0,0.08468,0.0002,0.0
NN-8,0.023189090909090906,0.0,0.0002,0.0,0.08512,0.0,0.0848,0.0,0.0,0.0848,0.00016,0.0
NN-9,0.023243636363636366,0.0,0.00088,0.0,0.08508,0.0,0.08472,0.0,0.0,0.08472,0.00028,0.0
NN-10,0.02317090909090909,0.0,0.0004,0.0,0.08504,0.0,0.08472,0.0,0.0,0.08472,0.0,0.0
NN-11,0.023265454545454544,0.0,0.00052,0.0,0.08524,0.0,0.08484,0.0,0.0,0.08484,0.00048,0.0
NN-12,0.023243636363636366,0.0,0.0006,0.0,0.08524,0.0,0.08488,0.0,0.0,0.08488,8e-05,0.0
NN-13,0.023236363636363635,4e-05,0.00048,0.0,0.08516,0.0,0.0848,0.0,0.0,0.0848,0.00032,0.0
NN-14,0.0232,0.0,0.0008,0.0,0.08504,0.0,0.08468,0.0,0.0,0.08468,0.0,0.0
NN-15,0.023240000000000004,0.0,0.00056,0.0,0.08516,0.0,0.08476,0.0,0.0,0.08476,0.0004,0.0
NN-16,0.02321818181818182,0.00016,0.00032,0.0,0.08508,0.0,0.08468,0.0,0.0,0.08468,0.00048,0.0
NN-17,0.023236363636363635,0.0,0.00048,0.0,0.08524,0.0,0.08492,0.0,0.0,0.08492,4e-05,0.0
NN-18,0.023305454545454542,0.00016,0.00072,0.0,0.08524,0.0,0.08488,0.0,0.0,0.08488,0.00048,0.0
NN-19,0.023298181818181815,4e-05,0.00068,0.0,0.08524,0.0,0.08484,0.0,0.0,0.08484,0.00064,0.0
Random Choice,0.31568363636363644,0.15092,0.81184,0.0,0.37084,0.74172,0.35632,0.00444,0.28616,0.35632,0.39396,0.0
Borda ranking,0.03462545454545454,0.0,0.13228,0.0,0.03668,0.11828,0.03656,0.0,0.02044,0.03656,8e-05,0.0
Plurality ranking,0.1452181818181818,0.0272,0.58044,0.0,0.00532,0.52904,0.0,0.0,0.19388,0.0,0.26152,0.0
Approval Voting (AV),0.05912727272727272,0.00024,0.13624,0.0,0.133,0.11824,0.13132,4e-05,0.0,0.13132,0.0,0.0
Proportional Approval Voting (PAV),0.05912727272727272,0.00024,0.13624,0.0,0.133,0.11824,0.13132,4e-05,0.0,0.13132,0.0,0.0
Approval Chamberlin-Courant (CC),0.3150472727272728,0.15096,0.8106,0.0,0.37164,0.73948,0.3582,0.004,0.28576,0.3582,0.38668,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.05912727272727272,0.00024,0.13624,0.0,0.133,0.11824,0.13132,4e-05,0.0,0.13132,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3121018181818182,0.14252,0.80944,0.0,0.36868,0.73912,0.3548,0.00396,0.28596,0.3548,0.37384,0.0
Monroe's Approval Rule (Monroe),0.31467272727272727,0.15076,0.80988,0.0,0.37116,0.73876,0.35788,0.00396,0.28504,0.35788,0.38608,0.0
Greedy Monroe,0.11068363636363636,0.00284,0.32752,0.0,0.17536,0.30304,0.17292,0.00032,0.0626,0.17292,0.0,0.0
Minimax Approval Voting (MAV),0.3150472727272728,0.15096,0.8106,0.0,0.37164,0.73948,0.3582,0.004,0.28576,0.3582,0.38668,0.0
