Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.00010545454545454546,0.00056,0.00012,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.0002,0.0
NN-1,4.363636363636364e-05,8e-05,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-2,3.6363636363636364e-05,8e-05,8e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-3,4.363636363636364e-05,8e-05,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-4,3.272727272727273e-05,8e-05,4e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-5,4.727272727272728e-05,0.00012,0.00012,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-6,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-7,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-8,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-9,3.272727272727273e-05,8e-05,4e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-10,4.363636363636364e-05,8e-05,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-11,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-12,2.9090909090909093e-05,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-13,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-14,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-15,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-16,4.363636363636364e-05,8e-05,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-17,4e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-18,3.6363636363636364e-05,8e-05,8e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0002,0.0
NN-19,3.272727272727273e-05,4e-05,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Random Choice,0.16889454545454544,0.18048,0.7862,0.0,0.0,0.73268,0.0028,0.05628,0.0874,0.0,0.012,0.0
Borda ranking,0.019650909090909087,0.0,0.1074,0.0,0.0,0.09768,0.0,0.01076,0.0,0.0,0.00032,0.0
Plurality ranking,0.06959272727272726,0.01692,0.38256,0.0,0.0,0.36016,0.0,0.0,0.00588,0.0,0.0,0.0
Approval Voting (AV),0.06978181818181818,0.01768,0.38312,0.0,0.0,0.3608,0.0,0.0,0.006,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.06978181818181818,0.01768,0.38312,0.0,0.0,0.3608,0.0,0.0,0.006,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.06978181818181818,0.01768,0.38312,0.0,0.0,0.3608,0.0,0.0,0.006,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06978181818181818,0.01768,0.38312,0.0,0.0,0.3608,0.0,0.0,0.006,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.06955636363636362,0.0168,0.38244,0.0,0.0,0.36,0.0,0.0,0.00588,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.06978181818181818,0.01768,0.38312,0.0,0.0,0.3608,0.0,0.0,0.006,0.0,0.0,0.0
Greedy Monroe,0.06955636363636362,0.0168,0.38244,0.0,0.0,0.36,0.0,0.0,0.00588,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1680581818181818,0.18164,0.78096,0.0,0.0,0.72852,0.00332,0.05648,0.08584,0.0,0.01188,0.0
