Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0068218181818181815,0.0,0.0004,0.0006,0.00348,0.0,0.03828,0.00212,0.00516,0.00348,0.02152,0.0
NN-1,0.008265454545454546,0.0,0.00048,0.00076,0.00644,0.0,0.04408,0.00436,0.00544,0.00644,0.02292,0.0
NN-2,0.007323636363636365,0.0,0.00056,0.00076,0.00528,0.0,0.03948,0.00336,0.00452,0.00528,0.02132,0.0
NN-3,0.007032727272727273,0.0,0.00036,0.00072,0.004,0.0,0.03932,0.00208,0.00508,0.004,0.0218,0.0
NN-4,0.008152727272727272,0.0,0.00088,0.00064,0.00616,0.0,0.04332,0.00424,0.00544,0.00616,0.02284,0.0
NN-5,0.009069090909090909,0.0,0.0024,0.00072,0.00764,0.0,0.04676,0.00528,0.00564,0.00764,0.02368,0.0
NN-6,0.009290909090909091,0.0,0.00132,0.00072,0.00816,0.0,0.04788,0.00576,0.00604,0.00816,0.02416,0.0
NN-7,0.009683636363636363,0.0002,0.00284,0.0008,0.00892,0.0,0.0486,0.00624,0.00592,0.00892,0.02408,0.0
NN-8,0.008650909090909093,0.0,0.00152,0.00076,0.00732,0.0,0.04508,0.00504,0.00516,0.00732,0.02296,0.0
NN-9,0.008494545454545454,4e-05,0.00084,0.00072,0.0068,0.0,0.04472,0.00468,0.0056,0.0068,0.02324,0.0
NN-10,0.008945454545454546,8e-05,0.00132,0.00088,0.00768,0.0,0.04644,0.00524,0.00556,0.00768,0.02352,0.0
NN-11,0.008978181818181817,4e-05,0.00228,0.00088,0.00776,0.0,0.04604,0.00532,0.00532,0.00776,0.02336,0.0
NN-12,0.008469090909090909,0.0,0.00076,0.00084,0.00684,0.0,0.04516,0.00456,0.00532,0.00684,0.02284,0.0
NN-13,0.008850909090909092,4e-05,0.00156,0.00068,0.00736,0.0,0.046,0.005,0.0058,0.00736,0.02356,0.0
NN-14,0.008836363636363635,0.0,0.001,0.00084,0.00732,0.0,0.04648,0.00476,0.00596,0.00732,0.02352,0.0
NN-15,0.008385454545454545,0.0,0.00112,0.0008,0.00696,0.0,0.044,0.00468,0.005,0.00696,0.02272,0.0
NN-16,0.00854181818181818,4e-05,0.00072,0.00076,0.00696,0.0,0.04516,0.00472,0.00544,0.00696,0.0232,0.0
NN-17,0.008276363636363636,0.0,0.00056,0.0008,0.00656,0.0,0.04412,0.00428,0.00536,0.00656,0.0228,0.0
NN-18,0.008269090909090908,0.0,0.00064,0.0008,0.0068,0.0,0.0438,0.00452,0.00492,0.0068,0.02268,0.0
NN-19,0.009134545454545456,4e-05,0.002,0.00092,0.00768,0.0,0.04716,0.00516,0.00604,0.00768,0.0238,0.0
Random Choice,0.31077454545454547,0.0748,0.76796,0.00152,0.36836,0.43044,0.4844,0.33512,0.2224,0.35556,0.33956,0.0384
Borda ranking,0.021305454545454544,0.0,0.12392,0.00096,0.00948,0.04748,0.01604,0.00628,0.0,0.00948,0.02072,0.0
Plurality ranking,0.11613818181818182,0.00084,0.56908,0.0,0.028,0.34704,0.00016,0.0,0.13032,0.0,0.17408,0.028
STV,0.027803636363636364,0.00288,0.16628,0.00128,0.01868,0.02488,0.03844,0.01456,0.0164,0.01868,0.00376,0.0
Approval Voting (AV),0.011418181818181817,4e-05,0.10164,0.00112,0.00384,0.0,0.01104,0.0012,0.00288,0.00384,0.0,0.0
Proportional Approval Voting (PAV),0.03223636363636363,8e-05,0.18616,0.001,0.02852,0.03688,0.03504,0.0212,0.0172,0.02852,0.0,0.0
Approval Chamberlin-Courant (CC),0.22160000000000002,0.0002,0.68792,0.00136,0.25924,0.42452,0.24964,0.22496,0.1496,0.24028,0.16196,0.03792
Lexicographic Chamberlin-Courant (lex-CC),0.14025454545454547,0.00012,0.51928,0.001,0.16276,0.27736,0.17164,0.149,0.09888,0.16276,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.20779636363636358,0.00012,0.65552,0.00128,0.24208,0.4046,0.23376,0.20764,0.1438,0.2226,0.13616,0.0382
Monroe's Approval Rule (Monroe),0.05841454545454545,0.00036,0.27684,0.001,0.05872,0.07452,0.0686,0.0506,0.03016,0.05872,0.02304,0.0
Greedy Monroe,0.05374545454545455,0.00012,0.26996,0.00108,0.05216,0.07484,0.0616,0.04212,0.03224,0.05216,0.00492,0.0
Minimax Approval Voting (MAV),0.23111272727272728,0.02888,0.70828,0.00128,0.25928,0.3858,0.35572,0.24,0.15932,0.25928,0.1444,0.0
