Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0008545454545454546,0.0,0.00032,0.0,0.0,0.0,0.00504,0.0,0.0012,0.0,0.00284,0.0
NN-1,0.0008763636363636363,4e-05,0.00032,0.0,4e-05,0.0,0.00516,0.0,0.0012,4e-05,0.00284,0.0
NN-2,0.0009236363636363636,0.00012,0.00024,0.0,4e-05,0.0,0.00548,0.0,0.00128,4e-05,0.00296,0.0
NN-3,0.0008836363636363636,0.0,0.00016,0.0,4e-05,0.0,0.00532,0.0,0.00128,4e-05,0.00288,0.0
NN-4,0.0009454545454545454,0.0,0.00028,0.0,4e-05,0.0,0.00564,0.0,0.00136,4e-05,0.00304,0.0
NN-5,0.0008581818181818183,0.0,0.00024,0.0,0.0,0.0,0.00524,0.0,0.00112,0.0,0.00284,0.0
NN-6,0.0008290909090909091,0.0,8e-05,0.0,0.0,0.0,0.00516,0.0,0.00112,0.0,0.00276,0.0
NN-7,0.0008872727272727274,0.0,8e-05,0.0,4e-05,0.0,0.00536,0.0,0.00124,4e-05,0.003,0.0
NN-8,0.0009127272727272727,0.00012,0.00016,0.0,4e-05,0.0,0.00544,0.0,0.00124,4e-05,0.003,0.0
NN-9,0.0009672727272727273,4e-05,0.00032,0.0,4e-05,0.0,0.00572,0.0,0.00144,4e-05,0.00304,0.0
NN-10,0.0008436363636363637,0.0,0.00048,0.0,4e-05,0.0,0.00496,0.0,0.001,4e-05,0.00276,0.0
NN-11,0.0009272727272727273,0.0,0.0004,0.0,4e-05,0.0,0.00548,0.0,0.00128,4e-05,0.00296,0.0
NN-12,0.0008945454545454545,0.0,0.00036,0.0,4e-05,0.0,0.00528,0.0,0.00124,4e-05,0.00288,0.0
NN-13,0.0009490909090909092,8e-05,0.00036,0.0,4e-05,0.0,0.00564,0.0,0.00132,4e-05,0.00296,0.0
NN-14,0.0009818181818181818,0.00012,0.00056,0.0,4e-05,0.0,0.0056,0.0,0.0014,4e-05,0.00304,0.0
NN-15,0.0009127272727272727,0.0,0.0002,0.0,4e-05,0.0,0.00544,0.0,0.00136,4e-05,0.00296,0.0
NN-16,0.0009309090909090909,8e-05,0.00016,0.0,4e-05,0.0,0.00564,0.0,0.00136,4e-05,0.00292,0.0
NN-17,0.0009381818181818181,0.00012,0.00028,0.0,4e-05,0.0,0.00556,0.0,0.00132,4e-05,0.00296,0.0
NN-18,0.0009454545454545454,4e-05,0.00012,0.0,4e-05,0.0,0.00572,0.0,0.00144,4e-05,0.003,0.0
NN-19,0.0009527272727272727,8e-05,0.0004,0.0,4e-05,0.0,0.00552,0.0,0.0014,4e-05,0.003,0.0
Random Choice,0.16387636363636363,0.08352,0.87576,0.0,0.0496,0.0554,0.34244,0.03632,0.15568,0.0496,0.15432,0.0
Borda ranking,0.014934545454545452,0.0,0.14212,0.0,0.0018,0.012,0.0046,0.00064,0.0,0.0018,0.00132,0.0
Plurality ranking,0.06903636363636365,0.00936,0.62448,0.0,0.0,0.02304,0.00524,0.0,0.04184,0.0,0.05544,0.0
Approval Voting (AV),0.022752727272727268,0.00016,0.24,0.0,0.0002,0.0,0.00752,0.0,0.0022,0.0002,0.0,0.0
Proportional Approval Voting (PAV),0.04090545454545455,0.0004,0.41308,0.0,0.00472,0.01348,0.00568,0.00276,0.00512,0.00472,0.0,0.0
Approval Chamberlin-Courant (CC),0.09039272727272728,0.00044,0.73868,0.0,0.0392,0.06048,0.04468,0.02776,0.03268,0.0392,0.0112,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.08552363636363634,0.0004,0.71012,0.0,0.03748,0.05992,0.04244,0.02628,0.02664,0.03748,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.08260727272727274,0.00036,0.70188,0.0,0.02308,0.05964,0.02724,0.01576,0.03776,0.02308,0.01988,0.0
Monroe's Approval Rule (Monroe),0.0634181818181818,0.0006,0.5568,0.0,0.02248,0.0296,0.02804,0.0142,0.0084,0.02248,0.015,0.0
Greedy Monroe,0.05811636363636363,0.00036,0.5538,0.0,0.00956,0.02992,0.01212,0.00532,0.01496,0.00956,0.00368,0.0
Minimax Approval Voting (MAV),0.13672363636363635,0.06492,0.82672,0.0,0.04756,0.05712,0.26124,0.0342,0.11828,0.04756,0.04636,0.0
