Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0013163636363636363,0.0002,0.00052,8e-05,0.00072,0.0,0.00708,0.00056,0.00144,0.00072,0.00316,0.0
NN-1,0.0013345454545454546,0.0002,0.00072,4e-05,0.00072,0.0,0.00708,0.00056,0.00152,0.00072,0.00312,0.0
NN-2,0.0013454545454545455,0.0002,0.00068,8e-05,0.00072,0.0,0.00716,0.00056,0.00152,0.00072,0.00316,0.0
NN-3,0.0013636363636363635,0.0002,0.00076,0.00012,0.00076,0.0,0.00716,0.00056,0.00148,0.00076,0.0032,0.0
NN-4,0.0013272727272727273,0.00032,0.00052,8e-05,0.00072,0.0,0.00704,0.00056,0.00148,0.00072,0.00316,0.0
NN-5,0.0012945454545454547,0.0,0.0004,0.00012,0.00076,0.0,0.00708,0.00056,0.00144,0.00076,0.00312,0.0
NN-6,0.0014254545454545457,0.00032,0.00128,8e-05,0.00076,0.0,0.00724,0.00056,0.00148,0.00076,0.0032,0.0
NN-7,0.0013345454545454546,0.00032,0.00044,8e-05,0.00072,0.0,0.00716,0.00056,0.00152,0.00072,0.00316,0.0
NN-8,0.0013418181818181819,0.00032,0.00028,0.00012,0.00076,0.0,0.00724,0.00056,0.00152,0.00076,0.0032,0.0
NN-9,0.0013636363636363635,0.00032,0.00044,0.00012,0.00076,0.0,0.00732,0.00056,0.00156,0.00076,0.00316,0.0
NN-10,0.0013163636363636363,0.00032,0.00032,8e-05,0.00072,0.0,0.00716,0.00056,0.00148,0.00072,0.00312,0.0
NN-11,0.001389090909090909,0.00032,0.00072,0.00012,0.00076,0.0,0.00728,0.00056,0.00156,0.00076,0.0032,0.0
NN-12,0.0012981818181818183,0.0,0.00048,8e-05,0.00072,0.0,0.00716,0.00056,0.00152,0.00072,0.00304,0.0
NN-13,0.001330909090909091,0.00032,0.00016,0.00012,0.00076,0.0,0.00724,0.00056,0.00152,0.00076,0.0032,0.0
NN-14,0.0013418181818181819,0.00032,0.0004,0.00012,0.00076,0.0,0.0072,0.00056,0.00148,0.00076,0.00316,0.0
NN-15,0.0013599999999999999,0.0002,0.00076,0.00012,0.00076,0.0,0.00716,0.00056,0.00152,0.00076,0.00312,0.0
NN-16,0.001330909090909091,0.00032,0.00036,8e-05,0.00072,0.0,0.0072,0.00056,0.00152,0.00072,0.00316,0.0
NN-17,0.0013127272727272727,0.00032,0.00024,8e-05,0.00072,0.0,0.00716,0.00056,0.00152,0.00072,0.00312,0.0
NN-18,0.00132,0.00012,0.0004,0.00012,0.00076,0.0,0.0072,0.00056,0.00148,0.00076,0.00312,0.0
NN-19,0.0012981818181818181,0.0002,0.00036,8e-05,0.00072,0.0,0.00712,0.00056,0.00144,0.00072,0.00308,0.0
Random Choice,0.22225090909090908,0.08244,0.8438,0.00644,0.16884,0.17912,0.3604,0.12148,0.17104,0.13844,0.2708,0.10196
Borda ranking,0.010316363636363636,0.0,0.09808,0.0,0.00116,0.00856,0.00256,0.00044,0.0,0.00116,0.00152,0.0
Plurality ranking,0.07876727272727271,0.00996,0.51732,0.0,0.04304,0.0744,0.009,0.0,0.05936,0.0,0.11032,0.04304
Approval Voting (AV),0.020319999999999998,0.00016,0.21464,8e-05,0.00044,0.0,0.00632,8e-05,0.00136,0.00044,0.0,0.0
Proportional Approval Voting (PAV),0.03281454545454545,0.00032,0.33208,8e-05,0.0042,0.009,0.00512,0.00248,0.00348,0.0042,0.0,0.0
Approval Chamberlin-Courant (CC),0.14252363636363635,0.00032,0.72212,0.00604,0.13972,0.17048,0.09656,0.07864,0.04212,0.09336,0.11808,0.10032
Lexicographic Chamberlin-Courant (lex-CC),0.07069454545454545,0.00032,0.58344,8e-05,0.032,0.05288,0.03468,0.02348,0.01876,0.032,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.13793454545454548,0.00016,0.67864,0.00616,0.12668,0.16852,0.08136,0.06704,0.05664,0.07852,0.15196,0.1016
Monroe's Approval Rule (Monroe),0.052581818181818174,0.0004,0.47228,8e-05,0.0178,0.021,0.0216,0.01228,0.00544,0.0178,0.00972,0.0
Greedy Monroe,0.045265454545454546,0.00016,0.43288,8e-05,0.00816,0.02076,0.01016,0.00524,0.01012,0.00816,0.0022,0.0
Minimax Approval Voting (MAV),0.11785454545454543,0.0448,0.72964,0.00012,0.05212,0.0714,0.18944,0.04156,0.07636,0.05212,0.03884,0.0
