Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.3748945454545455,0.10092,0.85312,0.0,0.70132,0.01316,0.69624,0.3532,0.00832,0.69624,0.70132,0.0
Borda ranking,0.004865454545454545,0.0,0.05352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.05548,0.0,0.59612,0.0,0.0,0.00992,0.0,0.0,0.00424,0.0,0.0,0.0
Approval Voting (AV),0.015407272727272726,0.0,0.1694,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.015407272727272726,0.0,0.1694,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3729781818181818,0.09536,0.84872,0.0,0.69984,0.01332,0.69488,0.3478,0.00812,0.69488,0.69984,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.015407272727272726,0.0,0.1694,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.36227999999999994,0.0,0.85012,0.0,0.70388,0.01332,0.69748,0.31132,0.0076,0.69748,0.70388,0.0
Monroe's Approval Rule (Monroe),0.2193381818181818,0.00512,0.5632,0.0,0.41568,0.00168,0.41216,0.18648,0.00056,0.41216,0.41568,0.0
Greedy Monroe,0.03626909090909091,0.0,0.396,0.0,0.0,0.00168,0.0,0.0,0.00128,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.055585454545454556,0.0,0.5974,0.0,0.0,0.00956,0.0,0.0,0.00448,0.0,0.0,0.0
