Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0012218181818181818,0.00024,0.00024,0.0,0.00696,0.0,0.003,0.0,0.0,0.003,0.0,0.0
NN-1,0.0012581818181818182,0.00024,0.00028,0.0,0.00708,0.0,0.00312,0.0,0.0,0.00312,0.0,0.0
NN-2,0.0012545454545454544,0.00032,0.0002,0.0,0.00712,0.0,0.00308,0.0,0.0,0.00308,0.0,0.0
NN-3,0.001309090909090909,0.00044,0.00012,0.0,0.00728,0.0,0.00328,0.0,0.0,0.00328,0.0,0.0
NN-4,0.0012836363636363638,0.00016,0.00024,0.0,0.00732,0.0,0.0032,0.0,0.0,0.0032,0.0,0.0
NN-5,0.001229090909090909,0.00024,0.00028,0.0,0.00692,0.0,0.00304,0.0,0.0,0.00304,0.0,0.0
NN-6,0.0011854545454545455,0.00016,0.00032,0.0,0.00688,0.0,0.00284,0.0,0.0,0.00284,0.0,0.0
NN-7,0.0011563636363636364,0.00012,0.00028,0.0,0.00672,0.0,0.0028,0.0,0.0,0.0028,0.0,0.0
NN-8,0.0012981818181818181,0.00032,0.00032,0.0,0.00708,0.0,0.00328,0.0,0.0,0.00328,0.0,0.0
NN-9,0.001210909090909091,0.0002,0.00012,0.0,0.00708,0.0,0.00296,0.0,0.0,0.00296,0.0,0.0
NN-10,0.0012981818181818183,0.00044,0.00032,0.0,0.00704,0.0,0.00324,0.0,0.0,0.00324,0.0,0.0
NN-11,0.001309090909090909,0.00028,0.00036,0.0,0.0072,0.0,0.00328,0.0,0.0,0.00328,0.0,0.0
NN-12,0.0012545454545454546,0.00032,8e-05,0.0,0.007,0.0,0.0032,0.0,0.0,0.0032,0.0,0.0
NN-13,0.001250909090909091,0.00024,0.00012,0.0,0.00724,0.0,0.00308,0.0,0.0,0.00308,0.0,0.0
NN-14,0.00124,0.00044,0.0002,0.0,0.00692,0.0,0.00304,0.0,0.0,0.00304,0.0,0.0
NN-15,0.00124,0.00044,0.00028,0.0,0.00692,0.0,0.003,0.0,0.0,0.003,0.0,0.0
NN-16,0.0012218181818181818,0.0002,0.0002,0.0,0.00696,0.0,0.00304,0.0,0.0,0.00304,0.0,0.0
NN-17,0.0012872727272727272,0.00052,0.00028,0.0,0.00712,0.0,0.00312,0.0,0.0,0.00312,0.0,0.0
NN-18,0.0012181818181818181,0.00028,0.00028,0.0,0.007,0.0,0.00292,0.0,0.0,0.00292,0.0,0.0
NN-19,0.0012327272727272727,0.00024,4e-05,0.0,0.0072,0.0,0.00304,0.0,0.0,0.00304,0.0,0.0
Random Choice,0.2717527272727273,0.18784,0.77932,0.0,0.41296,0.40464,0.26296,0.10344,0.40464,0.26296,0.15852,0.012
Borda ranking,0.0032618181818181826,0.0,0.03088,0.0,0.00308,0.0,0.00096,0.0,0.0,0.00096,0.0,0.0
Plurality ranking,0.07616727272727271,0.00072,0.35412,0.0,0.04416,0.19704,0.0,0.0,0.19704,0.0,0.0338,0.01096
Approval Voting (AV),0.011378181818181817,0.00084,0.07692,0.0,0.02276,0.0,0.01232,0.0,0.0,0.01232,0.0,0.0
Proportional Approval Voting (PAV),0.011378181818181817,0.00084,0.07692,0.0,0.02276,0.0,0.01232,0.0,0.0,0.01232,0.0,0.0
Approval Chamberlin-Courant (CC),0.2695272727272728,0.1842,0.77936,0.0,0.40696,0.40528,0.25944,0.0994,0.40528,0.25944,0.15348,0.01196
Lexicographic Chamberlin-Courant (lex-CC),0.011378181818181817,0.00084,0.07692,0.0,0.02276,0.0,0.01232,0.0,0.0,0.01232,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2304181818181818,0.10268,0.74492,0.0,0.3302,0.39464,0.18256,0.06664,0.39464,0.18256,0.12324,0.01252
Monroe's Approval Rule (Monroe),0.18426181818181817,0.14216,0.60556,0.0,0.27884,0.23148,0.21568,0.05736,0.23148,0.21568,0.04864,0.0
Greedy Monroe,0.030661818181818182,0.00628,0.20548,0.0,0.04064,0.01668,0.02576,0.0,0.01668,0.02576,0.0,0.0
Minimax Approval Voting (MAV),0.2620145454545455,0.18148,0.7674,0.0,0.395,0.39332,0.25672,0.09668,0.39332,0.25672,0.14152,0.0
