Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.02541818181818182,0.0,0.00132,4e-05,0.1162,0.0,0.08096,0.0,0.0,0.08096,0.00012,0.0
NN-1,0.02540363636363636,0.0,0.00064,4e-05,0.1164,0.0,0.08116,0.0,0.0,0.08116,4e-05,0.0
NN-2,0.025349090909090908,0.0,0.00016,4e-05,0.11644,0.0,0.08108,0.0,0.0,0.08108,4e-05,0.0
NN-3,0.025472727272727272,0.00016,0.00076,4e-05,0.11644,0.0,0.08116,0.0,0.0,0.08116,0.00048,0.0
NN-4,0.025345454545454546,0.0,0.00016,4e-05,0.11632,0.0,0.08108,0.0,0.0,0.08108,0.00012,0.0
NN-5,0.025392727272727275,4e-05,0.00024,4e-05,0.11656,0.0,0.08116,0.0,0.0,0.08116,0.00012,0.0
NN-6,0.025425454545454543,8e-05,0.00028,4e-05,0.11656,0.0,0.08116,0.0,0.0,0.08116,0.0004,0.0
NN-7,0.025363636363636366,0.0,0.00048,4e-05,0.11632,0.0,0.08104,0.0,0.0,0.08104,8e-05,0.0
NN-8,0.02532727272727273,0.0,0.00024,4e-05,0.11628,0.0,0.081,0.0,0.0,0.081,4e-05,0.0
NN-9,0.02534909090909091,0.0,0.00052,4e-05,0.11628,0.0,0.081,0.0,0.0,0.081,0.0,0.0
NN-10,0.02537454545454546,4e-05,0.0006,4e-05,0.11624,0.0,0.08092,0.0,0.0,0.08092,0.00036,0.0
NN-11,0.025356363636363635,4e-05,0.00016,4e-05,0.11636,0.0,0.08112,0.0,0.0,0.08112,8e-05,0.0
NN-12,0.025334545454545453,0.0,0.00052,4e-05,0.11632,0.0,0.08088,0.0,0.0,0.08088,4e-05,0.0
NN-13,0.025432727272727274,4e-05,0.00032,4e-05,0.11656,0.0,0.08124,0.0,0.0,0.08124,0.00032,0.0
NN-14,0.025360000000000004,0.0,0.0002,4e-05,0.11648,0.0,0.08108,0.0,0.0,0.08108,8e-05,0.0
NN-15,0.025403636363636364,4e-05,0.00036,4e-05,0.1164,0.0,0.08112,0.0,0.0,0.08112,0.00036,0.0
NN-16,0.025432727272727274,0.0,0.00056,4e-05,0.11648,0.0,0.08116,0.0,0.0,0.08116,0.00036,0.0
NN-17,0.025356363636363635,4e-05,0.00064,4e-05,0.1162,0.0,0.08092,0.0,0.0,0.08092,0.00016,0.0
NN-18,0.025356363636363635,4e-05,0.00048,4e-05,0.11628,0.0,0.08096,0.0,0.0,0.08096,0.00016,0.0
NN-19,0.025363636363636363,0.0,0.00032,4e-05,0.11628,0.0,0.08104,0.0,0.0,0.08104,0.00028,0.0
Random Choice,0.28740727272727273,0.18312,0.7704,4e-05,0.36536,0.693,0.30056,0.01064,0.24004,0.30056,0.29776,0.0
Borda ranking,0.036723636363636375,0.0,0.14292,0.0,0.05116,0.12264,0.03072,0.0,0.02572,0.03072,8e-05,0.0
Plurality ranking,0.13705090909090908,0.04176,0.56744,0.0,0.0028,0.51116,0.0,0.0,0.17572,0.0,0.20868,0.0
Approval Voting (AV),0.07378181818181818,0.0018,0.16652,4e-05,0.19784,0.14216,0.15144,0.00036,0.0,0.15144,0.0,0.0
Proportional Approval Voting (PAV),0.07378181818181818,0.0018,0.16652,4e-05,0.19784,0.14216,0.15144,0.00036,0.0,0.15144,0.0,0.0
Approval Chamberlin-Courant (CC),0.2863381818181819,0.178,0.772,4e-05,0.36184,0.69604,0.29904,0.011,0.23992,0.29904,0.2928,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07378181818181818,0.0018,0.16652,4e-05,0.19784,0.14216,0.15144,0.00036,0.0,0.15144,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.26868000000000003,0.13704,0.74572,4e-05,0.356,0.67476,0.2934,0.01016,0.23636,0.2934,0.2086,0.0
Monroe's Approval Rule (Monroe),0.28552000000000005,0.17752,0.77032,4e-05,0.361,0.69436,0.29836,0.01076,0.23824,0.29836,0.29176,0.0
Greedy Monroe,0.12050909090909091,0.00904,0.34764,4e-05,0.2324,0.3148,0.18236,0.00192,0.05504,0.18236,0.0,0.0
Minimax Approval Voting (MAV),0.2863381818181819,0.178,0.772,4e-05,0.36184,0.69604,0.29904,0.011,0.23992,0.29904,0.2928,0.0
