Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.03965090909090909,0.0,0.0002,0.0,0.14608,0.0,0.21872,0.0,0.0,0.07096,0.0002,0.0
NN-1,0.03967272727272727,0.0,0.00032,0.0,0.14608,0.0,0.21868,0.0,0.0,0.071,0.00032,0.0
NN-2,0.03965090909090909,0.0,0.00016,0.0,0.14612,0.0,0.21872,0.0,0.0,0.071,0.00016,0.0
NN-3,0.03965090909090909,0.0,0.00012,0.0,0.14616,0.0,0.2188,0.0,0.0,0.07096,0.00012,0.0
NN-4,0.03966181818181818,0.0,0.0002,0.0,0.1462,0.0,0.21868,0.0,0.0,0.071,0.0002,0.0
NN-5,0.03966545454545455,0.0,0.00024,0.0,0.14616,0.0,0.21868,0.0,0.0,0.071,0.00024,0.0
NN-6,0.03965818181818182,0.0,0.00012,0.0,0.14616,0.0,0.21884,0.0,0.0,0.071,0.00012,0.0
NN-7,0.039683636363636365,0.0,0.00036,0.0,0.1462,0.0,0.2186,0.0,0.0,0.071,0.00036,0.0
NN-8,0.03967636363636364,0.0,0.00036,0.0,0.14616,0.0,0.21856,0.0,0.0,0.071,0.00036,0.0
NN-9,0.03968727272727273,0.0,0.0004,0.0,0.14616,0.0,0.2186,0.0,0.0,0.071,0.0004,0.0
NN-10,0.03966181818181819,0.0,0.00028,0.0,0.14612,0.0,0.21864,0.0,0.0,0.07096,0.00028,0.0
NN-11,0.03966181818181818,0.0,0.0002,0.0,0.14616,0.0,0.21872,0.0,0.0,0.071,0.0002,0.0
NN-12,0.03968000000000001,0.0,0.00024,0.0,0.14624,0.0,0.21868,0.0,0.0,0.07108,0.00024,0.0
NN-13,0.03965818181818182,0.0,0.0002,0.0,0.14612,0.0,0.21872,0.0,0.0,0.071,0.0002,0.0
NN-14,0.03967636363636364,0.0,0.00028,0.0,0.1462,0.0,0.21868,0.0,0.0,0.071,0.00028,0.0
NN-15,0.039669090909090904,0.0,0.00028,0.0,0.1462,0.0,0.2186,0.0,0.0,0.071,0.00028,0.0
NN-16,0.03966545454545455,0.0,0.00028,0.0,0.14612,0.0,0.21864,0.0,0.0,0.071,0.00028,0.0
NN-17,0.039647272727272725,0.0,4e-05,0.0,0.14612,0.0,0.21896,0.0,0.0,0.07096,4e-05,0.0
NN-18,0.03966545454545455,0.0,0.00016,0.0,0.14616,0.0,0.21884,0.0,0.0,0.071,0.00016,0.0
NN-19,0.039672727272727276,0.0,0.00024,0.0,0.14616,0.0,0.21872,0.0,0.0,0.07104,0.00024,0.0
Random Choice,0.2937854545454545,0.05996,0.92296,0.0,0.22948,0.17024,0.3352,0.0,0.59064,0.12872,0.79444,0.0
Borda ranking,0.06341454545454545,0.0,0.14148,0.0,0.19976,0.14136,0.11288,0.0,0.0,0.10208,0.0,0.0
Plurality ranking,0.21528727272727274,0.04164,0.878,0.0,4e-05,0.1414,0.04092,0.0,0.46564,0.0,0.80052,0.0
STV,0.14909454545454545,0.0,0.6184,0.0,0.06548,0.042,0.60044,0.0,0.20016,0.03112,0.08244,0.0
Approval Voting (AV),0.03966909090909092,0.0,0.0,0.0,0.14616,0.0,0.21912,0.0,0.0,0.07108,0.0,0.0
Proportional Approval Voting (PAV),0.06249454545454546,0.0,0.12684,0.0,0.20116,0.12684,0.12708,0.0,4e-05,0.10548,0.0,0.0
Approval Chamberlin-Courant (CC),0.29289818181818184,0.05928,0.92516,0.0,0.22536,0.171,0.3322,0.0,0.5876,0.12368,0.7976,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07707272727272728,0.0,0.1828,0.0,0.23016,0.1828,0.126,0.0,4e-05,0.126,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2864836363636364,0.0132,0.92544,0.0,0.23128,0.17024,0.30596,0.0,0.578,0.12824,0.79896,0.0
Monroe's Approval Rule (Monroe),0.28700363636363635,0.0526,0.92436,0.0,0.21628,0.17044,0.3154,0.0,0.56288,0.11688,0.7982,0.0
Greedy Monroe,0.11555636363636362,0.0,0.32356,0.0,0.222,0.16936,0.13116,0.0,0.1174,0.12076,0.18688,0.0
Minimax Approval Voting (MAV),0.23099999999999998,0.0,0.795,0.0,0.23036,0.1828,0.12564,0.0,0.33412,0.12564,0.74744,0.0
