Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.4068690909090909,0.06764,0.93056,0.0,0.58252,0.41012,0.56168,0.00128,0.59428,0.52892,0.79856,0.0
Borda ranking,3.6363636363636364e-05,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.009909090909090909,0.0,0.05012,0.0,0.0,0.01944,0.0,0.0,0.015,0.0,0.02444,0.0
STV,0.058483636363636356,0.0,0.36484,0.0,0.01628,0.1132,0.02952,0.0,0.11164,0.00776,8e-05,0.0
Approval Voting (AV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),1.4545454545454546e-05,0.0,8e-05,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.40722909090909093,0.06524,0.93312,0.0,0.58324,0.41192,0.56244,0.00132,0.59072,0.53072,0.8008,0.0
Lexicographic Chamberlin-Courant (lex-CC),3.6363636363636364e-05,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.39834909090909093,0.00036,0.93384,0.0,0.58004,0.41176,0.55364,0.00124,0.57836,0.5202,0.8024,0.0
Monroe's Approval Rule (Monroe),0.2816618181818182,0.02188,0.76352,0.0,0.4178,0.276,0.3888,0.00068,0.25168,0.37356,0.60436,0.0
Greedy Monroe,0.0019854545454545455,0.0,0.01336,0.0,0.00044,0.00344,0.00052,0.0,0.00184,0.00028,0.00196,0.0
Minimax Approval Voting (MAV),0.2080072727272727,0.0,0.74984,0.0,0.06048,0.33296,0.03016,0.0,0.33468,0.03016,0.7498,0.0
