Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.004490909090909091,0.00104,0.02144,0.0,0.00096,0.0,0.0154,0.00068,0.00132,0.00096,0.0076,0.0
NN-1,0.004345454545454546,0.0008,0.02128,0.0,0.0008,0.0,0.015,0.0006,0.0012,0.0008,0.00732,0.0
NN-2,0.004930909090909091,0.00116,0.0242,0.0,0.00084,0.0,0.01672,0.00064,0.00168,0.00084,0.00816,0.0
NN-3,0.004261818181818182,0.00112,0.02,0.0,0.00092,0.0,0.01472,0.00072,0.0012,0.00092,0.00728,0.0
NN-4,0.004301818181818183,0.00064,0.0214,0.0,0.0008,0.0,0.01476,0.0006,0.00116,0.0008,0.00716,0.0
NN-5,0.00390909090909091,0.00064,0.01856,0.0,0.00072,0.0,0.01344,0.0006,0.00124,0.00072,0.00708,0.0
NN-6,0.0037018181818181824,0.00056,0.0178,0.0,0.0008,0.0,0.01276,0.00068,0.00096,0.0008,0.00636,0.0
NN-7,0.003563636363636363,0.00068,0.01664,0.0,0.00068,0.0,0.01256,0.0006,0.001,0.00068,0.00636,0.0
NN-8,0.004523636363636363,0.00108,0.02216,0.0,0.00088,0.0,0.01516,0.00064,0.00136,0.00088,0.0076,0.0
NN-9,0.0038690909090909093,0.00064,0.01832,0.0,0.00068,0.0,0.01352,0.00052,0.00124,0.00068,0.00696,0.0
NN-10,0.0032,0.00068,0.01376,0.0,0.0006,0.0,0.01216,0.00048,0.00104,0.0006,0.00588,0.0
NN-11,0.004214545454545454,0.00068,0.02096,0.0,0.00072,0.0,0.01436,0.0006,0.0012,0.00072,0.00712,0.0
NN-12,0.0031018181818181817,0.00056,0.01408,0.0,0.00064,0.0,0.01092,0.00052,0.00096,0.00064,0.0058,0.0
NN-13,0.003305454545454545,0.00068,0.01408,0.0,0.00072,0.0,0.01232,0.0006,0.00108,0.00072,0.00616,0.0
NN-14,0.0030472727272727266,0.00044,0.01444,0.0,0.0006,0.0,0.01044,0.00052,0.00096,0.0006,0.00552,0.0
NN-15,0.004727272727272727,0.001,0.02404,0.0,0.00084,0.0,0.01576,0.00064,0.00136,0.00084,0.00752,0.0
NN-16,0.003916363636363636,0.00096,0.018,0.0,0.00076,0.0,0.01408,0.0006,0.00132,0.00076,0.0066,0.0
NN-17,0.003909090909090909,0.00076,0.01816,0.0,0.00092,0.0,0.01376,0.0006,0.0012,0.00092,0.00668,0.0
NN-18,0.004207272727272727,0.00076,0.0204,0.0,0.00092,0.0,0.01448,0.00068,0.00124,0.00092,0.00688,0.0
NN-19,0.003927272727272727,0.00076,0.01916,0.0,0.00088,0.0,0.01364,0.0006,0.001,0.00088,0.00628,0.0
Random Choice,0.19778181818181817,0.03272,0.86544,0.0,0.10784,0.10388,0.44428,0.08728,0.09572,0.09368,0.2854,0.05936
Borda ranking,0.013465454545454546,0.0,0.12936,0.0,0.00124,0.00468,0.007,0.00076,0.0,0.00124,0.00384,0.0
Plurality ranking,0.08815272727272726,0.00344,0.62112,0.0,0.05236,0.07312,0.02664,0.0,0.02956,0.0,0.11108,0.05236
STV,0.04871272727272727,0.0002,0.48612,0.0,0.00124,0.00192,0.02232,0.00104,0.00348,0.00124,0.01828,0.0
Approval Voting (AV),0.03581818181818181,0.00012,0.35628,0.0,4e-05,0.0,0.03692,0.0,0.0006,4e-05,0.0,0.0
Proportional Approval Voting (PAV),0.042265454545454544,4e-05,0.44944,0.0,0.0026,0.0026,0.00484,0.00172,0.00108,0.0026,0.0,0.0
Approval Chamberlin-Courant (CC),0.10949454545454546,8e-05,0.73428,0.0,0.07836,0.09528,0.05184,0.046,0.01928,0.04852,0.07136,0.05944
Lexicographic Chamberlin-Courant (lex-CC),0.06418545454545456,8e-05,0.61976,0.0,0.01424,0.02292,0.01764,0.012,0.00516,0.01424,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.10567272727272727,4e-05,0.70632,0.0,0.07368,0.09416,0.04696,0.04212,0.02024,0.04376,0.0754,0.05972
Monroe's Approval Rule (Monroe),0.05997818181818181,8e-05,0.61496,0.0,0.00784,0.00712,0.01132,0.00556,0.00224,0.00784,0.0028,0.0
Greedy Monroe,0.05421818181818183,4e-05,0.56232,0.0,0.00496,0.00748,0.00788,0.0038,0.00316,0.00496,0.0018,0.0
Minimax Approval Voting (MAV),0.13556,0.02812,0.7766,0.0,0.0322,0.03728,0.33652,0.02664,0.07212,0.0322,0.14948,0.0
