Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.009109090909090909,4e-05,0.002,0.00092,0.00784,0.0,0.04696,0.00524,0.00584,0.00784,0.02352,0.0
NN-1,0.008919999999999999,0.00024,0.00104,0.00084,0.00804,0.0,0.0462,0.00548,0.0054,0.00804,0.02284,0.0
NN-2,0.008832727272727272,0.00024,0.00088,0.00088,0.00756,0.0,0.04604,0.00516,0.00576,0.00756,0.02308,0.0
NN-3,0.00856,0.00012,0.001,0.0008,0.00728,0.0,0.04484,0.00524,0.0048,0.00728,0.0228,0.0
NN-4,0.007719999999999999,0.0,0.0008,0.00088,0.0056,0.0,0.04188,0.00344,0.0052,0.0056,0.02152,0.0
NN-5,0.008792727272727273,0.00032,0.00156,0.001,0.00772,0.0,0.04492,0.00512,0.00556,0.00772,0.0228,0.0
NN-6,0.007919999999999998,0.00016,0.00084,0.00092,0.00588,0.0,0.04228,0.00364,0.0056,0.00588,0.02192,0.0
NN-7,0.008145454545454546,0.00012,0.00068,0.00096,0.00668,0.0,0.04276,0.00436,0.00516,0.00668,0.0222,0.0
NN-8,0.007432727272727272,0.0,0.00052,0.00096,0.00568,0.0,0.0402,0.00356,0.00432,0.00568,0.02084,0.0
NN-9,0.008236363636363635,4e-05,0.00108,0.00088,0.00656,0.0,0.04308,0.0044,0.00532,0.00656,0.02268,0.0
NN-10,0.008429090909090909,8e-05,0.00144,0.00104,0.00736,0.0,0.044,0.00476,0.00472,0.00736,0.02196,0.0
NN-11,0.009621818181818183,0.00024,0.00472,0.00096,0.0082,0.0,0.04804,0.00556,0.0062,0.0082,0.02372,0.0
NN-12,0.007025454545454544,0.0,0.00048,0.00092,0.0048,0.0,0.038,0.00296,0.00408,0.0048,0.02124,0.0
NN-13,0.008636363636363636,0.0,0.00108,0.001,0.00744,0.0,0.0454,0.005,0.00504,0.00744,0.0226,0.0
NN-14,0.008978181818181817,0.00016,0.002,0.00088,0.0076,0.0,0.04616,0.0052,0.00576,0.0076,0.0234,0.0
NN-15,0.008687272727272728,0.0002,0.0012,0.0008,0.00748,0.0,0.0454,0.00504,0.0054,0.00748,0.02256,0.0
NN-16,0.007661818181818181,8e-05,0.00064,0.00084,0.0058,0.0,0.04108,0.00364,0.00476,0.0058,0.02164,0.0
NN-17,0.008192727272727273,0.0,0.00068,0.00096,0.00676,0.0,0.04324,0.00444,0.00508,0.00676,0.0222,0.0
NN-18,0.008050909090909091,0.0,0.00084,0.00096,0.00636,0.0,0.0428,0.00392,0.00532,0.00636,0.022,0.0
NN-19,0.007865454545454545,0.00012,0.00104,0.00084,0.00588,0.0,0.04208,0.0038,0.0048,0.00588,0.02208,0.0
Random Choice,0.3121672727272728,0.07744,0.76912,0.0016,0.37084,0.42896,0.48812,0.33712,0.2224,0.35828,0.34132,0.03864
Borda ranking,0.021305454545454544,0.0,0.12392,0.00096,0.00948,0.04748,0.01604,0.00628,0.0,0.00948,0.02072,0.0
Plurality ranking,0.11613818181818182,0.00084,0.56908,0.0,0.028,0.34704,0.00016,0.0,0.13032,0.0,0.17408,0.028
STV,0.027803636363636364,0.00288,0.16628,0.00128,0.01868,0.02488,0.03844,0.01456,0.0164,0.01868,0.00376,0.0
Approval Voting (AV),0.011418181818181817,4e-05,0.10164,0.00112,0.00384,0.0,0.01104,0.0012,0.00288,0.00384,0.0,0.0
Proportional Approval Voting (PAV),0.03223636363636363,8e-05,0.18616,0.001,0.02852,0.03688,0.03504,0.0212,0.0172,0.02852,0.0,0.0
Approval Chamberlin-Courant (CC),0.22160000000000002,0.0002,0.68792,0.00136,0.25924,0.42452,0.24964,0.22496,0.1496,0.24028,0.16196,0.03792
Lexicographic Chamberlin-Courant (lex-CC),0.14025454545454547,0.00012,0.51928,0.001,0.16276,0.27736,0.17164,0.149,0.09888,0.16276,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.20779636363636358,0.00012,0.65552,0.00128,0.24208,0.4046,0.23376,0.20764,0.1438,0.2226,0.13616,0.0382
Monroe's Approval Rule (Monroe),0.05841454545454545,0.00036,0.27684,0.001,0.05872,0.07452,0.0686,0.0506,0.03016,0.05872,0.02304,0.0
Greedy Monroe,0.05374545454545455,0.00012,0.26996,0.00108,0.05216,0.07484,0.0616,0.04212,0.03224,0.05216,0.00492,0.0
Minimax Approval Voting (MAV),0.23111272727272728,0.02888,0.70828,0.00128,0.25928,0.3858,0.35572,0.24,0.15932,0.25928,0.1444,0.0
