Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,7.636363636363636e-05,0.0004,8e-05,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00024,0.0
NN-1,2.9090909090909093e-05,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-2,2.5454545454545457e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-3,4e-05,4e-05,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-4,2.9090909090909093e-05,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-5,2.5454545454545457e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-6,2.5454545454545457e-05,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-7,2.9090909090909093e-05,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-8,2.9090909090909093e-05,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-9,4.3636363636363636e-05,0.00016,4e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00024,0.0
NN-10,2.5454545454545457e-05,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-11,2.9090909090909093e-05,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-12,2.1818181818181818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-13,2.1818181818181818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-14,3.272727272727273e-05,4e-05,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-15,2.5454545454545457e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-16,3.272727272727273e-05,4e-05,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-17,6.181818181818182e-05,0.00028,8e-05,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00024,0.0
NN-18,3.272727272727273e-05,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
NN-19,3.6363636363636364e-05,8e-05,4e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00024,0.0
Random Choice,0.1036109090909091,0.17432,0.77656,0.0,0.0,0.04984,0.00356,0.04984,0.07588,0.0,0.00972,0.0
Borda ranking,0.012650909090909091,0.0,0.1182,0.0,0.0,0.01024,0.0,0.01024,0.0,0.0,0.00048,0.0
Plurality ranking,0.040967272727272734,0.02272,0.42108,0.0,0.0,0.0,0.0,0.0,0.00684,0.0,0.0,0.0
STV,0.017527272727272728,0.0,0.1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.04080363636363637,0.02324,0.41848,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.04080363636363637,0.02324,0.41848,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.04080363636363637,0.02324,0.41848,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.04080363636363637,0.02324,0.41848,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.040967272727272734,0.02272,0.42108,0.0,0.0,0.0,0.0,0.0,0.00684,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.04080363636363637,0.02324,0.41848,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Greedy Monroe,0.040967272727272734,0.02272,0.42108,0.0,0.0,0.0,0.0,0.0,0.00684,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.10456363636363637,0.1786,0.77868,0.0,0.0,0.04924,0.00404,0.04924,0.07824,0.0,0.01216,0.0
