Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0008727272727272726,0.0,0.0004,0.0,0.0,0.0,0.00524,0.0,0.0012,0.0,0.00276,0.0
NN-1,0.0008872727272727272,0.0,0.00068,0.0,0.0,0.0,0.0052,0.0,0.00112,0.0,0.00276,0.0
NN-2,0.0008763636363636363,0.0,0.00052,0.0,0.0,0.0,0.0052,0.0,0.00116,0.0,0.00276,0.0
NN-3,0.0008945454545454545,0.0,0.00096,0.0,0.0,0.0,0.00508,0.0,0.00116,0.0,0.00264,0.0
NN-4,0.0008800000000000001,0.0,0.00076,0.0,0.0,0.0,0.00508,0.0,0.00116,0.0,0.00268,0.0
NN-5,0.0008654545454545456,0.0,0.00056,0.0,0.0,0.0,0.00508,0.0,0.0012,0.0,0.00268,0.0
NN-6,0.0008254545454545455,0.0,0.0002,0.0,0.0,0.0,0.00508,0.0,0.00112,0.0,0.00268,0.0
NN-7,0.0008836363636363638,0.0,0.0008,0.0,0.0,0.0,0.00512,0.0,0.00116,0.0,0.00264,0.0
NN-8,0.0008981818181818182,0.0,0.00048,0.0,0.0,0.0,0.0054,0.0,0.00124,0.0,0.00276,0.0
NN-9,0.0008945454545454545,0.0,0.00052,0.0,0.0,0.0,0.00536,0.0,0.0012,0.0,0.00276,0.0
NN-10,0.0009090909090909091,0.0,0.00072,0.0,0.0,0.0,0.00536,0.0,0.00124,0.0,0.00268,0.0
NN-11,0.0008763636363636363,0.0,0.00084,0.0,0.0,0.0,0.00492,0.0,0.00116,0.0,0.00272,0.0
NN-12,0.0008727272727272728,0.0,0.00076,0.0,0.0,0.0,0.00508,0.0,0.00112,0.0,0.00264,0.0
NN-13,0.0008799999999999999,0.0,0.00052,0.0,0.0,0.0,0.0052,0.0,0.00124,0.0,0.00272,0.0
NN-14,0.0008836363636363636,0.0,0.00056,0.0,0.0,0.0,0.00528,0.0,0.00124,0.0,0.00264,0.0
NN-15,0.0008981818181818182,0.0,0.0004,0.0,0.0,0.0,0.00544,0.0,0.00128,0.0,0.00276,0.0
NN-16,0.0008981818181818182,0.0,0.00056,0.0,0.0,0.0,0.00532,0.0,0.00124,0.0,0.00276,0.0
NN-17,0.0008472727272727273,0.0,0.00032,0.0,0.0,0.0,0.0052,0.0,0.00112,0.0,0.00268,0.0
NN-18,0.0008581818181818183,0.0,0.00044,0.0,0.0,0.0,0.00516,0.0,0.00124,0.0,0.0026,0.0
NN-19,0.0008581818181818183,0.0,0.0006,0.0,0.0,0.0,0.005,0.0,0.00116,0.0,0.00268,0.0
Random Choice,0.15392727272727272,0.08476,0.87212,0.0,0.04448,0.04644,0.33212,0.03168,0.116,0.04448,0.12112,0.0
Borda ranking,0.014083636363636366,0.0,0.13664,0.0,0.00152,0.00964,0.00384,0.00056,0.0,0.00152,0.0012,0.0
Plurality ranking,0.06952727272727272,0.01088,0.63796,0.0,0.0,0.01916,0.00444,0.0,0.04196,0.0,0.0504,0.0
STV,0.04792363636363637,0.00268,0.47412,0.0,0.00016,0.00236,0.01932,0.00016,0.01484,0.00016,0.01336,0.0
Approval Voting (AV),0.02423272727272727,4e-05,0.255,0.0,0.00016,0.0,0.00848,4e-05,0.00268,0.00016,0.0,0.0
Proportional Approval Voting (PAV),0.04164363636363636,0.00028,0.42632,0.0,0.00412,0.01136,0.005,0.00224,0.00464,0.00412,0.0,0.0
Approval Chamberlin-Courant (CC),0.08778181818181818,0.0004,0.73748,0.0,0.03652,0.05,0.04188,0.02688,0.02652,0.03652,0.0094,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.08337818181818182,0.0004,0.70872,0.0,0.03512,0.04952,0.04,0.02572,0.02256,0.03512,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07997818181818181,0.0002,0.70136,0.0,0.02108,0.0496,0.02528,0.01428,0.03296,0.02108,0.01392,0.0
Monroe's Approval Rule (Monroe),0.0636981818181818,0.00052,0.56568,0.0,0.02204,0.02624,0.02884,0.01544,0.00744,0.02204,0.01244,0.0
Greedy Monroe,0.05932727272727272,0.0002,0.57188,0.0,0.00944,0.0264,0.0122,0.00588,0.0144,0.00944,0.00276,0.0
Minimax Approval Voting (MAV),0.13431272727272725,0.06508,0.83936,0.0,0.04472,0.04748,0.26884,0.03192,0.09716,0.04472,0.03816,0.0
