Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0013527272727272726,8e-05,0.00172,0.0,0.00336,0.0,0.00748,4e-05,0.0,0.0022,0.0,0.0
NN-1,0.0011963636363636362,0.0,0.00056,0.0,0.00324,0.0,0.0072,4e-05,0.0,0.00212,0.0,0.0
NN-2,0.0012327272727272727,0.0,0.00108,0.0,0.0032,0.0,0.00716,4e-05,0.0,0.00208,0.0,0.0
NN-3,0.0012690909090909092,4e-05,0.00092,0.0,0.00336,0.0,0.00736,4e-05,0.0,0.00224,0.0,0.0
NN-4,0.0012472727272727273,8e-05,0.00088,0.0,0.00328,0.0,0.00732,4e-05,0.0,0.00212,0.0,0.0
NN-5,0.0013381818181818182,0.0,0.00208,0.0,0.00328,0.0,0.00716,4e-05,0.0,0.00216,0.0,0.0
NN-6,0.001301818181818182,4e-05,0.00148,0.0,0.00332,0.0,0.00728,4e-05,0.0,0.00216,0.0,0.0
NN-7,0.0012690909090909092,0.0,0.00128,0.0,0.00324,0.0,0.00728,4e-05,0.0,0.00212,0.0,0.0
NN-8,0.0012654545454545455,0.0,0.00148,0.0,0.00324,0.0,0.00708,4e-05,0.0,0.00208,0.0,0.0
NN-9,0.0013272727272727273,8e-05,0.0018,0.0,0.00328,0.0,0.00728,4e-05,0.0,0.00212,0.0,0.0
NN-10,0.0012218181818181818,0.0,0.00092,0.0,0.00324,0.0,0.00716,4e-05,0.0,0.00208,0.0,0.0
NN-11,0.0011927272727272728,0.0,0.00088,0.0,0.00316,0.0,0.007,4e-05,0.0,0.00204,0.0,0.0
NN-12,0.0013563636363636365,8e-05,0.00208,0.0,0.00332,0.0,0.00728,4e-05,0.0,0.00212,0.0,0.0
NN-13,0.0013454545454545455,0.0,0.00216,0.0,0.00328,0.0,0.0072,4e-05,0.0,0.00212,0.0,0.0
NN-14,0.0013527272727272726,0.0,0.00276,0.0,0.00312,0.0,0.00692,4e-05,0.0,0.00204,0.0,0.0
NN-15,0.0014436363636363635,0.0,0.0032,0.0,0.00328,0.0,0.00724,4e-05,0.0,0.00212,0.0,0.0
NN-16,0.0012654545454545455,0.0,0.00124,0.0,0.00328,0.0,0.0072,4e-05,0.0,0.00216,0.0,0.0
NN-17,0.0013272727272727273,8e-05,0.00284,0.0,0.00304,0.0,0.00672,4e-05,0.0,0.00188,0.0,0.0
NN-18,0.0012436363636363636,0.0,0.00124,0.0,0.0032,0.0,0.00712,4e-05,0.0,0.00208,0.0,0.0
NN-19,0.001167272727272727,0.0,0.00096,0.0,0.00304,0.0,0.00684,4e-05,0.0,0.00196,0.0,0.0
Random Choice,0.2924727272727272,0.08756,0.8668,0.0,0.44048,0.35668,0.39632,0.20024,0.30236,0.32692,0.22748,0.01236
Borda ranking,0.003025454545454546,0.0,0.03296,0.0,4e-05,0.0,0.00028,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.04547636363636363,8e-05,0.2828,0.0,0.0148,0.11104,0.0,0.0,0.04628,0.0,0.03484,0.0104
STV,0.02892363636363636,0.0002,0.28464,0.0,0.00604,0.01624,0.00816,0.0,4e-05,0.00284,0.0,0.0
Approval Voting (AV),0.006916363636363636,0.0,0.06912,0.0,0.00204,0.0,0.00416,0.0,0.0,0.00076,0.0,0.0
Proportional Approval Voting (PAV),0.007363636363636365,0.0,0.07392,0.0,0.00224,0.0,0.00396,0.0,0.0,0.00088,0.0,0.0
Approval Chamberlin-Courant (CC),0.2940727272727273,0.09188,0.86708,0.0,0.44184,0.3576,0.39832,0.20316,0.3042,0.32756,0.23108,0.01208
Lexicographic Chamberlin-Courant (lex-CC),0.021483636363636364,0.0,0.18668,0.0,0.00616,0.0308,0.00736,0.0002,0.00208,0.00304,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.18110545454545457,0.00192,0.76976,0.0,0.2182,0.3356,0.11572,0.05564,0.24676,0.08716,0.14912,0.01228
Monroe's Approval Rule (Monroe),0.10788363636363639,0.02644,0.52228,0.0,0.17712,0.05272,0.20928,0.04492,0.0016,0.14568,0.00668,0.0
Greedy Monroe,0.02026909090909091,0.00012,0.19628,0.0,0.00728,0.00352,0.01212,0.0,0.0002,0.00344,0.0,0.0
Minimax Approval Voting (MAV),0.17974545454545454,0.05264,0.70348,0.0,0.26036,0.21804,0.27112,0.0834,0.118,0.20196,0.0682,0.0
