Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-1,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-2,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-3,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-4,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-5,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-6,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-7,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-8,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-9,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-10,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-11,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-12,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-13,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-14,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-15,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-16,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-17,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-18,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
NN-19,7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
Random Choice,0.33993818181818186,0.043,0.94464,0.0,0.473,0.0516,0.60616,0.00148,0.445,0.37184,0.8026,0.0
Borda ranking,0.007199999999999999,0.0,0.07808,0.0,4e-05,0.00108,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.02872363636363636,0.0,0.2766,0.0,0.0,0.01052,0.0,0.0,0.0006,0.0,0.02824,0.0
STV,0.03585454545454546,0.0,0.36768,0.0,0.00168,0.01688,0.00676,0.0,0.00012,0.0006,0.00068,0.0
Approval Voting (AV),7.272727272727271e-05,0.0,0.0,0.0,0.00024,0.0,0.00052,0.0,0.0,4e-05,0.0,0.0
Proportional Approval Voting (PAV),0.0015600000000000002,0.0,0.01652,0.0,0.00024,8e-05,0.00032,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3316036363636364,0.0,0.94016,0.0,0.44576,0.05024,0.55092,0.00144,0.41944,0.3484,0.89128,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.023149090909090907,0.0,0.22908,0.0,0.00056,0.02436,0.0006,0.0,0.0,4e-05,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.26346909090909093,0.0,0.87948,0.0,0.2772,0.0486,0.3404,0.00068,0.36,0.2054,0.7864,0.0
Monroe's Approval Rule (Monroe),0.17254181818181816,0.0,0.71716,0.0,0.254,0.03564,0.19708,0.00064,0.0,0.19388,0.49956,0.0
Greedy Monroe,0.022240000000000003,0.0,0.23036,0.0,0.00072,0.0118,0.00104,0.0,0.0,0.00016,0.00056,0.0
Minimax Approval Voting (MAV),0.33124,0.0,0.93988,0.0,0.44492,0.05024,0.54968,0.00144,0.4186,0.34756,0.89132,0.0
