Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.00027272727272727274,0.00056,0.00056,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.00168,0.0
NN-1,0.00023636363636363636,0.00024,0.00056,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00168,0.0
NN-2,0.0003381818181818182,0.00088,0.00076,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00172,0.0
NN-3,0.00028000000000000003,0.00076,0.00036,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00172,0.0
NN-4,0.0003018181818181818,0.0008,0.0004,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00176,0.0
NN-5,0.0003018181818181818,0.00088,0.0004,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.00172,0.0
NN-6,0.00026181818181818185,0.00056,0.00036,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.00168,0.0
NN-7,0.0002290909090909091,0.00032,0.00036,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00168,0.0
NN-8,0.00021090909090909092,0.0002,0.00036,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00168,0.0
NN-9,0.00027272727272727274,0.0006,0.0004,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.00168,0.0
NN-10,0.0002836363636363636,0.0008,0.00036,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00172,0.0
NN-11,0.00026545454545454545,0.00068,0.00028,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00172,0.0
NN-12,0.00028727272727272727,0.0008,0.00032,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.00172,0.0
NN-13,0.00025454545454545456,0.00056,0.00032,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00168,0.0
NN-14,0.00026545454545454545,0.00056,0.00048,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.00168,0.0
NN-15,0.00019272727272727272,8e-05,0.00036,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00164,0.0
NN-16,0.00020727272727272727,0.00012,0.0004,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00168,0.0
NN-17,0.00022545454545454545,0.00028,0.00036,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00168,0.0
NN-18,0.00025818181818181815,0.00052,0.00044,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00164,0.0
NN-19,0.00022181818181818186,0.00016,0.00048,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00168,0.0
Random Choice,0.09479272727272728,0.12448,0.8346,0.0,0.0,0.00856,0.00432,0.00856,0.0394,0.0,0.0228,0.0
Borda ranking,0.012185454545454544,0.0,0.12724,0.0,0.0,0.00228,0.0,0.00228,0.0,0.0,0.00224,0.0
Plurality ranking,0.05006909090909091,0.0104,0.538,0.0,0.0,0.0,0.0,0.0,0.00236,0.0,0.0,0.0
STV,0.02679272727272727,0.0,0.29472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.05024363636363637,0.01092,0.53932,0.0,0.0,0.0,0.0,0.0,0.00244,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.05024363636363637,0.01092,0.53932,0.0,0.0,0.0,0.0,0.0,0.00244,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.05024363636363637,0.01092,0.53932,0.0,0.0,0.0,0.0,0.0,0.00244,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.05024363636363637,0.01092,0.53932,0.0,0.0,0.0,0.0,0.0,0.00244,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.05006909090909091,0.0104,0.538,0.0,0.0,0.0,0.0,0.0,0.00236,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.05024363636363637,0.01092,0.53932,0.0,0.0,0.0,0.0,0.0,0.00244,0.0,0.0,0.0
Greedy Monroe,0.05006909090909091,0.0104,0.538,0.0,0.0,0.0,0.0,0.0,0.00236,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.09585090909090908,0.12872,0.84036,0.0,0.0,0.00864,0.00392,0.00864,0.04212,0.0,0.02196,0.0
