,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.3172544,0.0638712,0.18605759999999996,0.08778479999999998,0.1856912,0.1856912,0.1856912,0.1856912,0.18605759999999996,0.1856912,0.18605759999999996,0.31322799999999995
Random Choice,0.3172544,0.0,0.318064,0.320096,0.317728,0.320432,0.320432,0.320432,0.320432,0.320096,0.320432,0.320096,0.319728
Borda ranking,0.0638712,0.318064,0.0,0.221952,0.12968,0.222112,0.222112,0.222112,0.222112,0.221952,0.222112,0.221952,0.32168
Plurality ranking,0.18605759999999996,0.320096,0.221952,0.0,0.144416,0.028448,0.028448,0.028448,0.028448,0.0,0.028448,0.0,0.325872
STV,0.08778479999999998,0.317728,0.12968,0.144416,0.0,0.142816,0.142816,0.142816,0.142816,0.144416,0.142816,0.144416,0.31256
Approval Voting (AV),0.1856912,0.320432,0.222112,0.028448,0.142816,0.0,0.0,0.0,0.0,0.028448,0.0,0.028448,0.313936
Proportional Approval Voting (PAV),0.1856912,0.320432,0.222112,0.028448,0.142816,0.0,0.0,0.0,0.0,0.028448,0.0,0.028448,0.313936
Approval Chamberlin-Courant (CC),0.1856912,0.320432,0.222112,0.028448,0.142816,0.0,0.0,0.0,0.0,0.028448,0.0,0.028448,0.313936
Lexicographic Chamberlin-Courant (lex-CC),0.1856912,0.320432,0.222112,0.028448,0.142816,0.0,0.0,0.0,0.0,0.028448,0.0,0.028448,0.313936
Sequential Approval Chamberlin-Courant (seq-CC),0.18605759999999996,0.320096,0.221952,0.0,0.144416,0.028448,0.028448,0.028448,0.028448,0.0,0.028448,0.0,0.325872
Monroe's Approval Rule (Monroe),0.1856912,0.320432,0.222112,0.028448,0.142816,0.0,0.0,0.0,0.0,0.028448,0.0,0.028448,0.313936
Greedy Monroe,0.18605759999999996,0.320096,0.221952,0.0,0.144416,0.028448,0.028448,0.028448,0.028448,0.0,0.028448,0.0,0.325872
Minimax Approval Voting (MAV),0.31322799999999995,0.319728,0.32168,0.325872,0.31256,0.313936,0.313936,0.313936,0.313936,0.325872,0.313936,0.325872,0.0
